Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.008659205,0.0089655756,0.0091674676,0.009300156,0.009505108,0.0099894346,0.0100206806,0.0102141916,0.0101568812,0.0102298146,0.0101418736,0.0082722102,0.0087291736,0.0093607066,0.0100424916,0.0102601596,0.0099592426,0.0099443404,0.0097606554,0.0097276448,0.0097363726,0.0096815238,0.0090884108,0.0078856676,0.0068492116,0.0053619904,0.005826801,0.0063709098,0.0063813784,0.0064760174,0.0068738718,0.0069945106,0.007120229,0.0074374762,0.0078351606,0.0088475786,0.0097124944,0.010325732,0.0113169748,0.0097518358,0.0080133138,0.0101816468,0.0104545172,0.01034076,0.0106413574,0.0109427402,0.0110295558,0.0124689186,0.0126828534,0.014693678,0.0147526952,0.0145571952,0.0144304262,0.0146920188,0.0138599402,0.013565405,0.0131961684
"Albania",0.0019467448,0.0019654992,0.0019585836,0.0019704666,0.0021168298,0.0021087718,0.0021339692,0.0019758964,0.0019472684,0.0019364904,0.0018558798,0.0018173578,0.0018639106,0.0019338078,0.0019584714,0.0020812896,0.0021772546,0.002330632,0.0024358314,0.0025093802,0.0025638584,0.002583779,0.002615314,0.0026146374,0.0025052628,0.0026174866,0.0028220782,0.0029718244,0.0030286214,0.0029083294,0.0029471302,0.0029362638,0.0031195578,0.00400724,0.0040933756,0.0038580752,0.0035830458,0.0034010166,0.0034873222,0.0035502936,0.0034692274,0.00338113,0.003427319,0.0033024982,0.00328185,0.0032297994,0.0030367304,0.002845902,0.002708797,0.002727157,0.0027075492,0.0027568424,0.0027721016,0.0028045784,0.0028217654,0.0028089508,0.0027423278
"Algeria",0.0021037976,0.0019576044,0.001700034,0.0018110236,0.002228717,0.0023207516,0.002800699,0.0029657724,0.003038903,0.0030736884,0.0031864936,0.0032519096,0.0031655598,0.0032797012,0.003528877,0.0034559334,0.003795913,0.004020653,0.0044277044,0.0046705494,0.0047533632,0.0050088936,0.0052378462,0.0051469778,0.0051445808,0.0050665474,0.0052272144,0.0052419738,0.0054222486,0.0054847474,0.0052301282,0.0055245682,0.0056425176,0.0054185528,0.00542096,0.0054468102,0.0054341282,0.0057090284,0.0059398952,0.0059200222,0.005994064,0.0057891392,0.0059662248,0.0062392006,0.0062993262,0.0064772652,0.0065624794,0.00649706,0.0068637704,0.0072787778,0.0075533822,0.0078789764,0.0082631526,0.0087059312,0.0088651022,0.0087707794,0.0086301928
"American Samoa",4.8076e-06,4.3792e-06,5.9296e-06,7.5412e-06,8.1532e-06,7.7928e-06,5.7664e-06,5.3312e-06,5.525e-06,5.5216e-06,5.4434e-06,5.4162e-06,5.4298e-06,5.4672e-06,5.5046e-06,5.525e-06,5.678e-06,5.627e-06,5.5386e-06,5.5454e-06,5.644e-06,5.9058e-06,6.1778e-06,6.4328e-06,6.5858e-06,6.6912e-06,6.8476e-06,6.9496e-06,7.1298e-06,5.6678e-06,5.6678e-06,5.6678e-06,5.6848e-06,5.6848e-06,5.6848e-06,5.6848e-06,5.6848e-06,5.6848e-06,5.6848e-06,5.6848e-06,5.6848e-06,5.6848e-06,5.6882e-06,5.678e-06,5.6814e-06,5.6746e-06,5.7154e-06,5.7052e-06,5.7052e-06,5.7052e-06,5.7052e-06,5.7052e-06,5.7052e-06,5.7052e-06,5.7052e-06,5.7052e-06,5.7052e-06
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0019754816,0.0020401734,0.0021320448,0.002307291,0.0025023864,0.0026081162,0.0028347398,0.0028458238,0.0030183806,0.0033469192,0.0035643254,0.0036664852,0.0037407854,0.0037433796,0.0038115836,0.0036432462,0.0037115692,0.0037892014,0.0039082864,0.0040089774,0.0040641798,0.0041288682,0.0041727792,0.00423759,0.0042720116,0.0043533804,0.004221151,0.004120664,0.0040221694,0.0039905154,0.0040598278,0.0041406322,0.0040407334,0.0040771032,0.0039473184,0.004282453,0.0045770562,0.0049911796,0.0050050754,0.0052067566,0.0052225598,0.0051836944,0.005176177,0.0051498712,0.0056144098,0.0057025888,0.0058573908,0.006034371,0.0062587948,0.0064431088,0.0065981114,0.0066635886,0.0069331678,0.0070999242,0.007294207,0.0074062948,0.0076770844
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",1.49464e-05,1.53238e-05,1.54938e-05,1.76528e-05,1.7748e-05,1.72584e-05,1.79146e-05,1.87578e-05,1.97234e-05,1.9907e-05,2.07978e-05,2.05904e-05,2.03286e-05,1.96724e-05,1.96996e-05,2.00056e-05,2.0383e-05,2.51192e-05,3.23e-05,3.71212e-05,3.6958e-05,3.90218e-05,3.90592e-05,3.90796e-05,4.33466e-05,4.34758e-05,4.34928e-05,4.35132e-05,3.9338e-05,3.90898e-05,4.09156e-05,4.09292e-05,4.14256e-05,4.20512e-05,4.2279e-05,3.9882e-05,3.95658e-05,3.90864e-05,3.99466e-05,3.9423e-05,4.05518e-05,4.1174e-05,4.17452e-05,4.25884e-05,4.25884e-05,4.27754e-05,4.16262e-05,4.14494e-05,4.12148e-05,1.9431e-05,1.9601e-05,1.9601e-05,1.95364e-05,1.95942e-05,1.91318e-05,1.955e-05,1.9601e-05
"Argentina",0.0944415858,0.0946563366,0.088993844,0.0937689604,0.102617831,0.1065696204,0.111447716,0.1115099462,0.1052621028,0.1053417172,0.1076128764,0.1124099466,0.117178263,0.1172540524,0.1199794312,0.1227880352,0.1281208298,0.1214401324,0.1196057712,0.1172259004,0.1144487362,0.1115054276,0.1133629904,0.1148502762,0.1136874116,0.11094846,0.1076336776,0.1100297698,0.1106452786,0.1109648956,0.1095660506,0.1109534308,0.1091137044,0.109969668,0.1090680526,0.105403876,0.1042431398,0.1002840132,0.1028223478,0.1011698288,0.1011102234,0.1066551678,0.1144138964,0.1168598462,0.1173194208,0.1199863434,0.1208469854,0.1188134522,0.1125725244,0.1020862274,0.1007551002,0.1042693436,0.1064991248,0.107769766,0.1082385818,0.1104002236,0.111870268
"Armenia",0.00165577646494361,0.00176599201747041,0.00185356581093508,0.00181700903964476,0.00183374325465757,0.0019321858683229,0.00200091092659594,0.00200590700407293,0.00198664088999576,0.00195615307288243,0.00203015164221052,0.00207879256596609,0.00210368492519758,0.00215053301180185,0.00219900658973207,0.00221217887623152,0.00220296598385204,0.00224502761658155,0.00227143106419338,0.00229048148154572,0.00228741462083929,0.00230309536071872,0.0023219372507209,0.00235989479575435,0.00237087144582299,0.00235820799366466,0.00237154663219497,0.00231409870523219,0.00232920871709928,0.00230809858716126,0.00226372923086458,0.0009517756,0.0008452502,0.0008311028,0.0008187948,0.0008183018,0.0008159728,0.0007466672,0.0007565748,0.000764354,0.000790024,0.0008229326,0.0008551,0.0008959986,0.0008995244,0.0009240078,0.0009682928,0.000975919,0.000898654,0.0008717736,0.0008753028,0.0009217808,0.0010173344,0.0010465608,0.0010660292,0.0010904106,0.0010184122
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.241e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0.0869787048,0.0900556742,0.0913725112,0.0939266354,0.0949901214,0.089365702,0.091991267,0.094784962,0.0997904522,0.1045908748,0.1086072064,0.111014896,0.1082795382,0.112899788,0.1187427696,0.119224944,0.111401918,0.1054184416,0.1015435942,0.100212093,0.0973565588,0.0972297422,0.091085643,0.0925619944,0.0967495364,0.0972831392,0.094489706,0.095430214,0.0990963864,0.103201067,0.1019513324,0.0988631906,0.0963614094,0.0986812804,0.0952998818,0.0971081038,0.0980772534,0.0974846844,0.0965605984,0.0993808814,0.098152883,0.0968697808,0.0909753096,0.0935024786,0.0938757748,0.0928114184,0.0892803008,0.0847686096,0.0850482732,0.0811658642,0.0869811154,0.08771847,0.0898239336,0.0882245872,0.084162988,0.0773418706,0.081819657
"Austria",0.008927414,0.0090962002,0.00897974,0.0086953436,0.0087767974,0.008866129,0.009103993,0.009087333,0.0089590442,0.0088936588,0.0090183436,0.008947644,0.0090290706,0.0092690188,0.0092007298,0.009051157,0.0090908928,0.0091305436,0.0092738706,0.009145218,0.0089986882,0.0091062302,0.0091594708,0.0093612234,0.0094711454,0.009395441,0.0093045352,0.0091922196,0.0088859034,0.008904124,0.0088833534,0.0087043026,0.008376665,0.008234834,0.0077775714,0.0077598574,0.0076284474,0.0074446638,0.0074157468,0.0072786112,0.0072337822,0.007145712,0.0069243244,0.0068016592,0.0067625456,0.0066748596,0.006630374,0.0066819486,0.0066218536,0.0067136808,0.006686474,0.006565026,0.0065098032,0.0065145462,0.0065182556,0.0065067704,0.006506444
"Azerbaijan",0.00892007721981699,0.00938062122401908,0.0097365804039802,0.00957195331418121,0.00946119846274407,0.00992978557083996,0.0103190754818815,0.0104460738764998,0.0104275873034011,0.0101202511156234,0.0104523242035377,0.0106295301207909,0.0107070753237658,0.01094247617381,0.0111413564094649,0.0111307169800377,0.0110359624043088,0.0111871638246981,0.0112687609584762,0.0113466147463394,0.0112936881492624,0.0113492861118512,0.0113932607035321,0.0115822165116974,0.0116043373023027,0.0115934259076321,0.0116452538314441,0.0114302301235661,0.0114733326005576,0.0113943478466681,0.0111699928129641,0.0035541696,0.0033835712,0.0031772184,0.0032134148,0.00330412,0.0034921876,0.0036329782,0.0037778182,0.0039056888,0.0041168322,0.0042332584,0.004414951,0.0045476054,0.0046830376,0.0048609392,0.0049751486,0.005108602,0.005212489,0.005276205,0.0052839434,0.005335144,0.0053929916,0.0054201644,0.005424938,0.0053942836,0.0053463028
"Bahamas",1.37598e-05,1.37972e-05,1.38142e-05,1.50382e-05,1.51334e-05,1.52592e-05,1.5215e-05,1.40692e-05,1.3175e-05,1.25052e-05,1.23216e-05,1.16076e-05,1.09344e-05,1.03394e-05,9.8192e-06,9.9246e-06,9.4452e-06,8.5816e-06,8.1804e-06,8.0546e-06,8.1022e-06,7.9118e-06,7.973e-06,7.9628e-06,8.075e-06,8.0546e-06,7.8132e-06,7.6262e-06,7.7656e-06,7.7656e-06,7.2352e-06,7.3576e-06,7.0176e-06,6.6912e-06,7.8336e-06,8.6428e-06,8.1668e-06,9.3296e-06,7.3168e-06,7.2046e-06,7.3882e-06,7.2148e-06,7.7894e-06,8.0308e-06,8.058e-06,8.0478e-06,8.0478e-06,8.0478e-06,8.0478e-06,8.0512e-06,8.0614e-06,8.1736e-06,8.1736e-06,8.1736e-06,8.1838e-06,8.1294e-06,8.0342e-06
"Bahrain",6.3546e-06,6.494e-06,6.6334e-06,6.7728e-06,6.9224e-06,7.786e-06,7.8404e-06,7.8404e-06,8.1158e-06,8.194e-06,8.4898e-06,9.4758e-06,1.01354e-05,8.925e-06,9.1018e-06,9.2786e-06,9.7444e-06,9.877e-06,1.1186e-05,1.1186e-05,1.11996e-05,1.1951e-05,1.21958e-05,1.25868e-05,1.47798e-05,1.63574e-05,1.81254e-05,2.23618e-05,2.52178e-05,2.56836e-05,2.47996e-05,2.50546e-05,2.4429e-05,2.35586e-05,2.16784e-05,2.35892e-05,2.3749e-05,2.42454e-05,2.5449e-05,2.42556e-05,2.31778e-05,3.1297e-05,2.7081e-05,2.51532e-05,2.48166e-05,2.49934e-05,2.4718e-05,2.1012e-05,2.16104e-05,2.52042e-05,2.52144e-05,2.53096e-05,2.58366e-05,2.584e-05,2.49492e-05,2.45446e-05,2.48812e-05
