Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.0133849493055393,0.0120831951146363,0.0111936465922621,0.0105423888573096,0.0100421616123633,0.00963901729649646,0.00930277359516754,0.00901702712326078,0.00877038471084566,0.00731382407405527,0.00643892766479732,0.00582180465122584,0.00534370132816902,0.00495813698167527,0.00463391723365988,0.00435821449045524,0.00411285727187979,0.00389946680491296,0.00371100323325128,0.00337893296032488,0.00307742569364051,0.00283425237036575,0.00263662582992722,0.00247551130808366,0.00233798608143299,0.00220890728174897,0.00208759047353101,0.00197527340383985,0.00189440590734683,0.000814204067008468,0.000324283159378445,-2.43382840253872e-05,-0.00033425324018108,-0.000608804372477648,-0.000860744762950031,-0.000893085407835207,-0.000940025419861921,-0.00102175004459997,-0.00110701669450817,-0.000289222236621939,0.00350351282674125,0.0155416774396906,0.0147666120784113,0.0146732868302362,0.0150966851861551,0.0147179261271575,0.0149212989211836,0.0148687323866058,0.0148170780126752,0.00823815351786832,0.00409628212379449,0.00175825204617981,4.04180356296442e-05,-0.00103475228355688,-0.00202259712980121,-0.00229129332806082,-0.00262309591806317
"Albania",0.00540925519536661,0.00509850411764616,0.0048988002205026,0.00477406543046914,0.00467746787235734,0.00452898857717278,0.00440802538950525,0.00438133730067179,0.00442906307379804,0.00413130339846706,0.00393094084795933,0.00372237966815483,0.00354059872590049,0.00337510765187869,0.00321737092342668,0.00306237885180671,0.00292466996486921,0.0027685271177055,0.00262308992578652,0.00219815088222296,0.00199013929712219,0.00185252510755676,0.00173796835410232,0.00161953204465878,0.00152060002923443,0.00143754117124739,0.00134794458501852,0.0012726991328195,0.00121950080139814,0.00103963908256884,0.000950452607742469,0.000808551853515627,0.000322770679881627,-2.55092067167359e-05,-0.000297922547232623,-0.000524488634191324,-0.00068102106709865,-0.000905507307103552,-0.00102922089158548,-0.00100626661754992,-0.000715530620757374,-0.00100956869050231,-0.000471792174525256,-0.00121938356063643,0.00320424698417286,0.000272941183201531,0.00363344562531035,0.00242004287129613,0.00149704374606802,0.000706788216516028,0.00116649013391006,0.000855693441212543,0.000611687100519069,0.000615699875477972,0.000793833948495895,0.000459575438006471,0.00054807467777885
"Algeria",0.0104948405985856,0.00714482511598677,0.00499051242602125,0.00352449520461868,0.0024711931651129,0.0016706271127658,0.00103753984870975,0.00052024103314361,9.30720560761199e-05,0.00515730210481295,0.00756278509816114,0.00888533958972616,0.00972232547800543,0.0102811084963133,0.0106829253207373,0.0109809754229615,0.0112241353442976,0.0114181569625905,0.0115863396855041,0.00783764294811627,0.00618506626412104,0.00535954522526824,0.00494588900275199,0.00475356495012637,0.0046779499728824,0.00469954817225027,0.00476608626922819,0.00486783482247555,0.00494920945164687,0.00768173937346178,0.00916343584721602,0.00999414339525505,0.0105504011129243,0.0108528753749443,0.0110134594494608,0.0111107401302465,0.011171207636173,0.0111825120438866,0.0111715498553855,0.00662442230456648,0.0078342929793121,0.00805371028184299,0.00841808961928966,0.00993888846647037,0.00756179475867925,0.00601052897638234,0.00668306275229628,0.00524919195433366,0.00370269837552888,0.00354991498046591,0.0053256631064051,0.00375016887864337,0.00404053847419376,0.00549755340925209,0.00453451026563826,0.00469627463032904,0.00450147794242752
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",-1.23753484007641e-05,-1.1793509118791e-05,-1.12396567987063e-05,-1.07124826216021e-05,-1.02107201477021e-05,-9.7331622266043e-06,-9.27866876538773e-06,-8.84614027327881e-06,-8.43452351668229e-06,-8.05770851015106e-06,-7.69788330926463e-06,-7.35426417723123e-06,-7.02610633695537e-06,-6.71270123050331e-06,-6.4133748759053e-06,-6.1274855506374e-06,-5.85442174160407e-06,-5.59360103559645e-06,-5.34446806091181e-06,-5.15569463264948e-06,-4.97508290448897e-06,-4.80226365893926e-06,-4.63688332416278e-06,-4.47864177868449e-06,-4.32721103583593e-06,-4.18228200263571e-06,-4.04359556685543e-06,-3.9108664553239e-06,-3.78383480894521e-06,-7.78384549086157e-06,-1.16331102706021e-05,-1.53373525236367e-05,-1.89020722342967e-05,-2.23325698043115e-05,-2.56339630618085e-05,-2.88111203760872e-05,-3.18687806698283e-05,-3.48114729134115e-05,-3.76435458129069e-05,-4.16920322250225e-05,-3.87895161217577e-05,-3.72068427732686e-05,-3.56902247671005e-05,-3.4079748179375e-05,-3.3360296135971e-05,-3.1837902574794e-05,-2.94221197545585e-05,-2.8065678834539e-05,-7.52101627628228e-06,1.93551780009566e-05,2.82395860271656e-05,3.01860922377519e-05,3.02552601578046e-05,3.25056215852268e-05,2.90385375235571e-05,2.701526161806e-05,2.38066793813554e-05
"Angola",0.0962441974970382,0.0823768467727734,0.0725433173801426,0.0657244192567209,0.0599300926232342,0.0559836093490101,0.0521712919652826,0.0499031918179411,0.0474081660281333,0.0436967707739881,0.0408603193956182,0.0383424206625406,0.0361842202696973,0.0343244730768942,0.032817916720186,0.0314569046195758,0.0301928740237912,0.0290296127733465,0.0279378081535603,0.0284262638611275,0.0280987498221758,0.0275362195465209,0.0270061060765188,0.0265770491115291,0.0261682438050974,0.0257631304768002,0.0253504596815312,0.0249567669404135,0.0246219558215129,0.0227885309892678,0.0216227815108844,0.0207467786249428,0.0202212030300335,0.0197120536235169,0.0191863651626225,0.0186906450583223,0.0182569518999464,0.017885317815405,0.0175671368711292,0.0181798911956539,0.0303900656468809,0.0512048622122509,0.0387900461325531,0.0330892277007166,0.0289773960382701,0.0408502578175884,0.0328819123321339,0.106286360798931,0.0833424595097161,0.140325282713892,0.127799635001823,0.152432289210993,0.157760375059907,0.186349996835595,0.179171155197167,0.19353563479798,0.204168709558847
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",-4.0147289759094e-06,-6.48896704580778e-06,-7.23934608023467e-06,-5.15158709502681e-06,-3.30476598920681e-06,-1.77371400878099e-06,-4.8170533992609e-07,6.24739033323239e-07,1.58369163304919e-06,8.89434907414298e-06,1.22775555680816e-05,1.44067766437146e-05,1.59419123106271e-05,1.71357589762204e-05,1.81121823089483e-05,1.89394994559892e-05,1.96576662754365e-05,2.0291043885841e-05,2.08558104472651e-05,3.13882256919172e-05,3.677670926325e-05,4.01713574821944e-05,4.22147899533211e-05,4.38523668788771e-05,4.51712259339039e-05,4.62616953794972e-05,4.71842447814815e-05,4.79775662318619e-05,4.86674486908319e-05,2.63938062495333e-05,1.52543698017188e-05,8.22088988010776e-06,3.24258381877113e-06,-5.33551569959611e-07,-3.54363592364108e-06,-6.03276608003332e-06,-8.14611963806488e-06,-9.97406077059203e-06,-1.15756978424478e-05,-1.07185761277295e-05,-9.69978228077648e-06,-8.8020080633431e-06,-8.03408378010039e-06,-7.372560048713e-06,-6.79545863024104e-06,-6.28594199129923e-06,-5.83136140774135e-06,-5.42242622813535e-06,-3.92810426065467e-05,-3.34894588912627e-05,-2.91130063539968e-05,-3.42705481569782e-05,-2.99355386949508e-05,-2.64252274542274e-05,-2.34894774686195e-05,-2.10489540475334e-05,-1.89705246040097e-05
"Argentina",0.124586466113736,0.136820250957576,0.145170939836974,0.152087637360577,0.157706866381538,0.159953034441144,0.162792150288093,0.165821154172047,0.168546646654393,0.115480920296876,0.0893111519532297,0.0731209382399606,0.0618184632832177,0.0537033948259683,0.0473121768751924,0.0424110010037796,0.0381924120365779,0.0344208378990976,0.0316485033099074,0.0312297198016898,0.0296083219357225,0.0283450308486606,0.0277148207847148,0.0269845188123132,0.026063813497645,0.0248745122249408,0.0241925853924379,0.0238484256967439,0.0236364477753396,0.0369390312273073,0.0433029062009612,0.0474808824345589,0.0493454747577022,0.0507242112832114,0.0516903548960225,0.0522016264249475,0.0523993421908519,0.0528132016645172,0.0517556141574006,0.0475294218332281,0.0463870472214894,0.0977898431366965,0.131245668504887,0.0698397704123683,0.191027716865878,0.219914664182673,0.114448058839893,0.0574855285265953,0.45829958501771,0.30810053256577,0.280132185068981,0.37204002982497,0.386042817482546,0.334943616490909,0.411873018578709,0.0510105344469792,0.278665933844992
"Armenia",0.00286909298804269,0.00259808849768066,0.00237725755443937,0.00218768861903299,0.00202247225171883,0.00187761245888361,0.00175005736702958,0.00163507780281625,0.00152757780916098,0.00137251095346858,0.00127714910067717,0.00119919633051178,0.00113072234640939,0.00107021454295033,0.00101646662793558,0.000968436058080986,0.000925430586978846,0.000886799644679648,0.000851987702966341,0.000772697798303366,0.000728735862457356,0.000692597878952752,0.000660162022412291,0.000630633769633884,0.000603681965404193,0.000579076316190417,0.000556551366568578,0.000532567813640384,0.000511984267699561,0.00038187177143476,0.000273929248986033,0.000181476737887526,0.000100124603949485,2.6924276478501e-05,-3.95156408734483e-05,-0.000100150427199094,-0.000155707224599037,-0.000206785847917774,-0.000253979019488867,9.03100976777797e-05,0.00186899938126433,0.00227166788405569,0.00258815070165774,0.00406849378988853,0.00608947538173254,0.00303307959322864,0.00220428408542439,0.00241957774102775,0.00171813030325177,0.00127907717415768,0.00109820455271215,0.000811944850576554,0.000502161846608961,0.000449319783762712,0.000200785256152608,3.7792496475293e-05,-0.000146816054443134
