Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.0027958062,0.0028328476,0.0028413704,0.0028835374,0.002934704,0.00304407,0.003131086,0.003240601,0.003237174,0.0032344324,0.0031931892,0.0023955922,0.0027081644,0.0029815794,0.0032676594,0.0033726746,0.0032788046,0.003215271,0.0031133848,0.0031484594,0.003105905,0.0031534956,0.0029294592,0.0027430304,0.002496048,0.002049346,0.002264204,0.0024370738,0.002461331,0.0024533744,0.0025566314,0.0025187854,0.0025786238,0.002416333,0.0025125572,0.0027212168,0.0030160282,0.0032747816,0.0035383328,0.0030570926,0.0026568488,0.003009055,0.0031101366,0.0030886806,0.0032751988,0.0031344534,0.0030158792,0.0033115548,0.003567656,0.0039484404,0.004055482,0.0040912122,0.0041318594,0.0044370114,0.0039574698,0.0043794974,0.0046118182
"Albania",0.0006207936,0.0006223432,0.0006125092,0.000620287,0.000659474,0.0006665068,0.0006983928,0.0007173456,0.0006809002,0.0007148722,0.0007416922,0.0007380864,0.000769436,0.0007858856,0.000790892,0.0008890532,0.0009400112,0.0011082024,0.0011293306,0.0011431578,0.0011803184,0.001181272,0.0012120852,0.0012255846,0.0011996288,0.0012312168,0.0012287732,0.001290042,0.001380485,0.0013071174,0.0009680828,0.0009188234,0.0009851284,0.0012060656,0.0012008208,0.0010542644,0.0009883766,0.0010299476,0.0009734468,0.0010277126,0.0009909096,0.0011336218,0.001146257,0.0011016166,0.0011039112,0.0010528042,0.0010164482,0.0009650432,0.000964328,0.0009565204,0.0009883468,0.0010027998,0.00098489,0.000998598,0.001040169,0.0010759886,0.0010371294
"Algeria",0.0011692328,0.0012304122,0.0011295392,0.001115563,0.0013100676,0.0012917704,0.0015758538,0.001730784,0.0018037046,0.0019303248,0.0021135948,0.0022768392,0.0021519772,0.002131594,0.002163629,0.0021765324,0.00225437,0.0024143662,0.0026311612,0.002974934,0.0028274836,0.0028963812,0.0030839424,0.0032896518,0.0034801334,0.0035067746,0.0033590262,0.003106799,0.0032372038,0.0033652544,0.003293496,0.0034370724,0.0035069534,0.0032938834,0.003193517,0.0032800562,0.0031370758,0.0036436162,0.0035694738,0.0034663062,0.0036373284,0.0034440158,0.0036497252,0.0043049974,0.0036721646,0.0040473168,0.0040156394,0.0037407046,0.004280919,0.004551801,0.0046615544,0.0049939138,0.0051152892,0.0052897086,0.0053607816,0.0053035954,0.0052466178
"American Samoa",1.1026e-06,1.043e-06,1.2516e-06,1.4602e-06,1.5198e-06,1.4304e-06,1.0728e-06,9.536e-07,1.0132e-06,1.0132e-06,1.0132e-06,9.834e-07,9.834e-07,1.0132e-06,1.0132e-06,1.0132e-06,1.043e-06,1.0132e-06,9.238e-07,8.94e-07,8.94e-07,9.536e-07,1.0132e-06,1.1026e-06,1.1026e-06,1.1324e-06,1.1622e-06,1.1622e-06,1.192e-06,9.536e-07,9.536e-07,9.536e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.536e-07,9.536e-07,9.536e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07,9.834e-07
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0008369628,0.0008871162,0.0009207306,0.0010002668,0.001080995,0.0011329662,0.0012363424,0.0012446268,0.0013488672,0.001447386,0.0015845852,0.0016322056,0.0016583104,0.0016753262,0.0016843556,0.0015974886,0.0017005966,0.0017394856,0.0017996518,0.0018564804,0.00185505,0.0018767444,0.0019157824,0.0019474896,0.0020344758,0.0020285158,0.0019863488,0.001952943,0.0019388476,0.0018807078,0.0019126534,0.001954731,0.001898707,0.0018460206,0.0018319252,0.0019985966,0.0021292398,0.002316354,0.002320228,0.0024071546,0.0024382956,0.0024797176,0.0024752774,0.00252406,0.002710608,0.002798369,0.0029030862,0.0029915028,0.0031633594,0.003339388,0.0034632666,0.0034920534,0.0037484526,0.003942391,0.0040837324,0.004102566,0.0042637542
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",4.3806e-06,4.5296e-06,4.5296e-06,5.0958e-06,5.1554e-06,5.0958e-06,5.3044e-06,5.513e-06,5.7216e-06,5.8408e-06,6.3772e-06,6.1984e-06,6.1686e-06,5.811e-06,5.7812e-06,5.811e-06,6.0792e-06,7.152e-06,8.9996e-06,1.0281e-05,1.00724e-05,1.06088e-05,1.06684e-05,1.0728e-05,1.16518e-05,1.17412e-05,1.17412e-05,1.1771e-05,1.07876e-05,1.0728e-05,1.1026e-05,1.10558e-05,1.13538e-05,1.17114e-05,1.2069e-05,1.192e-05,1.22478e-05,1.23372e-05,1.2665e-05,1.23372e-05,1.2665e-05,1.29034e-05,1.33504e-05,1.33802e-05,1.34994e-05,1.35888e-05,1.341e-05,1.3261e-05,1.32312e-05,7.9268e-06,7.9864e-06,8.1354e-06,8.046e-06,7.9864e-06,7.8374e-06,8.3142e-06,7.9864e-06
"Argentina",0.0261432718,0.0258401164,0.0248540642,0.0262780274,0.0279816934,0.029154085,0.0305097168,0.0300926956,0.0287879622,0.0288256592,0.029570391,0.0304988398,0.0318835564,0.0314794982,0.0320029948,0.032910077,0.0338377808,0.0325976836,0.0321412966,0.0314157858,0.031315628,0.0309580578,0.0313118434,0.0319618112,0.0314360796,0.0306838382,0.0297663558,0.0304324156,0.0301376042,0.0304407,0.0302718234,0.0309423234,0.0304021686,0.031361073,0.031364053,0.0315237214,0.03171912,0.0310807444,0.0311691312,0.0316491794,0.0321093808,0.0337245408,0.0369893096,0.037992914,0.0378787502,0.0391692988,0.041524065,0.039781957,0.0346932494,0.0360079658,0.0367552902,0.0362928538,0.0377382432,0.038288828,0.0381112796,0.0407646716,0.0419930276
"Armenia",0.000645178763851317,0.000708205782911262,0.000767482488158345,0.000781058737771091,0.00085514973058826,0.000937065839060151,0.0010044048515193,0.00104527146606456,0.00107901072310052,0.00117492915810776,0.00127430563907575,0.00134087809477924,0.00142309238341806,0.00149247005245765,0.00158037246932391,0.00156660197838998,0.00159809655076824,0.00163509915754999,0.00161817988912303,0.00171716541140371,0.00172793096093464,0.00181189633253408,0.00197151155703268,0.00197913190899257,0.00206110207853409,0.00212258822994972,0.00216418162606035,0.00212037449546394,0.00192813102147881,0.00178435693527553,0.00165056158419043,0.000635932,0.0005394098,0.0004767404,0.0004720916,0.000482611,0.0004732538,0.000456834,0.0004437518,0.0004505462,0.0004584134,0.0005475452,0.0005278772,0.000572607,0.0005520748,0.0008549024,0.0006963664,0.0006708278,0.0007270306,0.0006535736,0.000699406,0.0008571374,0.000921267,0.000874779,0.0009768142,0.0015078502,0.0011054012
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4006e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0.034086283,0.0354640562,0.0361477278,0.037403172,0.0378209382,0.0360558842,0.0370416384,0.0388007622,0.0403799536,0.0420427936,0.0434637768,0.0436685624,0.0423236884,0.044124711,0.0463687404,0.0466874216,0.0434993878,0.0420697626,0.040953544,0.0401078498,0.0397073378,0.0391787156,0.0386007446,0.039189533,0.0407295374,0.0407863958,0.0399144776,0.0406893968,0.0426086956,0.0443814976,0.0435841092,0.0424271838,0.0418087146,0.0416100678,0.041342583,0.0434350198,0.043399677,0.0441511436,0.0444387136,0.0447061686,0.0444853506,0.0438382436,0.0403804304,0.0436621554,0.0427771848,0.0416737206,0.039101623,0.0378906404,0.038469118,0.0377543948,0.040825702,0.0414104376,0.0421836284,0.0420632066,0.0400324558,0.0369763764,0.0396951496
"Austria",0.0024825784,0.0025923914,0.0025842858,0.0025606842,0.0026649246,0.0027042606,0.0028307914,0.0029249594,0.0029644742,0.0029657258,0.0031122524,0.0030544106,0.0030728866,0.0031004814,0.0030418052,0.0031906264,0.003138685,0.0032941218,0.003321657,0.0033544966,0.0032958204,0.0032926318,0.0033356034,0.0034351652,0.003495838,0.0032740962,0.0032105626,0.0032804734,0.0030927632,0.0031793024,0.003137642,0.0030214518,0.0029106554,0.0029068112,0.0028408042,0.0028875306,0.0028521282,0.0028075474,0.0027650228,0.0026787518,0.00269243,0.0029851256,0.0037028586,0.0024802838,0.0024816844,0.002425571,0.0023281846,0.002406201,0.002329317,0.002382063,0.0024275676,0.0024680062,0.0024691088,0.0025666144,0.0025559758,0.0025818124,0.0025142856
"Azerbaijan",0.00274167800124223,0.0028848815983673,0.00296954374730842,0.00294259465688344,0.00288455561569453,0.00305640506779939,0.00314977093905599,0.00320644632422172,0.00320343679323085,0.00313882517596509,0.00324407166821529,0.00329559345579941,0.00337020180405468,0.00342453013236107,0.00345613997231575,0.00350737037297764,0.00346351798321518,0.00353713610311085,0.00352461064451117,0.00355525517913491,0.0035233507451581,0.00356136999713279,0.00359529644973379,0.00363141526822007,0.00364789738154719,0.00366455359419589,0.00368031882719946,0.00360171356169486,0.00360717408096155,0.00358486592221906,0.00347028430625345,0.0020178772,0.0017875828,0.0016665054,0.0016566118,0.0015871182,0.0016952922,0.0017170462,0.0017905926,0.0018059992,0.0019828622,0.002095536,0.0021529308,0.002271952,0.0023228802,0.0024279252,0.0024512586,0.0026345286,0.0026736262,0.0026025234,0.0026978238,0.0027834988,0.002815504,0.0028987652,0.0027306634,0.0028731968,0.0027390968
"Bahamas",8.4632e-06,8.5526e-06,8.6122e-06,9.1188e-06,9.6254e-06,1.15326e-05,1.22776e-05,1.19796e-05,1.12048e-05,1.12346e-05,1.14134e-05,1.17114e-05,1.34994e-05,1.16518e-05,1.07876e-05,1.35888e-05,1.45126e-05,1.1473e-05,1.0132e-05,1.12346e-05,1.27544e-05,1.15326e-05,1.06386e-05,1.09068e-05,1.03704e-05,1.0281e-05,1.05194e-05,1.0579e-05,1.1324e-05,1.03406e-05,1.01022e-05,1.0877e-05,1.0132e-05,8.8506e-06,1.37974e-05,1.82078e-05,1.5049e-05,2.12474e-05,1.2516e-05,1.24266e-05,1.46914e-05,1.2367e-05,1.41848e-05,1.43338e-05,1.43338e-05,1.43338e-05,1.43934e-05,1.43338e-05,1.43636e-05,1.43338e-05,1.43338e-05,1.87442e-05,1.74628e-05,1.788e-05,1.8774e-05,1.85952e-05,1.79992e-05
"Bahrain",3.3376e-06,3.3972e-06,3.4568e-06,3.5462e-06,3.6058e-06,4.1422e-06,4.172e-06,4.172e-06,4.3508e-06,4.4402e-06,4.619e-06,5.215e-06,5.662e-06,5.0958e-06,5.96e-06,6.0494e-06,6.5262e-06,6.6752e-06,7.3606e-06,7.301e-06,8.9698e-06,7.9566e-06,8.94e-06,9.8936e-06,1.0281e-05,1.58834e-05,1.17412e-05,1.39166e-05,1.54662e-05,1.61218e-05,1.60622e-05,1.62112e-05,1.54662e-05,1.51086e-05,1.43338e-05,1.5198e-05,1.53768e-05,1.7582e-05,1.48404e-05,1.41848e-05,1.34696e-05,2.16646e-05,2.88464e-05,3.43296e-05,3.12602e-05,3.07834e-05,2.10388e-05,2.67008e-05,2.04428e-05,3.01278e-05,3.5611e-05,3.49256e-05,3.64156e-05,3.79354e-05,2.74756e-05,1.51384e-05,1.51086e-05
