Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.0119816614938321,0.0108077483432814,0.0100232529240205,0.00945988052457041,0.0090302662081539,0.00868643867881443,0.00840116557960057,0.00815840261980585,0.00794826428559619,0.006598159361473,0.00580745062834038,0.00526229043695517,0.00485259247142955,0.00452690298631972,0.0042575636305419,0.00402865422140461,0.00383049366023682,0.00365688787856982,0.00350358875087414,0.00317725071680484,0.00295300243444405,0.00277846417580398,0.00263468818698178,0.00251236112027858,0.002406142850543,0.00231268738026319,0.00222977241552474,0.00215580667207134,0.00208957007887447,0.00171056320061549,0.00147759551054911,0.00130974401531261,0.00117881531979316,0.00107155759202057,0.00098075144776692,0.000902200209884028,0.000832874424226522,0.000771167533130805,0.000715965555257817,0.00109781202730473,0.00126495190677766,0.00865815451104383,0.00525654417201235,0.00390461482466994,0.00326303265224059,0.00271728499720373,0.00239770353642007,0.00222712029926455,0.00221780671587223,0.00217423330122334,0.00173851896482678,0.00162575910598838,0.00157560443142784,0.00153257045014334,0.00136107359039903,0.00128995770683815,0.00126855587154394
"Albania",0.00267766174717973,0.00268655859580328,0.00269646551053338,0.00270519075623066,0.00271289592055224,0.00271995486309034,0.00272681804635482,0.00273384450943135,0.00274040042032855,0.00251748436450248,0.00243466891713047,0.00238190742248911,0.00233996400394412,0.00230442811214135,0.00227364739948529,0.00224668696638568,0.00222289939536577,0.00220179403965892,0.0021829813901284,0.00176847353424637,0.00156091794549984,0.00141493369680848,0.00129823523857634,0.00120008334912977,0.00111533933422176,0.00104100324994498,0.000975122389559562,0.000916058743006329,0.000862494752732163,0.000774111315204119,0.000713020261454041,0.000661948894737954,0.000617062193533137,0.000577037057658392,0.000541030589861247,0.00050846376231913,0.000478895136576928,0.000451966053618595,0.000427398420651245,0.00044619308158985,0.000427966224010954,0.000396583948568327,0.000953048918316223,0.000595678217549336,0.00470163858675188,0.00219588679540258,0.00194461939133242,0.00165748313266344,0.00135747324572305,0.00118429949951255,0.00105536830743353,0.000938359838918368,0.000879052019913102,0.000796167009947206,0.000712959337244806,0.000656014428498248,0.000598530952970527
"Algeria",0.00903888815931374,0.00667507911026992,0.00521950867480006,0.00426199953843405,0.00359110232011131,0.00309254813924305,0.0027030305790446,0.00238658975049265,0.00212213815239265,0.00681657607911481,0.00896076352396417,0.0101206645230589,0.0108041842453684,0.0112328176322422,0.011518557010206,0.0117210341450416,0.0118729249289372,0.011992273726045,0.012089452982457,0.00843963869900662,0.00672545422868353,0.00577149087413182,0.00519062361135415,0.00481168605361215,0.00454764094052968,0.00435178174097757,0.0041982939655684,0.00407263227542633,0.00396629769463112,0.00644285911406322,0.00771423042599279,0.00843897784145892,0.00887927776723482,0.00916126793148289,0.00935265209348091,0.00949004131341324,0.0095933626126624,0.00967386901572764,0.00973850474151993,0.00600625393061368,0.00717263369640807,0.00730567990191418,0.0080933935954715,0.00937864690494565,0.00708583045782226,0.00567055351979007,0.00636080584251712,0.0050894987188365,0.00386955316204894,0.00362375980569498,0.00532783380316258,0.00398368361729223,0.00400360262214136,0.00538520683755259,0.0044271549045019,0.00459456550659211,0.00442416068683769
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.119887143223598,0.118009642914975,0.116256283971944,0.115216488519994,0.113764739026597,0.113229065445496,0.112083152089818,0.111787737486561,0.110762898209644,0.107525644009569,0.105060026282709,0.103301620754565,0.101833215646839,0.100524496010345,0.0993178559051596,0.0981814735436122,0.0970974079152959,0.0960691733462588,0.0950496978942954,0.0940260959206829,0.0930524162825711,0.0921126999285412,0.0912009895182266,0.0903124705593853,0.089443313867747,0.0885907833858039,0.0877524588087183,0.0869261369391302,0.0861093171108551,0.0846627278806089,0.0834598208586719,0.0823417993162956,0.081270070922938,0.0802295380078011,0.0792137975201785,0.0782187902953847,0.0772413327624302,0.0762788413738111,0.0753292076851425,0.0749025307535451,0.0858091626720556,0.105447476358302,0.0897123289413382,0.0840730153991776,0.0811878897837722,0.0916964963026301,0.0838103781773586,0.157969926781672,0.134689169866653,0.191993675577951,0.179811995287095,0.204873897898315,0.207624471270259,0.235996008171764,0.230442314649742,0.24394853143107,0.252739434059689
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",4.6053177452062e-06,1.71850971174774e-06,7.71233070634732e-07,7.36848977978943e-07,7.32464564658566e-07,7.26726292214124e-07,7.20830819570149e-07,7.153268448952e-07,7.10427682208596e-07,1.07728553562451e-05,1.51295887522356e-05,1.76288573410467e-05,1.92772047084026e-05,2.04562477594644e-05,2.13508754603867e-05,2.20614571225799e-05,2.26454997655824e-05,2.31371799781911e-05,2.35582754509957e-05,2.99760858318801e-05,3.33843904584394e-05,3.55109388646714e-05,3.66260318648278e-05,3.75454907378874e-05,3.82852048525498e-05,3.88946678894397e-05,3.9409392730472e-05,3.98519391359971e-05,4.02370749010674e-05,2.42239287696345e-05,1.69319869102873e-05,1.27677152010485e-05,1.01015155159205e-05,8.26526396480855e-06,6.92534956095108e-06,5.90019855735649e-06,5.086378454149e-06,4.4226000422705e-06,3.87089220561153e-06,3.71295053659605e-06,3.51050379488322e-06,3.30910969014408e-06,3.12291510419307e-06,2.95618989437019e-06,2.80971659723557e-06,2.68257970331213e-06,2.57332513592683e-06,2.48001674084652e-06,1.86974587431146e-06,1.63803737609364e-06,1.48933648315569e-06,1.27464763411511e-06,1.16867981514156e-06,1.09530158237449e-06,1.05667289872316e-06,1.02070723444588e-06,9.90298521868652e-07
"Argentina",0.100015831320147,0.114346313975122,0.124513667665002,0.132253249119755,0.138440535027521,0.143569955355777,0.147927942934222,0.151699245316079,0.155015018875706,0.107636012694696,0.0845309523107795,0.0705426380590706,0.0610738808680341,0.0541613872207136,0.0488227982584418,0.0445129785146963,0.0409196574781359,0.0378608648560944,0.0352065995026703,0.0346354213015701,0.0335283190381187,0.03233297316728,0.031161637533977,0.0300685283979325,0.0290667159649701,0.028162994048824,0.0273390398988276,0.0265988421759133,0.0259331632465464,0.0328942211620309,0.0359948757442179,0.0377796252324533,0.0389356228009189,0.0397530982133698,0.0403668233717505,0.0408500493277086,0.0412508289212709,0.0415766033319237,0.0418555341657726,0.038085732129281,0.0382398951255641,0.0893509841322905,0.124115037236868,0.0766107832962759,0.193004611088122,0.218958246426868,0.137762236464832,0.0996396297916462,0.486460725358619,0.332529089526239,0.30210201272293,0.385368253194684,0.395664261088742,0.340349078106543,0.414176861459715,0.256576741769095,0.400027533549628
"Armenia",0.00192271817287453,0.00171104219880276,0.00153680102676281,0.00138631187340834,0.00125446397922223,0.0011382004770924,0.00103526106758489,0.000943839701153184,0.000862444747693333,0.000833169560854808,0.000786694208926025,0.00074168689211827,0.0007005925882173,0.000663393783682717,0.000629732181429622,0.00059923271615309,0.000571553297235144,0.000546388345403378,0.000523468193411199,0.000490455243324354,0.000466832409814777,0.000446065580461527,0.00042710542397404,0.000409700728156745,0.000393709644136022,0.0003790025474253,0.000365460514370402,0.000352971231532646,0.000341464061874318,0.000300482636210124,0.000276971793215548,0.000258057207479907,0.000241391818131122,0.000226363454592638,0.000212694960243173,0.000200203095383527,0.00018874663991677,0.000178210095214469,0.000168496017400183,0.000508836992588299,0.00031155914592653,0.000477794805367211,0.000933165429819482,0.000604860177684103,0.000476775435610493,0.000512964189438557,0.00044329016961429,0.000912523301909178,0.00060343351593563,0.000501748919002791,0.000526163437033797,0.000454540714560136,0.000413339596881732,0.000521279506093363,0.000431750951733947,0.000402437525308534,0.000371012333053773
