Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.000619380900892392,0.000512682710223155,0.000433526720615525,0.000376395564461239,0.000333556739701363,0.000299954505558725,0.000272585652282421,0.000249661291676645,0.000230080694158912,0.000207026317658639,0.000189556222532147,0.000175624309644121,0.000164053788348851,0.00015419945722325,0.000145674248576936,0.000138225261921593,0.000131672694542364,0.000125881972271465,0.00012074732411341,0.000190475801263163,0.000173896511617704,0.000151739404699321,0.000133149836879381,0.000117980117578903,0.000105346956426009,9.46009775221248e-05,8.53149513979241e-05,7.72023312614958e-05,7.00624864755624e-05,-0.000316839855986873,-0.000283609492090165,-0.000216309616248602,-0.000161744192739501,-0.000120196316047209,-8.78624598701987e-05,-6.02114441501414e-05,-3.5895712787088e-05,-1.72110964491582e-05,-2.07831737661672e-06,0.000138844485704992,0.000172461398659291,0.000114390136298889,0.000159683939384779,-1.60390720328605e-05,5.64126196075476e-05,-0.000256455813874961,-3.54274959321134e-07,-1.82856118263121e-05,-2.47206409046088e-05,-0.00013013611578446,-0.00023316497087456,-0.000107232663057904,-0.000194943945060435,-0.000170023802004136,-0.0002915358223675,-4.26969737109706e-05,-9.89340522777593e-05
"Albania",0.00189650918992275,0.00166317925512513,0.00148079885881759,0.00132721972000115,0.00119501576125503,0.00108011711134151,0.000979674578399037,0.00089146249173526,0.000813691084857668,0.00074169943360808,0.000677850005543823,0.000621116082617422,0.000570547612653683,0.000525349382585853,0.00048484634571971,0.000448464354335363,0.000415712619703546,0.000386159155527279,0.000359441210381101,0.000347681130060916,0.000332200380823518,0.000317208003917764,0.000303274855366906,0.000290411507549619,0.000278538245735342,0.000267567455079754,0.000257410312592119,0.000248002871427005,0.0002392556990672,0.000293445642502114,0.00030843984014445,0.000315256976661846,0.000319476858042642,0.000323287339386935,0.000326529733445992,0.00032923686658439,0.000331508706863756,0.000333430035237744,0.000335318898886815,0.000269711849963407,0.000553578506445264,0.000321493697876816,0.000300218136082366,0.000251961526791518,0.000238834200965424,0.000115164124787052,0.00305960112638343,0.00221298525556535,0.00147977042760096,0.00103528264971206,0.00129222214611799,0.000948040163937837,0.00104897846573694,0.00104462620802798,0.00130421721988222,0.00107993182230237,0.00124301170886406
"Algeria",0.0016327528834121,0.00102048716230808,0.000622574747468878,0.000362538432085182,0.000185102239519505,5.76273458009058e-05,-3.85598170617744e-05,-0.000114351472720648,-0.000176529669175866,-6.10904576646617e-05,-4.97022004338875e-05,-6.05174844204485e-05,-7.68288680146815e-05,-9.40034551011026e-05,-0.000110378222470772,-0.000125350731837591,-0.000138768749974548,-0.000150702897274288,-0.000161296872506845,-0.000206648896837672,-0.000226471411530814,-0.000238542100515872,-0.000247124856987981,-0.000253576732423782,-0.000258478891019659,-0.000262079909292459,-0.000264488975783922,-0.000265593025682374,-0.000265031125585165,-0.000380036303175264,-0.000413237614512456,-0.000429364356295155,-0.000440384570903173,-0.000449418147978503,-0.000457429892629165,-0.00046488557703195,-0.000472040915117441,-0.000479048887550747,-0.000485960139860167,-0.000631975578806023,-0.000574695016634865,-0.000506561137877667,-0.000808238794736006,-0.000477353040499489,-0.000452123537630839,-0.000505090067434303,-0.000514846466241337,-0.000551948450410236,-0.000539842308954236,-0.000512851010815633,-0.000509462276432608,-0.000708439118994815,-0.000531941208715011,-0.000520239362236976,-0.000532631862651442,-0.000551597592800592,-0.000570373855527212
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0485580263377075,0.0396078894881592,0.0337183025607039,0.0295204052436992,0.0263658163458635,0.0238990576662687,0.0219104345059182,0.0202692284363235,0.0188893186822419,0.01858831910325,0.0181465129576677,0.0176584677582315,0.0171737585755963,0.0167145283625064,0.0162883052170817,0.0158951292477236,0.0155313796831233,0.0151916500794465,0.0148692004041578,0.0161859342215886,0.0166074177550739,0.0167829416779739,0.0168560485659912,0.0168723100480353,0.0168511003663672,0.0168015572296673,0.0167273699350608,0.0166286154798446,0.0165017873539576,0.0157670398191598,0.0153771734975607,0.0151124468825057,0.0149110302292889,0.0147469746846274,0.014606244897051,0.0144801500330262,0.0143628121909359,0.0142497529825517,0.0141372174874857,0.0140179810832512,0.0141312096507255,0.0141628460252404,0.0170884431988355,0.0165845041382251,0.014807793834219,0.0155649795499067,0.0151300125081719,0.0128141110822167,0.0139093581804727,0.0129857461778315,0.0144762856641982,0.0150117624158649,0.0188637424670652,0.0194076660287619,0.0196083990465541,0.0215482694667567,0.0246656277479521
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",5.26496726157512e-06,6.24860828519914e-06,6.93744356612802e-06,7.45069823250399e-06,7.85099913070271e-06,8.17414769408835e-06,8.44170023648547e-06,8.66736428807952e-06,8.86015524641295e-06,5.40860201557894e-06,3.81675896537573e-06,2.89663092364762e-06,2.29124254899712e-06,1.86356867799747e-06,1.54596258329244e-06,1.30094118235078e-06,1.10643605111368e-06,9.48827409017232e-07,8.19274918739751e-07,4.5825855496546e-06,6.24611609919721e-06,7.22955643418652e-06,7.89347739006242e-06,8.37345677756695e-06,8.73784122732667e-06,9.02491829710348e-06,9.25740324907346e-06,9.44945353980801e-06,9.61034607391358e-06,5.86569393798758e-06,4.16957072165047e-06,3.16960156678739e-06,2.50221541687209e-06,2.02463185060703e-06,1.66565280961411e-06,1.38552952901028e-06,1.16081395740713e-06,9.76912218978438e-07,8.2431818916023e-07,1.47850883693391e-08,-2.63530928690823e-07,-4.16615613953072e-07,-5.23417588992449e-07,-6.05424822380183e-07,-6.71424309944474e-07,-7.26109439651629e-07,-7.72390919324741e-07,-8.12182075516394e-07,-8.94711318726547e-07,-5.32509278691262e-07,-4.80006987500411e-07,-4.64821523971184e-07,-3.91351069151773e-07,-3.55194741075354e-07,-3.12547713877261e-07,-2.94654686005981e-07,-2.76332948993308e-07
"Argentina",0.0171683557766408,0.0165100470078933,0.0160331916349038,0.0156577115193565,0.0153557104743436,0.0151516775202524,0.0149899932689414,0.014803440141465,0.0146214244148992,0.0110265088876689,0.00934602120211929,0.00827373536577028,0.00748985251103707,0.00687789634869621,0.00638062110226435,0.00596534257829142,0.00561182525966873,0.00530676737425691,0.00504089392119962,0.00506954712950581,0.00492533225167696,0.00476643133497659,0.00461711250463152,0.00448049312815352,0.0043558245129106,0.0042422816560627,0.00413880355869903,0.00404434385967875,0.00395794963906177,0.00645359486869476,0.00723611656855595,0.00762764959636001,0.00787901088548378,0.00805892672899189,0.00819446187431707,0.00829995941445128,0.00838405174154296,0.00845217213491549,0.00850753291339759,0.0083183174744065,0.00815629481996445,0.0080896124912671,0.00668138654195772,0.000693059035509745,0.00403968350246944,0.00537474189351797,-0.00130884575428492,-0.00174379481257945,0.000953485896086911,0.00128513336956296,0.00131272329968766,0.00303980749413989,0.00346214785445684,0.00433584758183754,0.00463477105973063,-0.0434320360386522,-0.0117499696170094
"Armenia",0.000998699976216336,0.000949329887682084,0.000910806269920861,0.000878126204515473,0.000849873350833796,0.000825300634686506,0.000803857415904714,0.000783652247097484,0.000759740761164306,0.000634965046138675,0.000586738286650448,0.000554478176016368,0.000527998948787719,0.000505113470002444,0.000485025959019028,0.000467257875861208,0.000451453792690276,0.000437328643937793,0.000424649403591629,0.000378270908391317,0.000357720578050237,0.000342156161913477,0.000328402404588718,0.000315918871228457,0.000304543193858277,0.000294161692092929,0.000284669506197584,0.000275970372856611,0.000268081155532855,0.000202377869189289,0.000139479684291419,8.62495526732976e-05,4.05125914866428e-05,3.66927560508251e-07,-3.52051330293516e-05,-6.68891564780672e-05,-9.5208262123427e-05,-0.000120584141295984,-0.000143366430483796,-0.000127006546463768,0.00175249464587982,0.00193050161003078,0.00183461443721413,0.00350387007854139,0.0054588131676408,0.00244312442066692,0.00177971240281302,0.00153327015179137,0.00133730312838935,0.00118539306680298,0.00105678017058533,0.000945449164350144,0.000849128419982647,0.000756085875336416,0.000698162751146409,0.000633642093038251,0.000575377651825259
