Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.0001699678,0.0001749682,0.0001749682,0.0001763746,0.0001758814,0.000175946,0.000165543,0.0001556842,0.0001577172,0.0001616658,0.0001748024,0.0001955412,0.0001699134,0.0001695988,0.0001737498,0.000173476,0.0001730798,0.000173402,0.000163618,0.0001543978,0.000148508,0.000142966,0.0001356962,0.000130933,0.000124386,0.0001203098,0.000124908,0.0001170414,0.0001137092,0.000112552,0.0001151972,0.0001056164,0.0001281484,0.0001352192,0.0001335918,0.0001281484,0.0001295488,0.0001323334,0.0001182114,0.0001104442,9.68366e-05,9.82914e-05,0.0001419712,0.0001255466,0.0001450364,0.0001357702,0.0001373542,0.0001238112,0.0001444182,0.0001397902,0.000134431,0.0001420026,0.0001439616,0.0001477572,0.0001228708,0.0001282428,0.0001168212
"Albania",2.40616e-05,2.17336e-05,2.2282e-05,2.24138e-05,2.27752e-05,2.20618e-05,2.2572e-05,1.992e-05,1.8858e-05,1.9318e-05,1.94532e-05,2.0539e-05,1.96768e-05,1.94124e-05,1.87424e-05,1.89558e-05,1.8864e-05,1.89558e-05,2.01402e-05,2.08842e-05,2.0045e-05,1.93818e-05,1.8489e-05,1.8449e-05,1.7643e-05,1.7836e-05,1.79576e-05,1.72782e-05,1.68208e-05,1.63072e-05,1.14998e-05,1.17396e-05,1.51704e-05,1.60768e-05,1.4128e-05,1.30218e-05,1.30286e-05,1.27242e-05,1.11368e-05,1.10058e-05,1.03528e-05,9.8384e-06,9.5272e-06,8.955e-06,9.165e-06,8.8878e-06,8.37e-06,9.2602e-06,9.0774e-06,9.4456e-06,1.00076e-05,9.2908e-06,9.2262e-06,9.3776e-06,9.267e-06,9.7806e-06,9.6182e-06
"Algeria",7.69098e-05,8.51438e-05,8.65918e-05,9.91646e-05,9.9174e-05,6.73826e-05,9.0628e-05,0.0001009544,9.9838e-05,0.0001043002,9.75108e-05,0.0001120444,0.0001063238,9.95778e-05,0.000100616,0.0001037178,8.61496e-05,8.41396e-05,8.78034e-05,9.35316e-05,8.20046e-05,7.40376e-05,6.35028e-05,7.00558e-05,7.5398e-05,6.87192e-05,6.8266e-05,4.633e-05,6.65136e-05,5.35794e-05,7.79794e-05,8.33216e-05,5.66344e-05,4.0294e-05,7.5807e-05,0.000102734,3.72084e-05,0.0001161818,6.18754e-05,3.73402e-05,8.28038e-05,6.30726e-05,9.23106e-05,9.06424e-05,7.23124e-05,8.04188e-05,8.20556e-05,4.5399e-05,8.33446e-05,7.91562e-05,7.53912e-05,8.77634e-05,7.7891e-05,7.4535e-05,8.18464e-05,9.30308e-05,9.5528e-05
"American Samoa",3.4e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4e-09,0,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",6.3093e-05,6.2701e-05,6.16552e-05,6.14792e-05,5.73316e-05,5.73554e-05,5.96486e-05,6.18618e-05,7.02182e-05,5.96248e-05,6.173e-05,6.28192e-05,6.96664e-05,7.00822e-05,6.98756e-05,7.03934e-05,7.03058e-05,7.0174e-05,6.99886e-05,6.9629e-05,6.94564e-05,6.92166e-05,6.90304e-05,6.89428e-05,6.88212e-05,9.12852e-05,9.67388e-05,0.0001023718,9.84598e-05,7.50724e-05,8.5012e-05,9.64608e-05,0.0001189324,9.40494e-05,6.92438e-05,6.54134e-05,7.10064e-05,7.80092e-05,7.6903e-05,7.8459e-05,8.49958e-05,9.29024e-05,9.3518e-05,0.0001217782,0.0001244268,0.000127986,0.00013798,0.0001017664,0.00016786,0.0001704448,0.000195514,6.8743e-05,0.000187229,0.0001860038,0.000191431,0.0002389888,0.000290372
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",3.69e-07,3.554e-07,3.656e-07,3.282e-07,2.636e-07,1.046e-07,1.046e-07,1.7e-08,6.46e-08,9.78e-08,2.806e-07,3.4e-09,0,0,3.4e-09,3.4e-09,0,3.4e-09,3.4e-09,3.4e-09,6.8e-09,6.8e-09,3.4e-09,0,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09
"Argentina",0.0005275668,0.0004977948,0.0005734496,0.0006314002,0.0005748534,0.0006244884,0.0006684462,0.0006614876,0.000654297,0.0006397064,0.0006718532,0.0006012192,0.0006046798,0.0006104548,0.00061059,0.0006480688,0.0005036378,0.0005500852,0.0005680368,0.0005390692,0.0006799894,0.0007186186,0.0006842926,0.000639192,0.0006476224,0.0006141458,0.0005714234,0.0005131888,0.0004521356,0.00044089,0.0005029576,0.0005004672,0.0005007648,0.000518537,0.0005542634,0.0005493208,0.0007436376,0.0006549874,0.0005679186,0.0006606008,0.0006398008,0.000612288,0.0005659358,0.00055514,0.0006202354,0.0005358152,0.000605258,0.000684898,0.0004977404,0.0005105462,0.0006670288,0.0006628804,0.0007273942,0.000742676,0.00078728,0.0008201614,0.0010269754
"Armenia",4.64087698577299e-06,4.9484525588569e-06,4.75041197704819e-06,4.93077761304621e-06,5.04189204315678e-06,5.02586926404258e-06,4.82584393306307e-06,4.83668102414831e-06,4.71754310137191e-06,4.69547574365817e-06,4.61057792318533e-06,4.23773410984157e-06,4.54764560333762e-06,4.31974678498684e-06,4.44743417843524e-06,4.2896572172472e-06,4.46982945492298e-06,4.50868366507981e-06,4.14255503236265e-06,4.41829110945575e-06,4.27519493953752e-06,4.15607233190756e-06,3.69314562360672e-06,3.71064141100402e-06,3.66970643924106e-06,3.55420457927629e-06,3.41942230781916e-06,3.51253088040174e-06,3.4770759848872e-06,3.47780859618931e-06,3.31883251530504e-06,3.089e-06,4.5404e-06,4.0328e-06,2.9938e-06,4.0634e-06,5.082e-06,5.5888e-06,5.2878e-06,5.1016e-06,5.1764e-06,5.7214e-06,6.036e-06,5.9612e-06,6.1066e-06,4.804e-06,4.8346e-06,4.6348e-06,4.2964e-06,4.2054e-06,3.8942e-06,4.5506e-06,4.838e-06,5.0344e-06,5.2274e-06,5.224e-06,3.884e-06
