Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.007174,0.0074557376,0.00764252,0.00772242,0.00791418,0.00836264,0.00846804,0.008662554,0.00860642,0.00869176,0.00860778,0.00672435,0.007199636,0.007806774,0.008460866,0.00867,0.008383584,0.00835737,0.00820471,0.00824976,0.00833952,0.00833034,0.0078098,0.0067014,0.0057681,0.004322896,0.0047141,0.005168,0.0052275,0.0052972782,0.0056712,0.00577728,0.0058752,0.006143494,0.006556543,0.0074795002,0.008274495,0.0088597268,0.0099827536,0.0085612,0.006973842,0.00887995,0.009060252,0.008760372,0.009175614,0.00944503,0.009455366,0.01074043,0.010888568,0.012731164,0.012798722,0.012622262,0.01249415,0.012671562,0.0121770286,0.0120966696,0.0118134122
"Albania",0.001680127,0.001695036,0.001685992,0.00169575,0.0018148928,0.0018071476,0.001824508,0.0016856724,0.0016526006,0.001636097,0.001576138,0.001533757,0.0015667132,0.0016319252,0.0016520022,0.0017580482,0.0018356328,0.0019650606,0.0020528656,0.002116296,0.002159476,0.0021732766,0.002207042,0.00220507,0.002116432,0.002211615,0.002386902,0.002522018,0.002578492,0.0024619978,0.0025336222,0.0025433326,0.002701878,0.0034756262,0.0035470874,0.0033143744,0.0030811854,0.0029215214,0.0029993474,0.0030453494,0.0029711002,0.0028901564,0.0029264344,0.0028108242,0.0027930014,0.0027510284,0.0025867234,0.0024202934,0.0022980294,0.0023112044,0.0022913994,0.002332791,0.0023519398,0.002377042,0.0023946982,0.0023838862,0.0023250662
"Algeria",0.001958196,0.001810432,0.001563762,0.0016631032,0.002062644,0.002176612,0.002625361,0.0027747502,0.002846174,0.0028814116,0.0030023802,0.0030508642,0.002969883,0.0030880908,0.0033332716,0.0032607768,0.00360366,0.0038260268,0.0042164148,0.0044429092,0.0045292454,0.0047777004,0.0050005058,0.0049007838,0.0048922906,0.0048200712,0.0049752574,0.0050059084,0.0051652358,0.0052334602,0.0049653464,0.0052475872,0.0053824618,0.0051706146,0.0051366418,0.0051561918,0.0051928064,0.0053709018,0.0056516126,0.005649848,0.0056872072,0.0054957124,0.0056411202,0.005908979,0.0059812426,0.006146061,0.0062274332,0.0061933992,0.0065193164,0.006925647,0.0071947978,0.007500451,0.007880571,0.0083137514,0.0084621444,0.0083598554,0.0082234678
"American Samoa",9.52e-07,9.112e-07,9.962e-07,1.1016e-06,1.0438e-06,9.826e-07,7.888e-07,6.698e-07,8.636e-07,8.636e-07,7.684e-07,7.174e-07,7.072e-07,7.004e-07,6.902e-07,6.732e-07,7.752e-07,6.8e-07,5.542e-07,5.542e-07,5.644e-07,5.882e-07,6.154e-07,6.324e-07,6.426e-07,6.494e-07,6.596e-07,6.664e-07,8.432e-07,5.814e-07,5.814e-07,5.814e-07,5.916e-07,5.916e-07,5.916e-07,5.916e-07,5.916e-07,5.916e-07,5.916e-07,5.916e-07,5.916e-07,5.916e-07,5.916e-07,5.882e-07,5.882e-07,5.814e-07,6.12e-07,6.086e-07,6.086e-07,6.086e-07,6.086e-07,6.086e-07,6.086e-07,6.086e-07,6.086e-07,6.086e-07,6.086e-07
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0016250946,0.001743452,0.0018241,0.00199393,0.002158388,0.00226984,0.002485672,0.0024964126,0.002721462,0.0029556642,0.003191886,0.0032895,0.00335529,0.00342125,0.0034867,0.0032759,0.00334135,0.00346205,0.00358445,0.00370005,0.0037621,0.00382415,0.0038845,0.00394655,0.0040069,0.00406725,0.00396168,0.00385968,0.003757,0.0037526922,0.00380392,0.00386954,0.00374935,0.00362916,0.0036238798,0.003998026,0.004297464,0.004703152,0.0047153172,0.004918508,0.0049302856,0.004884423,0.0048365034,0.004754747,0.0051920652,0.0053125646,0.0054372834,0.0055612508,0.005651956,0.0058193992,0.0059208008,0.0060578106,0.0062002604,0.0063460728,0.006520367,0.0065067432,0.006554877
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",1.40998e-05,1.44738e-05,1.46302e-05,1.67722e-05,1.69218e-05,1.65512e-05,1.71802e-05,1.80336e-05,1.89346e-05,1.91012e-05,1.97472e-05,1.9805e-05,1.95432e-05,1.9023e-05,1.9074e-05,1.93732e-05,1.96928e-05,2.431e-05,3.1297e-05,3.59992e-05,3.59074e-05,3.79236e-05,3.79372e-05,3.7944e-05,4.21124e-05,4.22314e-05,4.22484e-05,4.22552e-05,3.81956e-05,3.79474e-05,3.96678e-05,3.96746e-05,4.01506e-05,4.0749e-05,4.09496e-05,3.86172e-05,3.82534e-05,3.774e-05,3.84812e-05,3.80936e-05,3.91816e-05,3.97868e-05,4.03308e-05,4.11434e-05,4.11366e-05,4.13168e-05,4.02424e-05,4.00656e-05,3.98412e-05,1.8411e-05,1.8564e-05,1.8564e-05,1.85096e-05,1.8564e-05,1.81152e-05,1.8513e-05,1.8564e-05
"Argentina",0.091708098,0.0919070218,0.0862871312,0.09091226,0.099507001,0.1035402,0.1081564616,0.1081642136,0.1018550376,0.1018000902,0.104226864,0.1089575424,0.1136849976,0.1137349878,0.1163224116,0.119105264,0.124445542,0.1178108296,0.1159236256,0.1137772396,0.1109330682,0.107715502,0.10977036,0.110930916,0.1099645,0.1072512116,0.104205036,0.1066528558,0.107196458,0.10742215,0.106284408,0.107128764,0.105333105,0.1061273314,0.1048213302,0.1011423908,0.0995529316,0.0958371056,0.0977306438,0.0969671636,0.0972743876,0.10302,0.1105913852,0.1126605334,0.1131449484,0.115725528,0.116553972,0.1143254998,0.1082385512,0.0976913024,0.095858274,0.0995054268,0.1016551584,0.1027741324,0.103297168,0.1056262836,0.1069254134
"Armenia",0.00157861866579573,0.00168269794448269,0.00176630385731773,0.00173565126113822,0.00174937365930311,0.00184242026886441,0.00190870990376881,0.00191465481421688,0.00189664751483574,0.00186581531092837,0.00193498727831713,0.00198112921937873,0.00200542204076072,0.00205003277712605,0.00209598686970714,0.00211068660639749,0.00210088071848571,0.00214021062042287,0.00216532578914913,0.00218329614006516,0.00218044302548269,0.00219555301931697,0.00221335639706486,0.00224933699023605,0.00225974352614788,0.00224752024204165,0.00226001190983066,0.00220533897641498,0.00221959106919194,0.00219926276441489,0.00215741754693179,0.0009072594,0.0008090368,0.000795311,0.0007838768,0.0007825474,0.000780215,0.0007128848,0.0007217282,0.0007296264,0.0007543206,0.000784754,0.000814997,0.000855287,0.0008584864,0.0008815248,0.0009240758,0.0009337148,0.0008594588,0.0008326634,0.0008365292,0.000881008,0.0009719954,0.0010001848,0.0010187794,0.0010414234,0.0009730392
