Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",6.1984e-06,6.1984e-06,6.1984e-06,6.1984e-06,6.1984e-06,6.1984e-06,5.58452e-05,8.6867e-05,9.30654e-05,9.92638e-05,9.18436e-05,9.92638e-05,0.000109813,0.0001501622,0.0001716778,0.0001901538,0.0002296686,0.0002202518,0.0002061564,0.000234824,0.0001783232,0.0002410224,0.0002283276,0.0003277404,0.0003299754,0.0003147178,0.0003276212,0.000309175,0.0003102478,0.0002736236,0.0002655776,0.00024138,0.0002482042,0,0,3.10218e-05,3.10218e-05,3.72202e-05,3.10218e-05,3.10218e-05,0.0001141638,0.0001521588,0.0001266202,0.0001385998,0.0001269778,0.0001269778,0.000101618,8.9549e-05,8.78206e-05,8.02216e-05,0.0001425334,0.0001058794,0.0002165566,0.0004583538,0.0001307624,0.0005998144,0.0008734976
"Albania",1.97872e-05,1.23968e-05,1.23968e-05,1.23968e-05,1.23968e-05,1.8625e-05,4.34484e-05,0.0001178888,9.92638e-05,0.000139613,0.000192359,0.0002022824,0.0002240066,0.0002252284,0.0002233808,0.0002810736,0.0003102478,0.0004461358,0.0004399076,0.000426885,0.0004498608,0.0004393116,0.00045296,0.0004653568,0.0004653568,0.0004653568,0.0004101374,0.0004299842,0.0004957528,0.0004560592,0.0001383614,9.18436e-05,9.44362e-05,7.8672e-05,6.20436e-05,3.4121e-05,2.6075e-05,0.0001116904,3.59984e-05,7.50662e-05,6.63944e-05,0.0002371186,0.0002319334,0.0002241258,0.0002308904,0.0001882168,0.000195339,0.000178353,0.0002105966,0.0001941768,0.0002289236,0.0002168248,0.000190571,0.000190571,0.0002283574,0.0002661736,0.0002431382
"Algeria",5.58452e-05,9.30654e-05,0.0001116904,9.92638e-05,8.28142e-05,0.0001064158,9.0145e-05,0.0001240872,0.0001799324,0.0002667994,0.0004219382,0.000502577,0.0004715552,0.0004095116,0.0002482042,0.0003164462,0.0003235088,0.0003574808,0.0003739602,0.000521202,0.0003580172,0.0003024104,0.0003679406,0.000544297,0.0006091418,0.0006991676,0.0004963786,0.0003263696,0.000287272,0.0003908866,0.0002544026,0.0002897752,0.0004579068,0.0003611164,0.0001141638,8.6867e-05,0.0002233808,0.0002729978,0.0002916228,0.0002748752,0.0002810736,0.0001739426,0.000105939,0.0006497592,2.53598e-05,0.000272074,0.0002272548,0.000143338,0.000230205,0.0003729172,0.0003493156,0.0004504568,0.0003971148,0.0004746544,0.0004616318,0.0004355866,0.0004355866
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",3.0992e-06,3.0992e-06,3.0992e-06,6.1984e-06,1.73734e-05,2.235e-05,3.10218e-05,3.10218e-05,3.10218e-05,3.4121e-05,6.94936e-05,6.94936e-05,5.6471e-05,4.03194e-05,1.30226e-05,6.1984e-06,8.12944e-05,6.20436e-05,5.83186e-05,5.70968e-05,2.85484e-05,1.73734e-05,2.35718e-05,2.30652e-05,7.93872e-05,3.10218e-05,2.48234e-05,3.23926e-05,5.69478e-05,1.55258e-05,1.42742e-05,1.9221e-05,1.23968e-05,1.23968e-05,1.23968e-05,1.23968e-05,1.23968e-05,1.42742e-05,1.42742e-05,8.6718e-06,0,1.71052e-05,1.10856e-05,4.45808e-05,2.28566e-05,4.12134e-05,3.46574e-05,5.07196e-05,6.4964e-05,0.0001077568,0.0001016478,0.0001205112,0.0001268288,0.0001713202,0.0001581784,0.0001289148,0.0001657476
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96e-08,2.086e-07,0,1.192e-07,5.96e-08,0,5.96e-08,1.49e-07,2.98e-08,2.98e-08,1.788e-07,2.086e-07,1.192e-07,5.96e-08,3.874e-07,5.96e-08
"Argentina",5.20606e-05,5.34016e-05,0.0001034358,0.0001240872,0.000155109,0.0001582678,0.0002297878,0.0001902432,0.0002174506,0.0002544026,0.000279226,0.0003040196,0.0002720442,0.000260601,0.000173734,0.0002432276,0.0002587534,0.0002960928,0.0003655566,0.000388741,0.000317519,0.0003307204,0.0003859398,0.0006440674,0.0006490142,0.0005770472,0.0005863448,0.0006148932,0.0006167706,0.0006291674,0.0005937948,0.0009096152,0.0010405564,0.001748515,0.0019780942,0.0031663096,0.0029559514,0.0026227576,0.0028374368,0.0030913626,0.0030806644,0.003317038,0.0045956368,0.0049416446,0.0039735916,0.0048873788,0.0060890638,0.0047277998,0.0029600638,0.0047854032,0.0053186742,0.004559847,0.004890329,0.0048651182,0.0037444594,0.0057677304,0.0060548832
"Armenia",0.000102148109742613,0.000127239093021464,0.000161724417318544,0.000209171864768989,0.00027136446976145,0.000315838670246068,0.000367329071071675,0.000410732994027679,0.000451639983496439,0.000547604584806664,0.000616218283851526,0.000666638407148519,0.000740128322596423,0.000796256211966502,0.000872718803260954,0.000862372977524119,0.00089448016114396,0.000910652545763886,0.000887939703162273,0.000982477077394587,0.000996865856506585,0.00107475567487895,0.00122506456005132,0.00122232946982479,0.0013021211153958,0.00136455187712756,0.00140165349884117,0.00137787037871094,0.00117940071810881,0.00103908070912397,0.000924922532065877,9.30654e-05,9.30654e-05,4.34484e-05,4.34484e-05,4.96468e-05,4.96468e-05,5.96894e-05,3.82036e-05,4.34484e-05,3.10218e-05,9.74162e-05,6.48448e-05,8.18308e-05,6.35932e-05,0.0003592688,0.0001663436,0.0001509668,0.0002453434,0.0001835978,0.000223053,0.0003564378,0.00036356,0.0003017846,0.0003926448,0.000907708,0.0005590778
