Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.000460346,0.0004834652,0.000500333,0.0005067672,0.000523045,0.000555436,0.0005663252,0.000577267,0.0005741768,0.0005783814,0.0005724428,0.0004772532,0.0004946606,0.000530575,0.0005681826,0.0005810134,0.0005621406,0.0005678854,0.0005604694,0.000562731,0.0005688066,0.000568067,0.0005399596,0.000463235,0.000394127,0.0002934992,0.0003141786,0.0003360206,0.0003378916,0.0003405566,0.0003721984,0.0003827652,0.0003909818,0.000411478,0.0004452812,0.0005245804,0.000577943,0.0006114188,0.000692024,0.0005859854,0.0004762796,0.0006612612,0.000673248,0.0006387192,0.000678754,0.000710451,0.0007303264,0.0008176596,0.0008250834,0.0009717204,0.0009639358,0.000957727,0.0009531476,0.000964755,0.0009142756,0.0009095532,0.0008811586
"Albania",0.0003094008,0.0003112296,0.0003081018,0.0003143596,0.00034468,0.0003462346,0.0003536078,0.0003292178,0.000333002,0.000331677,0.0003237422,0.000319269,0.0003285852,0.0003461572,0.0003531422,0.0003769722,0.0004018216,0.0004349174,0.0004574152,0.0004697994,0.0004853042,0.00049319,0.0004971802,0.0004984262,0.000478337,0.0005014428,0.0005391534,0.0005626266,0.000570998,0.0005576462,0.0005508422,0.0005323768,0.0005646296,0.0007239582,0.0007463924,0.000740769,0.0006838728,0.0006523058,0.0006663064,0.0006879364,0.0006781666,0.0006679514,0.0006802894,0.0006660188,0.0006621192,0.000648266,0.000608666,0.0005728878,0.0005512266,0.000557146,0.0005573474,0.0005703166,0.0005658062,0.0005749366,0.0005741906,0.0005697374,0.0005588188
"Algeria",7.45124e-05,6.97192e-05,6.12404e-05,6.52204e-05,8.01606e-05,8.43748e-05,0.0001008234,0.0001065486,0.0001097476,0.0001116478,0.000116461,0.0001183294,0.000115823,0.000119751,0.0001286548,0.0001262234,0.0001387018,0.000146811,0.0001612194,0.0001754062,0.0001826956,0.0001994068,0.0002166078,0.0002217096,0.0002242218,0.000224157,0.0002310032,0.0002333234,0.0002387658,0.0002448304,0.0002371674,0.0002465516,0.0002528234,0.0002544676,0.000263173,0.000243024,0.0002526608,0.0002910026,0.000283287,0.0002859174,0.000285764,0.0002895368,0.0002986726,0.00030694,0.0003102138,0.0003176032,0.0003207276,0.0003192194,0.0003310484,0.0003456162,0.0003558292,0.0003678992,0.0003824834,0.0003971362,0.0004028238,0.0004018156,0.0003948918
"American Samoa",4.2098e-06,3.7958e-06,5.3804e-06,6.976e-06,7.6756e-06,7.3466e-06,5.365e-06,5.019e-06,5.019e-06,5.0156e-06,5.0326e-06,5.0564e-06,5.0802e-06,5.1244e-06,5.2018e-06,5.2392e-06,5.2902e-06,5.3344e-06,5.3718e-06,5.3488e-06,5.4372e-06,5.705e-06,5.9796e-06,6.2474e-06,6.3902e-06,6.5186e-06,6.6648e-06,6.76e-06,6.7634e-06,5.4738e-06,5.4738e-06,5.4738e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4772e-06,5.4772e-06,5.4772e-06,5.4874e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06,5.4806e-06
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0001074338,0.0001118762,0.0001151022,0.0001220056,0.0001283796,0.0001330178,0.0001411916,0.0001420304,0.000150712,0.0001602928,0.0001702862,0.0001767228,0.0001832432,0.0001896776,0.0001962142,0.0001930324,0.0001994498,0.0002078388,0.0002245102,0.0002327854,0.0002391468,0.0002454818,0.0002517556,0.0002581204,0.0002644198,0.0002706034,0.0002702688,0.000266715,0.0002680638,0.000267779,0.0002705812,0.000273783,0.0002679804,0.0002621064,0.0002638196,0.0002784734,0.0002906318,0.000303283,0.0003026364,0.0003094584,0.0003170328,0.0003335074,0.0003400178,0.0003532678,0.0003712428,0.000397959,0.0004274904,0.0004601144,0.00049591,0.0005363542,0.0005761692,0.0006202454,0.000668712,0.0007221052,0.0007730364,0.0007805942,0.0008159998
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",8.054e-07,8.224e-07,8.258e-07,8.802e-07,8.904e-07,9.304e-07,9.576e-07,1.035e-06,1.052e-06,1.0656e-06,1.3362e-06,1.1992e-06,1.2026e-06,9.176e-07,8.606e-07,8.674e-07,9.882e-07,1.1634e-06,1.4168e-06,1.5358e-06,1.3716e-06,1.4192e-06,1.4762e-06,1.523e-06,1.6182e-06,1.6284e-06,1.6284e-06,1.6718e-06,1.4966e-06,1.4966e-06,1.6616e-06,1.6982e-06,1.7186e-06,1.7458e-06,1.773e-06,1.6786e-06,1.7858e-06,1.8496e-06,2.058e-06,1.7432e-06,1.784e-06,1.801e-06,1.858e-06,1.8886e-06,1.8954e-06,1.932e-06,1.8274e-06,1.8274e-06,1.8172e-06,1.5828e-06,1.6296e-06,1.6296e-06,1.5896e-06,1.593e-06,1.5794e-06,1.5998e-06,1.5998e-06
"Argentina",0.0022933154,0.002204087,0.002130226,0.0022205502,0.0024159674,0.0025243026,0.0026038136,0.0025327422,0.0024951466,0.0025261042,0.0026284082,0.0026698108,0.002812986,0.002706399,0.0027611442,0.0028007264,0.0028272408,0.0026835036,0.0026712802,0.0026911318,0.0026549988,0.0025920334,0.0026213474,0.0026396688,0.0026210296,0.0026010166,0.0025168794,0.0025028542,0.0024527552,0.0024071942,0.0023824498,0.002425269,0.0024147996,0.0024900578,0.0024436916,0.0023742916,0.0023582596,0.0023390232,0.0021708452,0.0021616242,0.0021646612,0.0022278868,0.0023648268,0.0024061294,0.002455607,0.002556654,0.002573122,0.0025315112,0.0024181716,0.0023338966,0.0023338268,0.0024512574,0.0025398822,0.002615435,0.0026833572,0.0027349806,0.0027962544
"Armenia",0.000115588710802451,0.0001266182514835,0.000133051592396008,0.000110426027223577,0.000120326262222451,0.00013009922262094,0.000132232791484272,0.000127293646922691,0.000125003880934427,0.000129361394314287,0.000141117261159103,0.000146425832140695,0.00014424506206756,0.00014888161015017,0.000152841087115913,0.000143470452197484,0.000146829088118419,0.000153711378413304,0.000157150107827914,0.000158360366514142,0.000158028227986221,0.000158767662143683,0.000162212792907488,0.000165524233301766,0.000165757378010707,0.000165284396925288,0.000167276427166358,0.000162948373078717,0.000164330720983089,0.000163877963397369,0.000159338745212564,7.41774e-05,4.69008e-05,4.66292e-05,4.67348e-05,4.6442e-05,4.27746e-05,4.0352e-05,4.50548e-05,4.37512e-05,4.4533e-05,4.99498e-05,5.33476e-05,5.1647e-05,5.22452e-05,6.03568e-05,6.37588e-05,5.45554e-05,5.1259e-05,5.4245e-05,5.416e-05,5.5324e-05,6.42814e-05,6.47346e-05,6.58922e-05,7.13282e-05,6.8458e-05
