Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.0019659954,0.0019884646,0.0020087286,0.0020177878,0.0020519684,0.0021526328,0.0021754,0.002236192,0.0022186398,0.0022366092,0.002212352,0.0015228396,0.00176565,0.0019479366,0.0021498316,0.0022101766,0.0021281074,0.0020758978,0.0020191884,0.0020357274,0.0020592396,0.0020584946,0.001903624,0.0016921632,0.0015036782,0.0011697692,0.0013125708,0.001491639,0.0015247468,0.001560626,0.0016561052,0.0016647174,0.001678336,0.0017419888,0.001828528,0.00195339,0.0021772178,0.0023830762,0.0026479982,0.002335575,0.001916587,0.002119972,0.0021628244,0.0021895252,0.0022299638,0.0021688738,0.0020187414,0.0023810796,0.002427657,0.0027866278,0.0029021028,0.0028617536,0.0027961638,0.002829957,0.0027759296,0.0027476494,0.0027524472
"Albania",0.0003463058,0.000353279,0.0003486898,0.0003487494,0.0003721424,0.0003655566,0.000365497,0.0003239856,0.0003045262,0.0002983576,0.0002786896,0.0002668292,0.000267455,0.0002694516,0.0002711502,0.0002803882,0.000284888,0.0002946624,0.00030545,0.000326906,0.000332419,0.0003370082,0.0003443688,0.0003468422,0.000335846,0.000350299,0.0003756886,0.0004007206,0.0004166934,0.0004081408,0.0004204482,0.0004299544,0.0004551652,0.0005886096,0.0005873282,0.0004925344,0.0004604398,0.0004379706,0.000455195,0.0004555228,0.0004398182,0.000419435,0.0004338582,0.000410197,0.0004067998,0.0004083494,0.0003912442,0.0003715762,0.0003542624,0.000357898,0.0003517294,0.0003636494,0.000374139,0.0003824234,0.0003882046,0.000391572,0.0003831982
"Algeria",0.0009253794,0.0008523098,0.0007391294,0.0007909814,0.0009769334,0.0010255074,0.0012409912,0.0013135542,0.0013464832,0.0013655254,0.001420119,0.001441873,0.0014069176,0.001460498,0.001563904,0.0015274288,0.0016859052,0.0017882086,0.0019692734,0.0020962512,0.002154391,0.0022975204,0.0024362096,0.0024353752,0.0024447026,0.002422591,0.0024970314,0.0025071932,0.0025846136,0.0026389688,0.002532106,0.0026596798,0.0027273258,0.0026642392,0.0026833708,0.0026041624,0.0026597096,0.0028723028,0.0029082416,0.0029108044,0.002920102,0.0028924178,0.0029731758,0.003089664,0.0031320396,0.003219443,0.0032593154,0.003239111,0.0033936538,0.0035835394,0.00371159,0.0038613052,0.0040466314,0.0042388712,0.0042959978,0.0042630092,0.0042032602
"American Samoa",2.086e-07,2.086e-07,1.788e-07,1.788e-07,1.49e-07,1.49e-07,1.192e-07,8.94e-08,1.49e-07,1.49e-07,1.49e-07,1.192e-07,1.192e-07,1.192e-07,1.192e-07,1.192e-07,1.49e-07,1.192e-07,5.96e-08,5.96e-08,5.96e-08,5.96e-08,5.96e-08,5.96e-08,5.96e-08,5.96e-08,5.96e-08,5.96e-08,8.94e-08,5.96e-08,5.96e-08,5.96e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,5.96e-08,5.96e-08,5.96e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08,8.94e-08
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.000683761,0.0007328714,0.0007661282,0.0008373502,0.0009067842,0.0009542556,0.0010447582,0.0010507182,0.0011445882,0.0012426004,0.001342341,0.0013845974,0.0014130266,0.0014416346,0.0014698552,0.0013853722,0.0014136226,0.0014644912,0.0015152704,0.001563159,0.0015894724,0.001615756,0.0016411158,0.0016673696,0.0016925208,0.0017176422,0.0016752368,0.0016352452,0.001594449,0.0015890254,0.0016104814,0.0016392384,0.0015891446,0.0015386634,0.00153768,0.0016937724,0.0018198264,0.0019904016,0.0020019938,0.002088235,0.002106115,0.0020944036,0.002082573,0.002050538,0.0022364304,0.0022915306,0.002349283,0.0024081678,0.0024587086,0.0025339238,0.0025894114,0.0026573554,0.0027289648,0.0028037032,0.0028834182,0.0028786204,0.0029005532
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",3.2482e-06,3.3674e-06,3.3674e-06,3.8144e-06,3.874e-06,3.8144e-06,3.9932e-06,4.1422e-06,4.321e-06,4.3806e-06,4.4998e-06,4.5594e-06,4.5296e-06,4.5296e-06,4.5892e-06,4.5892e-06,4.7084e-06,5.4832e-06,6.9732e-06,8.046e-06,8.0758e-06,8.5228e-06,8.5228e-06,8.5526e-06,9.3572e-06,9.4466e-06,9.4466e-06,9.4466e-06,8.642e-06,8.6122e-06,8.1056e-06,8.1056e-06,8.3738e-06,8.7314e-06,9.1188e-06,9.685e-06,9.8936e-06,9.9532e-06,9.5956e-06,9.7148e-06,9.9532e-06,1.01022e-05,1.0281e-05,1.04598e-05,1.04598e-05,1.05492e-05,1.10856e-05,1.08174e-05,1.0728e-05,5.8408e-06,5.811e-06,5.811e-06,5.7812e-06,5.7812e-06,5.7216e-06,5.811e-06,5.811e-06
"Argentina",0.0233789046,0.0233145366,0.0218832426,0.0230217218,0.025165653,0.0260409386,0.0272061484,0.027054824,0.0255052836,0.025504628,0.025901117,0.0269233762,0.0280364658,0.0277843578,0.028300762,0.0289310022,0.0302831474,0.0286712356,0.0280730006,0.0275096018,0.026864849,0.0260758046,0.0265633326,0.0267792932,0.0265816298,0.0259673326,0.0252594336,0.0258518874,0.026069338,0.0261587082,0.0258431858,0.0260834334,0.0253571478,0.025483172,0.0250758358,0.0241767996,0.0237336438,0.0228538584,0.0233253242,0.0231624374,0.0232375334,0.0246328588,0.026550906,0.0270970506,0.027191457,0.027758253,0.0279989774,0.0274786694,0.0260248168,0.0235102928,0.023068478,0.0239274928,0.0244336458,0.0247699686,0.0244942292,0.0250228812,0.025377084
"Armenia",0.00042956452096086,0.000456374965869018,0.000477824874758522,0.000469852747060354,0.000471412016491455,0.000495462470134115,0.000513413391976797,0.000515761708561461,0.000511592998494686,0.000501639449805152,0.000520052855807947,0.000531901419714126,0.000538388812709467,0.000550461478382796,0.000562530662943376,0.000566052563384967,0.000563127758489971,0.000572880333889819,0.000579454286490397,0.000584411889985934,0.000583625174022363,0.000587682259145724,0.000592176666693877,0.000601755451577332,0.000603800144852353,0.000600295971347102,0.000603479331329575,0.0005895160501275,0.000593196833609454,0.00058745419823815,0.000576323259925305,0.0004449736,0.0003820062,0.0003751224,0.00036952,0.0003690432,0.000368328,0.0003374254,0.0003425212,0.0003510142,0.0003612356,0.0003749138,0.0003900224,0.0004114784,0.000412283,0.0004223256,0.0004386858,0.0004436922,0.000410048,0.0003971148,0.0003966082,0.0004190774,0.0004609762,0.000474565,0.0004836242,0.0004930112,0.0004610358
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.046e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0.0313995746,0.0325126046,0.0329578464,0.0341079476,0.0347076428,0.0324096456,0.0335064346,0.0344483828,0.0363361234,0.0380313262,0.0391004012,0.0389790258,0.0369973854,0.0387544828,0.0408343142,0.0408312448,0.037864476,0.0359607626,0.034940798,0.0346070976,0.0337496622,0.0338430256,0.0319332032,0.0325244352,0.0342884164,0.0344296684,0.0338014844,0.0342551596,0.0358333974,0.037489592,0.036875414,0.0350561538,0.0337959118,0.0341152486,0.0325060784,0.032967889,0.0331105714,0.0327822052,0.0323271294,0.0334130414,0.0325069128,0.032044387,0.0303363404,0.0311468706,0.0313893234,0.0304068472,0.0293628638,0.0277609052,0.027661552,0.0263127444,0.0280891224,0.0282669092,0.0289190524,0.0284098896,0.027136923,0.025165653,0.026517828
"Austria",0.0005359828,0.0005473068,0.0005397674,0.0005138116,0.0005199802,0.0005344034,0.0005455784,0.0005406912,0.0005290394,0.0005237052,0.0005305294,0.0005345226,0.0005371748,0.0005585712,0.0005511212,0.0005367576,0.0005368172,0.0005453102,0.0005536542,0.0005446546,0.0005382178,0.0005410786,0.0005447738,0.0005631306,0.0005696568,0.000568137,0.0005659318,0.0005569024,0.0005434924,0.000550406,0.0005553528,0.0005467406,0.0005195034,0.000509282,0.000500193,0.0005019214,0.0004931602,0.0004797204,0.0004724194,0.000468754,0.0004671448,0.0004585624,0.0004460464,0.0004429472,0.000442977,0.0004352886,0.0004319808,0.000435825,0.0004342158,0.0004414274,0.0004405632,0.0004338582,0.0004303716,0.00043061,0.000430461,0.0004308484,0.0004333814
"Azerbaijan",0.00239991412021657,0.00251885827940829,0.00260902356396104,0.00254911684691783,0.00251022510400301,0.00262078086585979,0.00271830781717008,0.00274544456027119,0.00274146466767619,0.00264986324096423,0.00274960574223467,0.00279867935498698,0.00281995281111622,0.00288565615393391,0.0029414488641054,0.00293080405759158,0.00291051633353524,0.00295218800663333,0.00298163663149139,0.00300613335134745,0.00299530464531602,0.00301362291277104,0.00302906007813183,0.0030784616718801,0.00307196967576543,0.00305296377033092,0.00306702443403297,0.00301161825666232,0.00302413193691695,0.00299427474975145,0.00293185674996834,0.001466309,0.0013668366,0.001267096,0.0012711488,0.0013021706,0.0013815876,0.0014565644,0.0015161048,0.0015685826,0.0016604858,0.0017191322,0.0018032874,0.0018667316,0.0019291626,0.0020185328,0.0020704742,0.0021341866,0.002196409,0.0022364006,0.0022434334,0.0022727566,0.0023057154,0.0023465116,0.0023529782,0.0023541106,0.0023401642
"Bahamas",5.2746e-06,5.3342e-06,5.364e-06,5.6918e-06,5.96e-06,6.2282e-06,6.2878e-06,5.811e-06,5.3044e-06,4.9766e-06,5.066e-06,4.7978e-06,5.0362e-06,4.8872e-06,4.6488e-06,5.7514e-06,5.9004e-06,5.0064e-06,4.321e-06,4.5594e-06,5.2746e-06,4.9766e-06,4.7978e-06,4.917e-06,4.9468e-06,4.9468e-06,5.0064e-06,5.0958e-06,5.4534e-06,5.5428e-06,4.8574e-06,5.1852e-06,5.1554e-06,4.5296e-06,6.8838e-06,8.7314e-06,7.5692e-06,1.04896e-05,6.1686e-06,6.1984e-06,6.4368e-06,6.4666e-06,7.3606e-06,7.4798e-06,7.45e-06,7.4798e-06,7.4798e-06,7.4798e-06,7.4798e-06,7.45e-06,7.45e-06,7.5096e-06,7.5096e-06,7.5096e-06,7.6288e-06,7.5394e-06,7.2712e-06
"Bahrain",3.1886e-06,3.2482e-06,3.3078e-06,3.3674e-06,3.427e-06,3.9634e-06,3.9932e-06,3.9932e-06,4.1422e-06,4.2316e-06,4.3806e-06,4.8872e-06,5.2746e-06,4.7084e-06,5.3342e-06,5.513e-06,5.9004e-06,5.9302e-06,6.6454e-06,6.6752e-06,6.556e-06,6.9434e-06,7.0924e-06,7.45e-06,8.4036e-06,9.2678e-06,9.983e-06,1.18306e-05,1.31418e-05,1.34994e-05,1.32312e-05,1.33504e-05,1.31418e-05,1.2814e-05,1.20392e-05,1.29034e-05,1.30524e-05,1.2516e-05,1.30822e-05,1.26352e-05,1.2069e-05,1.56748e-05,1.39464e-05,1.32312e-05,1.29928e-05,1.31716e-05,1.30524e-05,1.1473e-05,1.1771e-05,1.32908e-05,1.33504e-05,1.341e-05,1.36186e-05,1.36186e-05,1.32014e-05,1.29928e-05,1.32014e-05
"Bangladesh",0.0028681904,0.0029732354,0.0030834656,0.0033158758,0.0032957906,0.0033077106,0.0033929982,0.0034871364,0.0035703678,0.0036818794,0.0036713302,0.0036878096,0.003625766,0.0037173414,0.0038081718,0.0039728168,0.0040556608,0.0045122862,0.0047274422,0.003505225,0.003574212,0.0036289844,0.0036929054,0.0039187,0.0040832556,0.0042256102,0.0043764578,0.0045372884,0.0046996686,0.0048898522,0.0050333392,0.0052322542,0.0054712502,0.005709829,0.0059704896,0.0060734486,0.0062251902,0.0061095066,0.0061738448,0.0062447986,0.0063136962,0.0065998656,0.0068028632,0.0069950732,0.0072169044,0.0074356066,0.0076555902,0.0078789114,0.0080893888,0.008343404,0.0085696754,0.0087768748,0.008890234,0.0089479864,0.0090309496,0.0090705538,0.0094724366
"Barbados",1.36186e-05,1.17114e-05,1.1622e-05,1.16816e-05,1.19498e-05,1.2367e-05,1.26948e-05,1.27842e-05,1.43636e-05,1.4453e-05,1.49596e-05,1.48702e-05,1.60026e-05,1.49298e-05,1.30822e-05,1.31418e-05,1.33802e-05,1.45126e-05,1.53768e-05,1.6092e-05,1.64794e-05,1.59132e-05,1.55258e-05,1.57642e-05,1.49596e-05,1.67476e-05,1.77608e-05,1.937e-05,2.35718e-05,1.98468e-05,1.9817e-05,2.03534e-05,1.92806e-05,1.97574e-05,2.03534e-05,2.08898e-05,1.93402e-05,1.89826e-05,1.8178e-05,1.71946e-05,1.52874e-05,1.44828e-05,1.37378e-05,1.4006e-05,1.32014e-05,1.22776e-05,1.16816e-05,1.20988e-05,1.25458e-05,1.27246e-05,1.27842e-05,1.28736e-05,1.30226e-05,1.29928e-05,1.30226e-05,1.29928e-05,1.2963e-05
"Belarus",0.000477461954581266,0.000515042794587941,0.000544477506675189,0.000534926245258822,0.000543810843014497,0.000580585994593135,0.000603060745290996,0.000603892182896892,0.000595804947590751,0.000590573690271477,0.000615099238655874,0.000633829818607296,0.000643154078391042,0.000657222362378037,0.000674251149164352,0.000684557127432117,0.000680445767609582,0.000694433931989815,0.000702918921258432,0.000709124428294672,0.00070871997663196,0.000713955255626769,0.000721306622547235,0.000735351661646594,0.00074326212317376,0.000741604927127978,0.000748397690345572,0.000726221357671993,0.000733547376909414,0.00072617566042325,0.000709895480687397,0.0008488232,0.0008054642,0.0007579928,0.000702833,0.0006585204,0.00063176,0.000622075,0.000605238,0.000561879,0.0005490948,0.0005311254,0.0005201292,0.000508239,0.0005112488,0.0005117256,0.0005110402,0.0005119938,0.0005260296,0.0005284434,0.0005293672,0.0005409892,0.0005556508,0.0005566938,0.0005561872,0.00054981,0.0005566044
