Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.0003590006,0.0003676426,0.0003758078,0.0003827214,0.0003935984,0.0004148458,0.0004194052,0.0004313252,0.000430461,0.0004319212,0.0004284048,0.0003010098,0.0003430576,0.0003769998,0.000416157,0.000428673,0.0004126406,0.0004011974,0.0003913336,0.0003952374,0.0003996776,0.000399469,0.0003682386,0.000322436,0.000286676,0.0002212948,0.0002452242,0.0002767824,0.0002784214,0.0002805372,0.000291146,0.0002875104,0.0002854244,0.000292636,0.0003004138,0.0003390942,0.0003708014,0.0003966976,0.0004385964,0.0003760462,0.0003241942,0.0003371274,0.000344935,0.0003482428,0.0003671062,0.0003533684,0.0003392134,0.000399767,0.0004168424,0.0004773066,0.0004900908,0.0004818958,0.0004707506,0.000477098,0.0004622874,0.0004605292,0.0004619
"Albania",0.0001332954,0.000133951,0.0001324908,0.0001336232,0.0001440532,0.0001440234,0.0001459604,0.0001363052,0.0001358284,0.000135888,0.0001323418,0.0001296896,0.0001332954,0.0001402984,0.0001437254,0.0001541852,0.0001623206,0.000174628,0.0001831508,0.0001880678,0.0001925676,0.0001950708,0.000197723,0.0001976634,0.00019072,0.000199511,0.0002161692,0.000225139,0.0002298474,0.0002201624,0.0002174506,0.0002098814,0.0002225464,0.0002826828,0.0002901924,0.0002802094,0.0002626274,0.0002502306,0.0002562502,0.000262091,0.000257919,0.0002530318,0.000256876,0.0002490088,0.0002479956,0.0002431978,0.0002289236,0.0002168248,0.0002072888,0.0002093152,0.0002113714,0.0002218014,0.0002202518,0.0002240066,0.0002226954,0.000219179,0.0002149176
"Algeria",2.682e-05,2.5628e-05,2.3989e-05,2.61048e-05,3.01874e-05,3.15582e-05,3.59388e-05,3.78162e-05,3.93062e-05,3.96936e-05,4.09452e-05,4.25842e-05,4.22564e-05,4.40146e-05,4.63688e-05,4.63688e-05,4.97362e-05,5.21202e-05,5.53684e-05,6.14476e-05,6.50534e-05,7.3755e-05,7.9417e-05,8.36784e-05,8.57346e-05,8.70458e-05,9.01748e-05,9.22012e-05,9.43766e-05,9.834e-05,9.55686e-05,0.0001010816,0.000104002,0.0001071608,0.0001125844,9.9979e-05,0.0001051344,0.0001240276,0.0001167862,0.0001210774,0.0001241468,0.0001253388,0.000129183,0.0001344278,0.000133951,0.0001327292,0.000133206,0.0001331464,0.0001359774,0.0001416394,0.0001451558,0.0001496258,0.0001553772,0.000160622,0.0001616054,0.0001611882,0.0001601452
"American Samoa",5.364e-07,5.066e-07,6.258e-07,7.45e-07,8.046e-07,7.45e-07,5.662e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.364e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,4.768e-07,4.768e-07,4.768e-07,5.066e-07,5.364e-07,5.96e-07,5.96e-07,5.96e-07,6.258e-07,6.258e-07,6.258e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07,5.066e-07
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",4.33888e-05,4.43424e-05,4.52066e-05,4.67562e-05,4.768e-05,4.85442e-05,4.98256e-05,5.04216e-05,5.1852e-05,5.35208e-05,5.55174e-05,5.80206e-05,6.09112e-05,6.3772e-05,6.66924e-05,6.77652e-05,7.0626e-05,7.3904e-05,8.18606e-05,8.50492e-05,8.78802e-05,9.07112e-05,9.3572e-05,9.63732e-05,9.9234e-05,0.0001020352,0.0001031974,0.0001026312,0.000104896,0.000104747,0.000105343,0.0001063562,0.0001046874,0.0001029292,0.0001034358,0.0001073396,0.0001104388,0.0001123162,0.0001106474,0.0001131804,0.0001163392,0.0001267692,0.000131567,0.0001412818,0.0001462882,0.0001598174,0.0001750154,0.0001917034,0.000208153,0.0002311884,0.00025032,0.0002735044,0.0002993112,0.0003278894,0.0003576,0.000362219,0.0003820062
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",8.046e-07,8.344e-07,8.344e-07,9.536e-07,9.536e-07,9.536e-07,9.834e-07,1.043e-06,1.0728e-06,1.1026e-06,1.3112e-06,1.2218e-06,1.2218e-06,1.0132e-06,9.536e-07,9.834e-07,1.0728e-06,1.3112e-06,1.6092e-06,1.8178e-06,1.6688e-06,1.7582e-06,1.788e-06,1.788e-06,1.9072e-06,1.9072e-06,1.9072e-06,1.9072e-06,1.788e-06,1.7582e-06,2.5032e-06,2.5032e-06,2.533e-06,2.533e-06,2.5032e-06,1.8178e-06,1.8774e-06,1.8774e-06,2.4734e-06,2.2052e-06,2.2946e-06,2.3244e-06,2.4138e-06,2.4734e-06,2.4734e-06,2.5032e-06,1.8774e-06,1.937e-06,1.9072e-06,1.49e-06,1.5496e-06,1.5496e-06,1.49e-06,1.5198e-06,1.49e-06,1.5496e-06,1.5496e-06
"Argentina",0.0010744092,0.0009957372,0.0010342388,0.0010585258,0.0010663334,0.001142085,0.0010990836,0.0010816506,0.001127185,0.0011075468,0.0012327664,0.0012541032,0.0013036904,0.0012416468,0.0012952272,0.001298982,0.0011813316,0.001129122,0.0012152738,0.0013236564,0.0013273218,0.0013098888,0.0012982668,0.0012936776,0.0012838436,0.0013041672,0.00127097,0.0012035326,0.001109901,0.0010269974,0.001003515,0.0009849496,0.0010344772,0.0011127022,0.0011091858,0.0010960142,0.0011293306,0.0011915232,0.0010312886,0.0010242558,0.0010285768,0.0009225782,0.0009003176,0.0009051154,0.0009585468,0.0010512844,0.0010296198,0.001015137,0.0009952902,0.001073247,0.0011110036,0.0011683984,0.0012119064,0.0012047246,0.0015858666,0.0016058028,0.00161069
"Armenia",4.8161839033838e-05,5.34655155885085e-05,5.60996894045087e-05,4.2258959458527e-05,4.82777956595904e-05,5.30949134105837e-05,5.34974977243947e-05,5.04005726190696e-05,4.93100815412079e-05,5.27298602118423e-05,5.91693902140553e-05,6.18268851501607e-05,6.01141695936429e-05,6.23647323051333e-05,6.41682993044245e-05,5.80758211972491e-05,6.03785408419036e-05,6.36509058819916e-05,6.54492994379905e-05,6.59556752134438e-05,6.5853885103282e-05,6.61184548965366e-05,6.80305361566268e-05,6.95877972641166e-05,6.96098679657238e-05,6.9576511145553e-05,7.0678028104568e-05,6.88374559404629e-05,6.9534183887064e-05,6.94769589591921e-05,6.72985435644473e-05,3.6058e-05,1.8029e-05,1.788e-05,1.80588e-05,1.78502e-05,1.56152e-05,1.51384e-05,1.8029e-05,1.78502e-05,1.7731e-05,2.05918e-05,2.24096e-05,2.11282e-05,2.14858e-05,2.61644e-05,2.72074e-05,2.13964e-05,2.06216e-05,2.28566e-05,2.25288e-05,2.27672e-05,2.71478e-05,2.70584e-05,2.76246e-05,3.0545e-05,2.97702e-05
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.874e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0.000614625,0.000634889,0.0006388524,0.0006457064,0.000648299,0.0006292866,0.0006398358,0.0006701126,0.00070924,0.0007573074,0.0008173246,0.0009283296,0.000968798,0.000977291,0.0009977636,0.001014839,0.000971033,0.0009167672,0.0008692064,0.0008632762,0.0008354728,0.0008154174,0.0007839188,0.0007754258,0.0007927694,0.00081205,0.0007888954,0.000809964,0.0007932164,0.0008240296,0.0008172948,0.0008431016,0.000863455,0.0009119694,0.0008978144,0.0009341406,0.000961348,0.0009934724,0.0009900752,0.0009896282,0.00101916,0.0010128722,0.0009698708,0.0009810458,0.0009672186,0.001032719,0.0010230638,0.0009731488,0.0009959756,0.00093572,0.0009949326,0.0010151668,0.0010279808,0.0010291728,0.0009743408,0.0009189128,0.0009635532
"Austria",0.0008301386,0.0008442638,0.0008314498,0.0008109772,0.000819053,0.0008155664,0.0008400024,0.0008435784,0.0008398236,0.0008386614,0.0008577632,0.0008415818,0.000854515,0.0008726632,0.0008749876,0.0008696534,0.0008802622,0.0008795768,0.0009026122,0.0008916756,0.0008705772,0.0008917054,0.0008940596,0.000906218,0.0009191512,0.0009081848,0.0008965032,0.000893106,0.0008646172,0.0008636338,0.0008566308,0.0008415818,0.0008167584,0.0008101428,0.0007718498,0.0007686016,0.000754536,0.0007442848,0.0007447616,0.0007216368,0.0007093294,0.0007074222,0.0006868304,0.0006752382,0.0006694272,0.0006693378,0.0006619474,0.0006707086,0.0006599508,0.0006726456,0.000671543,0.0006567324,0.0006535438,0.0006515472,0.0006513088,0.0006503552,0.0006487162
"Azerbaijan",0.000153701644892125,0.000160834841167453,0.000165059764302126,0.000161369192345666,0.000159444499909633,0.00017338782118711,0.000183137658171053,0.000189412167442753,0.000190741584406935,0.000188228440218397,0.000191550963243274,0.000193742933692903,0.000193608842675537,0.000197518311133027,0.000199896900329639,0.000199083435306776,0.000195584150984481,0.000194358154548311,0.000193101745257188,0.000193082500162115,0.000192685639273551,0.00019271090800977,0.000192983178236771,0.00019707705561942,0.000201887227858127,0.000210485114943075,0.000211647888994967,0.000208688685310869,0.000210291252496922,0.000211752561484589,0.000208917678453514,9.09496e-05,7.91488e-05,7.18776e-05,6.8838e-05,6.89274e-05,6.99108e-05,7.08346e-05,7.16392e-05,7.27716e-05,7.41722e-05,7.66754e-05,7.89998e-05,8.08176e-05,8.24566e-05,8.44532e-05,8.43042e-05,8.6718e-05,8.90722e-05,8.78802e-05,8.72544e-05,8.83868e-05,8.97278e-05,9.3423e-05,9.16946e-05,8.92212e-05,8.8953e-05
"Bahamas",1.9966e-06,2.0264e-06,2.0562e-06,2.1456e-06,2.3244e-06,2.6224e-06,2.682e-06,2.384e-06,2.1754e-06,1.9966e-06,2.086e-06,2.0264e-06,2.3542e-06,2.3244e-06,2.1754e-06,3.129e-06,3.3674e-06,2.7118e-06,2.2052e-06,2.384e-06,3.0098e-06,2.7714e-06,2.7118e-06,2.831e-06,2.831e-06,2.7714e-06,2.9204e-06,2.9204e-06,3.2184e-06,3.3376e-06,2.7714e-06,3.0694e-06,3.0396e-06,2.5628e-06,4.47e-06,5.9004e-06,4.8872e-06,7.301e-06,4.023e-06,3.9634e-06,4.0826e-06,4.2018e-06,4.8574e-06,4.8872e-06,4.917e-06,4.8872e-06,4.917e-06,4.8574e-06,4.8872e-06,4.8872e-06,4.917e-06,4.917e-06,4.917e-06,4.917e-06,5.0064e-06,4.9468e-06,4.7084e-06
