Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.000319903,0.0003223466,0.000300682,0.000324224,0.0003277404,0.0003090856,0.000320648,0.0003243432,0.000333015,0.0003031256,0.0002954372,0.0003479448,0.0003550074,0.0003606396,0.0003700862,0.0003797414,0.0003492262,0.000364007,0.0003480044,0.0003342666,0.0003199626,0.0003068804,0.000294424,0.0002815504,0.000267157,0.0002548496,0.0002812822,0.0002525252,0.0002409926,0.0002312182,0.0002355988,0.0002210266,0.000259558,0.0002721932,0.00027416,0.0002800604,0.0003106948,0.0003232406,0.0002783022,0.0001898558,0.0001922994,0.000299341,0.000364603,0.000300235,0.000431504,0.0003751224,0.0004536156,0.000323777,0.0005081198,0.0004652078,0.0003767614,0.000501087,0.0005117554,0.0005323472,0.0004536156,0.0004360038,0.0003877576
"Albania",2.63134e-05,2.77736e-05,2.4287e-05,2.97702e-05,2.79226e-05,3.5015e-05,3.83824e-05,4.07068e-05,4.25246e-05,4.25842e-05,4.24054e-05,4.4998e-05,4.79184e-05,4.91402e-05,4.91402e-05,6.26396e-05,6.5411e-05,6.63944e-05,6.81526e-05,6.56196e-05,6.64242e-05,6.9732e-05,7.53642e-05,7.41424e-05,7.19968e-05,7.40828e-05,7.34272e-05,7.36358e-05,7.4798e-05,6.65732e-05,3.53726e-05,3.3674e-05,4.95276e-05,4.768e-05,4.70244e-05,3.73096e-05,4.41934e-05,4.45212e-05,3.65348e-05,4.10346e-05,3.63858e-05,3.72202e-05,3.46574e-05,3.49852e-05,3.57898e-05,3.46574e-05,3.39124e-05,4.17498e-05,4.26438e-05,4.44914e-05,4.51172e-05,4.49682e-05,4.50576e-05,4.48192e-05,4.45212e-05,4.46106e-05,4.47e-05
"Algeria",0.0001354708,0.0002326784,0.0002287746,0.0001702772,0.000188783,0.0001023928,0.0001763862,0.0002202816,0.0002023718,0.0002215928,0.0001943556,0.0002502902,0.0001931636,0.000180141,0.000265965,0.000246744,0.000157195,0.000177757,0.000191018,0.0002507372,0.0002054412,0.0001764458,0.000153321,0.0001764458,0.0002889408,0.000247191,0.0002235596,0.0001324014,0.0002176294,0.0001847004,0.0003557226,0.0003282172,0.000163006,0.0001090084,0.0002231126,0.0004281962,9.83996e-05,0.0003021124,0.0001928358,0.0001032868,0.0002470718,0.0001902134,0.0003724106,0.000360729,0.0003135258,0.000353577,0.0003256544,0.0001618736,0.0004490562,0.0003801288,0.0003809632,0.0004536752,0.0004366594,0.000334356,0.000358345,0.0003585834,0.0003627852
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",4.8574e-05,4.80674e-05,4.7084e-05,4.94382e-05,4.84846e-05,4.62794e-05,4.76204e-05,4.85442e-05,5.45936e-05,5.04812e-05,4.82164e-05,4.80972e-05,5.10474e-05,4.917e-05,5.07792e-05,5.16732e-05,4.51172e-05,4.53854e-05,4.02598e-05,4.34484e-05,3.79056e-05,3.82036e-05,3.9336e-05,3.89784e-05,3.80844e-05,4.49384e-05,4.69946e-05,4.60112e-05,4.31206e-05,3.6356e-05,4.47894e-05,4.91104e-05,4.93488e-05,5.53386e-05,4.50278e-05,4.9468e-05,4.74118e-05,5.84974e-05,5.40274e-05,5.65306e-05,6.90168e-05,7.90296e-05,8.12944e-05,0.0001009028,0.000113687,9.61646e-05,0.0001129718,9.45852e-05,0.0001489106,0.000155854,0.0001796344,9.18436e-05,0.000189379,0.0001989746,0.000207557,0.0002406946,0.000287123
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0.001112583,0.0010187428,0.0013382882,0.0015641722,0.0010683896,0.0012479346,0.00140507,0.0012434646,0.0013626646,0.0013648102,0.0015080886,0.001407603,0.0016181996,0.0016077994,0.001637957,0.0018400308,0.0015964456,0.0019925472,0.0019554462,0.0016297024,0.002207882,0.0026394456,0.0024745026,0.0026630472,0.0023405516,0.0022425692,0.0020885926,0.0022499894,0.0018868764,0.002210266,0.0024063202,0.0025237918,0.0025055542,0.0025048688,0.0026969298,0.002583064,0.0033521424,0.0038500706,0.0035748378,0.0039518078,0.0043481776,0.0044664836,0.004569085,0.0046765736,0.0053406964,0.0050316108,0.0059537122,0.0060948748,0.0042861638,0.0061363266,0.0067022286,0.0060461518,0.006563748,0.0067712752,0.0075432442,0.0076093704,0.0081289632
"Armenia",2.22325054736612e-05,2.2853577377633e-05,2.12934559210652e-05,2.57761401531342e-05,2.30968897646199e-05,2.73102928428849e-05,2.53072781562336e-05,2.74980527655561e-05,2.67396106924173e-05,2.92361551802236e-05,2.83016340133256e-05,2.7511163103255e-05,3.39312552844925e-05,3.06865075438595e-05,2.66859025457314e-05,3.38327767029415e-05,3.0896438085388e-05,3.45123060945968e-05,3.01492122163506e-05,2.87274526667087e-05,2.62542177332552e-05,2.79585505390237e-05,2.89147092558054e-05,2.67821211318706e-05,2.72717855453684e-05,3.00130204479495e-05,2.92096406751793e-05,2.64494355431206e-05,2.78091368128376e-05,2.98251197070306e-05,2.5671354839734e-05,2.90848e-05,3.10814e-05,2.54194e-05,2.62538e-05,3.13198e-05,2.7565e-05,3.24224e-05,2.9502e-05,2.41082e-05,3.4419e-05,3.71308e-05,3.13198e-05,4.1273e-05,3.7399e-05,2.44658e-05,3.97532e-05,3.77864e-05,3.46574e-05,3.06642e-05,3.79354e-05,3.97532e-05,4.58026e-05,4.7978e-05,4.90508e-05,4.9021e-05,2.85484e-05
