Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.0009996,0.0009996,0.0009996,0.0010472,0.0010472,0.00105672,0.00098056,0.00098056,0.00098056,0.00096152,0.000952,0.0009996,0.0009996,0.0009996,0.0009996,0.0009996,0.0009996,0.0009996,0.00098056,0.00090916,0.00082824,0.00078778,0.0007378,0.00070924,0.00067116,0.000714,0.00077112,0.0008568,0.0008092,0.000833,0.00082348,0.000833,0.000833,0.0008568,0.0008092,0.000833,0.0008568,0.0008568,0.0006664,0.0006188,0.00057596,0.0006426,0.0006902,0.0009282,0.0007616,0.0007616,0.0008092,0.0009044,0.000952,0.00099008,0.0009996,0.0009758,0.0009758,0.0010472,0.00078064,0.00056644,0.0005209922
"Albania",2.82472e-05,3.24428e-05,3.68526e-05,3.36906e-05,3.74408e-05,3.66146e-05,3.8386e-05,3.95454e-05,4.1565e-05,4.78278e-05,3.24428e-05,3.808e-05,4.5696e-05,3.808e-05,3.808e-05,3.808e-05,3.808e-05,3.808e-05,3.808e-05,3.808e-05,3.808e-05,3.808e-05,3.4272e-05,3.4272e-05,2.856e-05,2.856e-05,3.1416e-05,3.0464e-05,2.5704e-05,2.856e-05,7.616e-06,2.2848e-06,1.3328e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",1.98968e-05,1.904e-05,1.43956e-05,1.24712e-05,1.8088e-05,1.82784e-05,1.62792e-05,1.8564e-05,1.87544e-05,1.30424e-05,6.3784e-06,1.01864e-05,1.16144e-05,9.7104e-06,5.5216e-06,4.76e-06,5.4264e-06,2.4752e-06,3.808e-06,3.9984e-06,3.9984e-06,3.9984e-06,4.284e-06,4.284e-06,4.284e-06,4.3792e-06,4.5696e-06,5.0456e-06,5.0456e-06,5.236e-06,5.3312e-06,5.4264e-06,5.3108e-06,5.5352e-06,5.6236e-06,5.712e-06,1.904e-06,3.1178e-06,3.1076e-06,3.179e-06,3.2232e-06,2.9206e-06,3.1382e-06,3.0566e-06,2.8458e-06,2.6758e-06,2.4718e-06,2.278e-06,2.0876e-06,1.9346e-06,1.8938e-06,1.7136e-06,1.7136e-06,1.7136e-06,1.4892e-06,1.3056e-06,1.1458e-06
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.000238,0.00018088,0.0001904,0.0001904,0.00021896,0.00020944,0.000211344,0.00020944,0.0001428,0.000238,0.00020944,0.00020944,0.00020944,0.0001428,0.0001428,0.0001904,0.0001904,0.0001428,0.00013328,0.00011424,0.00010472,0.00010472,8.568e-05,8.568e-05,5.712e-05,5.712e-05,2.856e-05,2.856e-05,3.808e-05,3.00254e-05,3.808e-05,4.16534e-05,4.76e-05,0.00022848,0.00012376,7.616e-05,5.712e-05,4.76e-05,4.9504e-05,4.0868e-05,3.70702e-05,3.52716e-05,7.48952e-05,0.0001068348,0.0001180208,7.37222e-05,8.57956e-05,0.0001575662,0.000225692,0.0002275756,0.0002478804,0.0002656284,0.0002809352,0.000286246,0.0002863514,0.0003720858,0.0005441598
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0.00043792,0.0005051312,0.000497896,0.0005142704,0.0006462176,0.0004454884,0.0005886216,0.000674016,0.000833,0.000970088,0.000734944,0.000791112,0.000728756,0.000787304,0.0008806,0.0008308104,0.000862512,0.0009044,0.000974848,0.000782544,0.000778736,0.001081472,0.000876792,0.0012222252,0.0010353,0.001074808,0.0009013536,0.000872984,0.000998648,0.0011102224,0.0008212428,0.001339464,0.001329468,0.0013455568,0.0017527748,0.0018394068,0.0021363628,0.0020154316,0.002753184,0.001799756,0.0014458024,0.0011805752,0.0012651128,0.0016105732,0.0015130884,0.001609118,0.0015673252,0.0017370192,0.001844976,0.0020531784,0.0024508764,0.0022407428,0.002215304,0.002315264,0.0022142568,0.0019776848,0.001943032
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0.0002142,0.0002175082,0.0002380714,0.000257448,0.000267053,0.0002791128,0.000319532,0.000329205,0.0003608828,0.0004299538,0.0004361214,0.0004334218,0.000483021,0.0007229454,0.000809268,0.0008015364,0.000985728,0.0009792578,0.0011805616,0.0012461714,0.00113526,0.00136017,0.00082467,0.001274898,0.001304478,0.001136331,0.001027089,0.001128834,0.00103887,0.00112455,0.00095319,0.00136017,0.00133875,0.001421217,0.001383732,0.001603287,0.001785357,0.001512252,0.001624707,0.001427643,0.0018911276,0.0015461908,0.000490926,0.0007110998,0.000548522,0.0010937902,0.000211072,2.48268e-05,7.70474e-05,0.0002027522,0.0008116344,0.0011043608,0.001217064,0.000821372,0.0007461028,0.0002851546,0.0008804028
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azerbaijan",1.2246461569216e-05,1.23502451418365e-05,1.52561851752098e-05,1.98226623705106e-05,2.2521035258643e-05,2.57383260098777e-05,2.91631839063534e-05,3.23804746575881e-05,3.40410118195157e-05,3.63242504171661e-05,4.04755933219851e-05,4.36928840732198e-05,4.79480105506593e-05,5.13728684471349e-05,5.18917863102373e-05,5.43825920531287e-05,5.66658306507791e-05,6.01944721198753e-05,6.33079792984895e-05,6.91198593652361e-05,6.57987850413809e-05,6.72517550580675e-05,6.7573484133191e-05,7.13823412483624e-05,6.96595339428626e-05,6.44184635255286e-05,6.81858072116518e-05,6.96387772283385e-05,6.81131587108175e-05,6.37231135889714e-05,6.22078734287125e-05,8.1192e-06,1.13084e-05,9.7376e-06,1.82206e-05,2.08114e-05,2.2304e-05,2.3001e-05,3.40238e-05,4.2364e-05,3.60536e-05,3.40442e-05,3.16744e-05,2.44936e-05,2.20286e-05,1.1424e-05,1.00436e-05,1.27296e-05,1.63948e-05,1.56128e-05,1.67926e-05,1.60412e-05,2.01722e-05,1.03496e-05,1.13866e-05,2.38952e-05,4.85792e-05
