Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.0024298084213373,0.00275297888352046,0.00276967486532404,0.00282058148165457,0.00277438165274515,0.00289985479633388,0.00278662803453398,0.00280074206373302,0.00276461885047566,0.00291648021959412,0.0029282013867757,0.00260592811083176,0.00240215104015009,0.00258594972665902,0.00279675785261901,0.00284176545593197,0.00286791481760549,0.00285245132976878,0.00283072909112865,0.00283372021855269,0.00286457434818041,0.00285262579097076,0.00251363885938939,0.00164202091960973,0.00131564774242018,0.000850514144229044,0.000868872122133388,0.000878693820710888,0.000877600883486363,0.000850704678421602,0.000532804206256043,0.000568434211380842,0.000646270720513303,0.000635612337821628,0.000642848564191899,0.000913446096036172,0.000973413942487382,0.000989096569642163,0.00117437930933914,0.000988385605230659,0.000716299484143536,0.00123360881979065,0.00135413960433323,0.0011944120115296,0.00123392134045022,0.00141713754808302,0.00148351829033268,0.00157755517245254,0.0015517895023009,0.00192865174878011,0.00186887531417492,0.00135345621203514,0.00129550701367403,0.00141124694384164,0.00180709137831341,0.0018059718167234,0.00170298124870024
"Albania",0.000901164211378083,0.0008611083675688,0.000814044027653473,0.000754931320138084,0.000786918285722315,0.000767706988145535,0.000774133501294359,0.000763005639615478,0.000733332376910203,0.000731577209620774,0.000725441567536904,0.000694370409650016,0.000723262400647494,0.000771114338617351,0.000790268211328443,0.000915742250024309,0.000913145431359525,0.00100636273152475,0.00106685423214989,0.00105771343776585,0.00103578847144006,0.00103073775045144,0.00105482890652255,0.00101512985042228,0.00101093912924943,0.00105015440544472,0.00113740361709435,0.00113757194015799,0.00112342507294558,0.000950870736827396,0.000920337028519797,0.000824866300150656,0.00087374598060032,0.00100186887450609,0.00100540731712871,0.000875394574717904,0.000931652931430695,0.000781492560199397,0.000798350570538442,0.000771721112533549,0.000767100898715782,0.00071381281680725,0.00067459674058616,0.000611284726452757,0.000641399417621008,0.0005915403555346,0.000893024132259152,0.000742948262799086,0.000553037358025112,0.000495661773303162,0.000525590754225177,0.000468206900383238,0.000480061564877645,0.000478009761416894,0.000528225990662305,0.00047470579691797,0.000461242209264161
"Algeria",0.000588399757342982,0.000565962442052641,0.000421069366289391,0.00038418024933896,0.000463724330530841,0.000576412729206567,0.000702752202552994,0.0007447263163589,0.000758863998822941,0.000799391823599329,0.000845062454984102,0.000759410951563427,0.000726758336795826,0.000739489062180694,0.000862101090442531,0.000853174354242773,0.00100227430528077,0.00109611686563318,0.00127937701985499,0.00129715972410123,0.00129492036684729,0.00137930295255868,0.00165742841392699,0.00131888373466796,0.00134499403205409,0.00123182295960682,0.00127418722299859,0.00123524526016283,0.00116636001106458,0.00113230914326517,0.00109746982364698,0.000980581496653582,0.000906091137360804,0.000836161633894195,0.000772610038522045,0.000729688078250024,0.000758334251474019,0.00087880112892427,0.00119574992074993,0.00104325514293918,0.000917602323144571,0.000967064291525446,0.00101213357427209,0.000946327825290566,0.000974591772491905,0.00116101869236123,0.00121837907466122,0.00119088443749667,0.00127181067560679,0.00127096919335137,0.00129930929310311,0.00133776709317383,0.00137184801985361,0.00147548549756865,0.00159150831649998,0.00155356627282148,0.0012567826087844
"American Samoa",7.934e-07,7.764e-07,7.262e-07,7.296e-07,5.646e-07,5.272e-07,4.328e-07,3.01e-07,5.646e-07,5.68e-07,4.728e-07,3.92e-07,3.852e-07,3.784e-07,3.682e-07,3.478e-07,4.83e-07,3.546e-07,1.624e-07,1.658e-07,1.726e-07,2.126e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,4.396e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.296e-07,2.364e-07,2.364e-07,2.296e-07,2.296e-07,2.432e-07,2.432e-07,2.432e-07,2.432e-07,2.432e-07,2.432e-07,2.432e-07,2.432e-07,2.432e-07,2.432e-07
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0122920262345903,0.0107758895272015,0.00966893219274488,0.00922891286798529,0.00897354349016448,0.00860915564693785,0.00867878323214947,0.00809905696321947,0.0082917230567301,0.00881013799028075,0.00917057114550734,0.00901637849117542,0.00892092714078523,0.00872869578898743,0.00924763255521182,0.00802397111484937,0.00794609362012244,0.00799124937581273,0.00793914737828487,0.00851676834757223,0.00874488242813616,0.00884162439473273,0.00890958547990147,0.0090024923326175,0.00910238257091001,0.00936867536684529,0.00920032808735223,0.00909786858506113,0.00888622410336021,0.00869584176955084,0.00875214618795323,0.00847816424113139,0.00827133468629675,0.00807511610359561,0.008086565799628,0.00850830064857456,0.00881956433901815,0.00934196825465889,0.0093468010936657,0.00929572513263174,0.00919771786301875,0.00888241614965798,0.00925495342421303,0.00834114589459787,0.00862883779418158,0.00880527531850951,0.00898091963227686,0.00868392423492861,0.00919141295015898,0.00890512084541724,0.00945948004195015,0.00968074847604775,0.0105424188466416,0.0106612803981036,0.0105126896235691,0.0107706167449785,0.0112688606666164
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",9.78371907490034e-06,9.62272732472616e-06,1.02201535666994e-05,1.20229183361386e-05,1.18865639574539e-05,1.17114117955549e-05,1.15372197250432e-05,1.16724840032162e-05,1.2622526543163e-05,1.21616145148997e-05,1.21898385921654e-05,1.19314667715494e-05,1.12882174619908e-05,1.08871620520058e-05,1.07715056900186e-05,1.09952339654179e-05,1.12492509585816e-05,1.43938482350708e-05,1.86225309684608e-05,2.36720277667802e-05,2.36410494388787e-05,2.55948260472021e-05,2.56780509200063e-05,2.55603689325205e-05,2.96130909199475e-05,2.96821080148226e-05,2.97369998300443e-05,2.97859549076088e-05,2.56840149498881e-05,2.56122827437469e-05,1.74696941614588e-05,1.72579105406081e-05,1.71094187888256e-05,1.70040981079522e-05,1.6571436057708e-05,2.23273164181338e-05,2.15624346623088e-05,2.0557140402407e-05,1.37901088967243e-05,1.32259867650264e-05,1.37102567108851e-05,1.38959343633643e-05,1.41233687112373e-05,1.44471859103287e-05,1.44327371556065e-05,1.44192910183476e-05,2.1233725186839e-05,2.0856809486622e-05,2.10754240408214e-05,4.18286342867274e-06,3.52700897515026e-06,3.52089465205483e-06,3.76383644897941e-06,3.54674269332527e-06,3.60501158328995e-06,3.77747627949662e-06,3.55687745315908e-06
"Argentina",0.107627034629957,0.107665835749586,0.105584178822576,0.108712134887418,0.116464384210417,0.120754940748683,0.127741479080747,0.128597112246267,0.121242242966327,0.117585952362169,0.118492170176167,0.12521156334938,0.129460209982724,0.12943651295251,0.132148400539423,0.135467428403626,0.142825865019663,0.135518484716856,0.131863035982605,0.128366001592097,0.124683929571418,0.121027470666758,0.123819546078288,0.125820656006018,0.12438255177637,0.120911721792929,0.117310036095836,0.120193632824618,0.121873727030739,0.124429758598358,0.124203251364645,0.125806600100085,0.124628708033854,0.125410601585948,0.124054083795458,0.120090606088559,0.118188320849656,0.112595831544775,0.115057446449707,0.114182539107946,0.114461931407245,0.12329078628278,0.132634081536813,0.132127369393446,0.133906691925198,0.136688805444385,0.135400456047951,0.132281308806938,0.126923381236639,0.114670877779584,0.11161243270904,0.11693008191417,0.119638592445027,0.121751467593634,0.117915707175594,0.108047159913618,0.118888181376531
"Armenia",0.00104010857863568,0.00112379772327411,0.00121090697884208,0.00117485299031054,0.001144427537885,0.00122990373080798,0.00128751967565431,0.00129156255156443,0.0012638001661617,0.00120982616874513,0.00123809870497973,0.00128919248590679,0.00130469155600902,0.00132138145189046,0.001341402064196,0.00140344587112448,0.00136610747352146,0.00138526244761611,0.00139455556729531,0.00138290175747294,0.00136935879331974,0.00137150833010208,0.00139034674400071,0.00142360482495039,0.00145501994772664,0.00146336456565492,0.00149539976064154,0.00142643024244404,0.00144409593492277,0.00140203948325741,0.00132230086417277,0.000538876778659883,0.000412522305360798,0.000384036487654819,0.00036921924740718,0.000366487637395509,0.000353928400780377,0.000312777788412759,0.000311772750110321,0.000342813025537828,0.000801026556960234,0.000892475271744609,0.000874104296540152,0.00136686586306987,0.00179179946186725,0.00108753402976419,0.000993468320521143,0.00102001357961654,0.000936230410292253,0.000860371434258587,0.000829812698760352,0.000804705337241526,0.000836572982278556,0.000825525353305037,0.000825085283493503,0.000830005283902763,0.000762464902949818
