Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.0119738280360949,0.0109565933726693,0.0101756935587692,0.00974538681989563,0.00943041059683769,0.00916584070079501,0.0087959725059652,0.00856782858930896,0.00840525489434748,0.00721863125455631,0.00656880361091022,0.00629023428239132,0.00578970923385456,0.00546993439855113,0.00529854814966337,0.00506500745365906,0.0049354763641191,0.0048069590201594,0.00461567243232348,0.00427157606426085,0.00390980370555294,0.00374611246886765,0.00353501635522585,0.00344318371983897,0.00327788786994031,0.00322745100326577,0.00331114768668897,0.00325620686570153,0.00313071651110652,0.002805074979568,0.00254430178108793,0.00236313006066594,0.00235055310205006,0.00217365140933726,0.00204536509284618,0.00201634971936082,0.00202039085004449,0.00198807249984452,0.00167990927989648,0.00186123737364151,0.00196997894427979,0.00827408483134433,0.00584014664085983,0.0047748224440939,0.00408536401218049,0.0035643627527408,0.00341554690252105,0.00318912562220822,0.00344655768708984,0.00339774321937582,0.00302920457307861,0.00299550532267323,0.00305220697658172,0.00322623893350729,0.00244587446519373,0.00238480178935487,0.00247589311973991
"Albania",0.00193933829948652,0.001835602893713,0.00178204264977757,0.00176623692194456,0.00179410889633437,0.00174668000860323,0.00175063670072146,0.0017245103463268,0.00166258490335752,0.00156856583692093,0.00155363375383634,0.0015591719300472,0.00153038134241667,0.00147713676041311,0.00144985339099601,0.00147168149344709,0.00146949323569732,0.00151778300051935,0.00150073978848679,0.00125014405713233,0.00111653205170906,0.00105586336161932,0.000986173360806045,0.000974698328284659,0.000866009856180259,0.000841064327778013,0.000777301208929959,0.000773046161720025,0.000756402155702217,0.00072479012025055,0.00047839414869249,0.000399265614726268,0.000456781831836679,0.000442531402503602,0.000394936706262463,0.000330888608750063,0.000325343891692495,0.000340771574505859,0.000273943376353022,0.000307666656577344,0.000287216506490141,0.000316250128937675,0.000578595274178478,0.000380017574634858,0.00237615800423969,0.00110159421629457,0.000999945544313917,0.000861846419579436,0.000729472039896496,0.000650888577469911,0.00060618662195124,0.000523217726396051,0.000487342765804216,0.000447289170290034,0.000412275999183716,0.000404163814444788,0.000362747413353438
"Algeria",0.00729492369882132,0.00559244178844228,0.00447349335408958,0.00364081778047158,0.00317913619068892,0.00247278141896375,0.00243524761418938,0.00226486871318095,0.00201067208705672,0.00577540262415332,0.00725860256011142,0.00848597257459195,0.00883173807518115,0.00884438979510319,0.00876067242625071,0.00892214867354781,0.00846308447105705,0.00833145737444485,0.00820028644319838,0.00592230129775578,0.00450437719200861,0.00370787226344634,0.00318545773406064,0.0030896909692444,0.00296386384682249,0.0027830487311771,0.00267485657010917,0.00233422071278741,0.00243968507570558,0.00390170000373387,0.00516142350528412,0.00576156132066858,0.00518534857236358,0.00449018228001688,0.00618892615314127,0.00704613287359272,0.0048259440501045,0.00737043557015929,0.00567117329428517,0.00285887501496723,0.00469977798871176,0.00419223988865588,0.00503690531514003,0.00575752370770855,0.00392273748630912,0.00335766551975317,0.00385279473638743,0.00249157842188708,0.00244833998320889,0.0021367314850447,0.00282955614654643,0.00227317241135884,0.00215823736538276,0.00284233549238768,0.00249128831856349,0.00260563299915789,0.00253139041693104
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0453415714947661,0.0396246453921395,0.0385131354751645,0.0380309176295174,0.0354879888049126,0.0350162079503292,0.0354628810010934,0.0360467958404026,0.0377576952425324,0.0334365270605042,0.0329066543021201,0.0330633456379282,0.0344482322135943,0.0344753979395007,0.0381806845395022,0.0418427352711727,0.0410644758661361,0.0407405954754014,0.0407608696905085,0.0417107399867361,0.0424165439335129,0.0409110112787124,0.0398838177685459,0.0386415558567769,0.0376389658843782,0.0441648770907959,0.0453416032274332,0.0474230805419308,0.0466203661061269,0.0417108779065258,0.0423211142212604,0.043774805435989,0.0472897641314345,0.0394871678855429,0.0331710774866619,0.0355800975605861,0.0345167584107998,0.0341776655464034,0.0355150873322448,0.0337916591250112,0.0379376548369752,0.0487462894609725,0.0363810351976524,0.0381619829346367,0.0360705929881486,0.0417470553653912,0.0340142256748575,0.0540472455800536,0.0527438709341095,0.0745997982944023,0.070131093849656,0.047712617636478,0.0758204243013143,0.0923209962533884,0.0899557677968669,0.103734671870298,0.115652422489952
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,4.04111005865129e-09,2.65133175014308e-09,9.75445697584364e-09,1.23700464925328e-08,1.53272779024e-07,1.22477042124634e-07,7.20020217115719e-07,3.07031701840315e-07,6.43728076346783e-07,1.22782296547021e-06,9.05182188952169e-07,7.6048320108299e-07,7.60754500104456e-07,1.60600377217658e-06,8.12748738663416e-07,1.31981918211512e-06,1.87239678235113e-06,2.88495116120798e-06,1.25892178016585e-06,3.00184533740696e-07,3.29984576440717e-07,3.88708884732811e-07,4.348981809002e-07,4.76976333429965e-07,2.27596784558098e-07,2.17909969302626e-07,1.62664638682518e-07,1.30356625671393e-07,1.07365584463001e-07,9.06681312811117e-08,8.14793809972187e-08,6.95427627327568e-08,6.12874351082526e-08,5.31330904361224e-08,5.01037803345415e-08,4.93373649815871e-08,4.59854826820777e-08,4.61263237853742e-08,4.5300490856422e-08,5.08832774198927e-08,4.88228884114684e-08,4.46722555882411e-08,4.42481479804906e-08,3.41685305781196e-08,2.79003750844046e-08,2.82469450346797e-08,2.57942714948782e-08,2.46334873134132e-08,2.33678585166599e-08,2.23246091825929e-08,2.37181488566657e-08,2.12819914873628e-08
"Argentina",0.0611358891043918,0.0654104815854044,0.0763515697653011,0.0831614938952006,0.0824989888524262,0.0893765263979436,0.0963165109828831,0.0984100700405827,0.0957326287662377,0.0631025346882112,0.0497260640215266,0.0429078547746013,0.0348254832441411,0.0315518658229762,0.0296379044882218,0.026368691433071,0.0211105193007278,0.0197930000826143,0.0190579215198835,0.0184072884573388,0.0207819516417299,0.0204797115973511,0.0188753000075267,0.0176684572285982,0.0165925447700393,0.0154846143333321,0.015302623806596,0.0136096114662862,0.0137230996938204,0.015265721599318,0.0177542835473677,0.0183794113786747,0.0190299782169302,0.0196724897813668,0.0204480326836313,0.0195843650634419,0.024135971575085,0.0221592206219092,0.0205134076662716,0.0203975721285592,0.0197970388116713,0.0379510267224956,0.0469373807410138,0.0298630668356988,0.0699246414433817,0.0678047155721399,0.0472705498065335,0.037670119722846,0.130571169220927,0.0862646447688114,0.0937629254390117,0.125271164099754,0.117307644153704,0.103356092146969,0.134068280355689,0.0870300760111189,0.158400929896303
"Armenia",0.000745101890133637,0.000647083801916896,0.000561779962082306,0.000483658908686144,0.00041139016956345,0.000388746510175554,0.000337141112056745,0.00030728578393069,0.000272008304623725,0.000249358935359356,0.000239939957856246,0.00021769590880265,0.000219912770441981,0.000203331942416237,0.000193915857876282,0.000194141771671893,0.000180131278434034,0.000194945428409691,0.000161500352325903,0.000169884910902535,0.000150011876261911,0.000155716004115164,0.000151389033348436,0.000139312271167429,0.000148082773536175,0.000139456827018534,0.000139872024176655,0.000138993882620134,0.000132954697654902,0.00012564629786522,0.000107600099023265,0.000102864162705918,0.000133953002660852,0.000106948442745482,9.30456139081022e-05,0.000105399728411949,0.000123865677256782,0.00011968847233725,0.000104533359474612,0.000265454272587112,0.000178709264228408,0.000305439777829723,0.000522209631831167,0.000332152636559393,0.000268872256291652,0.000272932054219991,0.000233517304087438,0.000427858692798072,0.000270503137335615,0.000242200550760403,0.000239624412506989,0.00021695678698312,0.000219880079854525,0.000256672433895432,0.000240280925178545,0.000298965478108259,0.00018132387578946
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0.18974527937777,0.195148764090352,0.184984510675113,0.191467577562878,0.189907417204637,0.192239393112181,0.200969804640422,0.205545064054698,0.183336535648523,0.118764607653695,0.101154786074855,0.094794648295197,0.0897665960885425,0.079702712507204,0.0728142628627614,0.0731029274077788,0.0698137674796551,0.0641126769101783,0.0636068032615843,0.0683021639190484,0.0703983257799332,0.0697583421243975,0.0701715352732795,0.0671644371988747,0.0666637750451008,0.0644038923399396,0.0561433626169178,0.0468016607340868,0.0453660670467788,0.0308001387182287,0.0248100812423678,0.0196029095157054,0.0165410599678127,0.0174584070329091,0.0145150712297512,0.0171183202680462,0.0137043726108767,0.012400275728466,0.0117335040248132,0.0828261399645453,0.0450323235883128,0.0285006559841643,0.0387476066424531,0.0642362157369576,0.0342495743932656,0.0223286658003168,0.0185396549474854,0.0696118545422904,0.0546319322961311,0.123536513328962,0.0807692939699276,0.0968323665433155,0.100284403632497,0.107243222339384,0.066555442699046,0.0636581908398459,0.0453603610360162
"Austria",0.000495576677910564,0.000490095023619763,0.000453344103307936,0.000444321342067561,0.000444475185624697,0.000443777576293082,0.000452991845771351,0.000460137013940845,0.000533952079155059,0.000488326547688957,0.000531941315787628,0.000515933328442818,0.000544165902385958,0.000516266087836327,0.000488154188389452,0.000507606370483106,0.000541780194820348,0.000593306319138578,0.000590463014050559,0.000615638105623982,0.000604227263474191,0.00060037820953342,0.000665694447700835,0.000666595336353362,0.000710315591373296,0.000658021649469783,0.000653493068846984,0.000634239356809718,0.000557674614527619,0.000579597754700578,0.000551954278463935,0.000453480742882391,0.000485458408261613,0.000452620777262852,0.00048992468553531,0.000537889715678377,0.000525975166814686,0.000502707914330336,0.000531854746186799,0.000546616736761546,0.000541324165612562,0.00073980081138834,0.000945332412041722,0.0005697213128997,0.000550836508908633,0.000491958914158934,0.000510833711413306,0.000531570862098182,0.000496647426146505,0.000481821986692365,0.000512229792459355,0.000554852189610608,0.000487294912727085,0.000557840978821726,0.000529757337424138,0.000567609162854418,0.000522291188858925
"Azerbaijan",0.00331299521951028,0.00268701423402362,0.00217286491959241,0.00181097890151303,0.00152062457555563,0.00141260062539062,0.00122654508578269,0.0010979437180615,0.000936678009888522,0.000868386425821565,0.000805023975960545,0.000681326973755762,0.000692313314272319,0.000610674779249208,0.000578089139873003,0.000565385623630396,0.000518721454703959,0.000535563953737602,0.000444337625328901,0.000489697272852075,0.000448747916953025,0.000454021988916773,0.000418604039119509,0.00040851088413091,0.000409608789456704,0.000380641140687547,0.000373875293311731,0.000376348126143742,0.000380774662890924,0.000339172586730485,0.000306420525111276,0.000552823839572297,0.000505895860180354,0.000466241446544012,0.000442986566525313,0.000390265561871704,0.000408683807940668,0.000366532072722356,0.000365015521958554,0.000585655643881286,0.000572019624422663,0.000687508514461253,0.000655732380666318,0.000876522068096328,0.000634848649831153,0.0011122694588414,0.00094847564637743,0.00123774200321839,0.00146794376881567,0.00104764537737829,0.00137849460842769,0.00139740257579904,0.0018307473901233,0.00201761963922591,0.00146728791469824,0.00191002592108181,0.0018362437007143
