Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",5.61616115859325e-06,4.4014034212024e-06,3.79354376060239e-06,3.938750099554e-06,3.05409994110903e-06,4.64294505948746e-06,5.58962364686688e-06,8.48046195316916e-06,6.23346034112322e-06,4.50416435150591e-06,6.43507890620954e-06,6.09053076997096e-06,6.91407327918676e-06,5.91886218790788e-06,5.78819707654972e-06,6.23708252586034e-06,6.69626933531604e-06,6.08353425844595e-06,5.98393447453006e-06,6.5908859928971e-06,6.40387844725229e-06,6.10342012245482e-06,6.65025173034817e-06,7.10168831043794e-06,7.73505291832417e-06,7.97693131834238e-06,7.34261792557574e-06,6.68934586793767e-06,5.6521136931994e-06,4.84274420288208e-06,4.5528381722005e-06,4.45439297996843e-06,4.21963155097274e-06,2.96051922619371e-06,4.84161746402692e-06,5.79520674788037e-06,5.14567021887482e-06,5.28611157146312e-06,4.85899807058126e-06,5.79220881676361e-06,5.11020293700605e-06,1.93247709470312e-05,1.29899260801017e-05,1.3069079395054e-05,1.08629340872268e-05,8.0763124459332e-06,4.7327567784575e-06,7.66148817283038e-06,7.32979215342532e-06,2.03415317045015e-05,1.64763338358249e-05,1.62848074062805e-05,1.11126079118892e-05,7.44966714241841e-06,1.17916649632127e-05,1.16220396004998e-05,1.21683586748265e-05
"Albania",1.44818757294869e-05,1.41097416240264e-05,1.33533604364387e-05,1.49720477386649e-05,1.48264835694359e-05,1.67269963543798e-05,1.56122643463733e-05,1.50963325497078e-05,1.60569507192281e-05,1.70361209511137e-05,1.68362204585772e-05,1.71973239375425e-05,1.77271103408676e-05,1.7635428649465e-05,1.90178664553328e-05,1.96707808802329e-05,2.01938142286319e-05,2.01143268194544e-05,2.01681023155128e-05,1.96755308044732e-05,1.93874660797794e-05,1.89276286052783e-05,1.9511616294607e-05,1.90525412958049e-05,1.87850183819786e-05,1.72242669929752e-05,2.03379003547691e-05,1.86825854979038e-05,1.98862558382532e-05,1.8382046017469e-05,1.45036722766409e-05,6.42885128369287e-06,6.79013506657691e-06,5.86404257661366e-06,6.50633339138185e-06,7.61507397468661e-06,9.59417926298811e-06,1.00488163600457e-05,1.03905829224177e-05,8.70411117181459e-06,1.09013160246923e-05,1.07086416732071e-05,1.21640078237996e-05,9.70539940458908e-06,1.24390929660804e-05,8.15554373715345e-06,6.25124105191321e-05,4.25431009999299e-05,2.67267506280327e-05,1.77815739532742e-05,2.90528366752952e-05,3.26926531624123e-05,3.37610431403386e-05,3.59804137229895e-05,4.31724475475086e-05,3.52729377688291e-05,4.00146760411222e-05
"Algeria",4.42890509913733e-05,4.46369250532885e-05,4.22182158489418e-05,3.82794389199752e-05,3.92467510213945e-05,3.88804648348333e-05,4.12580199562805e-05,4.1266063558401e-05,4.38968965350611e-05,5.19462874638421e-05,6.3561657649628e-05,6.06445872549649e-05,6.48571856662324e-05,6.85600465340622e-05,7.73848975568973e-05,7.88427437336492e-05,8.77964146025397e-05,0.000105945904475705,0.000121771387262808,0.000108228680907496,0.000125829779905509,0.000141123140375338,0.00018281982982038,0.000228134219087209,0.00025568943750629,0.000259150373082147,0.000267437621103232,0.000268124812933281,0.000275669669379522,0.000287778293434282,0.00031667620372163,0.000273018621590108,0.000278269405076756,0.000339550192429243,0.000417353086234226,0.00033154667705993,0.000344657807330207,0.000500853143400423,0.00044310478314745,0.000489866899661547,0.000542030302371783,0.000543890518775026,0.000581768198735428,0.000609747665241175,0.000565614025904978,0.000551806967318953,0.000553416819096058,0.000530429251734903,0.000528414861872134,0.000545103993847924,0.000604870830816268,0.000609833153035006,0.000578772259540925,0.000611149452106646,0.000617390064517634,0.00062745467432083,0.000612998678004158
"American Samoa",2.894e-07,2.894e-07,2.894e-07,2.894e-07,2.894e-07,2.528e-07,1.864e-07,1.498e-07,1.43e-07,1.43e-07,1.43e-07,1.43e-07,1.464e-07,1.396e-07,1.098e-07,1.064e-07,1.064e-07,1.03e-07,7.32e-08,4e-08,4e-08,4e-08,7.32e-08,1.03e-07,1.03e-07,1.03e-07,1.064e-07,1.064e-07,1.064e-07,1.064e-07,1.064e-07,1.064e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07,1.098e-07
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.000573208484774165,0.000474109167509403,0.000406013923652531,0.000354683782006521,0.000312341987694174,0.000314922240358815,0.000301011772011427,0.000298583649552513,0.000292549824005861,0.000324995478710068,0.000315745864369744,0.000300935963974025,0.00028548381261419,0.000275858367899183,0.000252605093261672,0.000263021779019148,0.000252136615705942,0.00024005870423913,0.00022522885642721,0.000236423910603382,0.000238043067759634,0.000235558234450696,0.000233937436821466,0.000231258152343702,0.000228059921636722,0.000220209169986048,0.000219863180971078,0.000217077274020483,0.0002151542953914,0.000217220206121892,0.000212445584458083,0.000210581254985047,0.00021439975349157,0.000217014142870994,0.000223352523967688,0.000208412285323011,0.000198626059852675,0.000210897864516969,0.000208535352735776,0.000398369890499469,0.00049532186416404,0.000571953180926731,0.000567500248415117,0.000486236510401297,0.000440370409041329,0.00053359392038451,0.000573704498058639,0.000956650892736251,0.00084923519469208,0.0012054496829331,0.00129625151232123,0.0017573128683563,0.00187112795201278,0.00190348308366375,0.00200105682989511,0.00217497805609749,0.0023678135063236
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",2.15343758748542e-07,2.89132072466336e-07,3.07842995085555e-07,2.941596815887e-07,3.08963119255234e-07,3.18931991836563e-07,3.40282479707501e-07,3.48199269503158e-07,3.48029522226005e-07,2.6242777420281e-07,2.60688730357748e-07,2.4720308218129e-07,2.33477340773858e-07,2.29374149002096e-07,2.26574609214143e-07,2.16512753304594e-07,2.11994629573407e-07,1.96021997084343e-07,1.92961246301489e-07,2.91339800150626e-07,3.23387618861507e-07,3.50382308104722e-07,3.44325628547951e-07,3.8223152556812e-07,3.99335620031014e-07,4.19192893795418e-07,4.23925120971533e-07,4.28145541584769e-07,4.57841136778971e-07,3.73602829059147e-07,3.06351304521296e-07,2.88127244105245e-07,2.73494122741973e-07,2.61374689738512e-07,2.53898268440889e-07,2.55588624566524e-07,2.85627780692101e-07,2.79126799697855e-07,3.07677292775292e-07,2.83048559013432e-07,2.77586723109873e-07,2.72886762264794e-07,3.34881658919287e-07,2.99326176963119e-07,3.32220246701168e-07,2.93640639418975e-07,3.20779398164339e-07,3.18204426703946e-07,3.2616659962114e-07,3.28688669440231e-07,3.79736211134237e-07,3.81107580983507e-07,3.84777442881528e-07,3.87778206274956e-07,3.89598333924064e-07,4.53217541433264e-07,4.53475062094608e-07
"Argentina",0.000167553526639599,0.000251081570276312,0.000277516695288687,0.000473019918661151,0.000546412351909214,0.000538364037788745,0.000550532162317789,0.000918221884614337,0.000939688754394201,0.00108403526865598,0.000893547426521488,0.000653334833648922,0.00066469858759604,0.00092601974693077,0.000722048012267037,0.000760372571933452,0.00079244647089015,0.000694657669422717,0.000603081162223982,0.000443189612739276,0.000579875564730275,0.000571281555490422,0.000655736895896635,0.000617570128754235,0.000616004078690397,0.00053947195537003,0.000505485019933782,0.000415019094213668,0.000358544196017986,0.00050216909498755,0.000563325025362773,0.000682902745690463,0.00077661252290698,0.000734913951912118,0.000738411399111931,0.000845012421669024,0.00092533286678167,0.00089254717835189,0.000873964399193158,0.000857831151257109,0.000799998805386401,0.000857426145574746,0.00101974482094607,0.00058606721504507,0.00138868104449245,0.00137698220352507,0.000971985139970305,0.000831112093918433,0.00208656639577843,0.00272469057503678,0.00283278871935146,0.00316731648301304,0.00337453311470974,0.00270169182537606,0.00269441737539647,0.000508874372035571,0.00164373727675971
"Armenia",2.3439321391679e-06,2.29287334788796e-06,2.22736822244191e-06,1.87906187982381e-06,1.9701131668662e-06,2.02658505768151e-06,2.04760631100685e-06,2.23908345972376e-06,2.43542046336714e-06,2.66236845050789e-06,2.73873648737483e-06,2.72419360466724e-06,2.8671985251735e-06,3.00483240287673e-06,3.11081800103023e-06,2.97792128439099e-06,3.43999687013484e-06,4.17891727271066e-06,4.48832606873065e-06,4.32962876102054e-06,4.57045533949132e-06,5.01962564069253e-06,5.2677180436394e-06,5.30281670527919e-06,5.8582122099965e-06,6.35098595432688e-06,5.93710587886039e-06,5.61861129927627e-06,5.78316368301155e-06,5.16809186048087e-06,4.73261348876645e-06,2.95813363174005e-05,3.72059517732301e-06,3.57524780549331e-06,3.61560677979071e-06,3.29591943066796e-06,3.00021280886521e-06,2.83956818573788e-06,3.36322605778649e-06,5.40645747565704e-06,1.67608076864377e-05,2.30793049392839e-05,2.39867816249139e-05,3.28370546093802e-05,4.6103344609561e-05,2.26579917023993e-05,1.852416800514e-05,2.25720149008556e-05,1.67527877107488e-05,1.47603888328269e-05,1.31309651104159e-05,1.77102242182922e-05,1.39963764403237e-05,1.48407275601945e-05,1.35742730055909e-05,1.23331315611135e-05,1.18047018963987e-05
