Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.00247663119368397,0.00236180120884961,0.00248156184655437,0.00242300168785495,0.00260438980637514,0.00278179842867918,0.00300629682655056,0.0030267439655367,0.003009970203938,0.0028639485427366,0.00274974456539146,0.00276882922345239,0.00280525598779974,0.00287250563392608,0.00288820428819103,0.00292163344142283,0.00273200321155909,0.00295788306426572,0.00295487125081907,0.00301724625354689,0.0030236048485054,0.0030001826685549,0.00315713212501691,0.00314208301003165,0.0026297783656564,0.00201952172238566,0.00208365108806509,0.00210569663912202,0.00210080233569952,0.00176810225556736,0.00252002376041275,0.00275557842332697,0.00287694531623197,0.00318764654449151,0.00368456479018017,0.00445949459494145,0.00497630599779895,0.00523838017843804,0.00599322300486808,0.0051241155209086,0.00416359741327253,0.0067405158507388,0.006701044367777,0.00605182594579875,0.00666874381730439,0.00685965217652342,0.00757922484329673,0.00829844586789299,0.00830234794698209,0.00967344144825385,0.00931615196324737,0.00995036331562286,0.00996914116332022,0.0100284484545491,0.00876255807148851,0.00893607476007913,0.00845074631510165
"Albania",0.00241944408841332,0.00225341990906716,0.00212493742463549,0.00206239400113116,0.00203357298488969,0.00193618489431426,0.00186239149364537,0.00169963858507629,0.00167514525560328,0.00159673797433814,0.00150874920134642,0.00144321178721807,0.0014345088657019,0.00145055303350495,0.0014261270789738,0.00141866055722963,0.00151083770424179,0.00157374876674637,0.0016055576850958,0.00161761062617367,0.00166857927477476,0.0016612700645608,0.00165485189450665,0.0016684059503094,0.00154876419748769,0.00161167957621947,0.00171261916306783,0.00184151991747713,0.00188636456721478,0.00190423794719181,0.00201602903499712,0.00208267010232101,0.00221566891716735,0.00287927408359996,0.00298827826289609,0.00309614617447604,0.00277600224497294,0.00272880642901096,0.00278331629538774,0.00282028427873229,0.00301498841233652,0.00278906179443533,0.00283498957834282,0.00274486589899733,0.00284440405317038,0.00260052832063443,0.00458267955020239,0.00380053574571266,0.00320528251915917,0.00289359936530069,0.00306773941478049,0.00286640898709289,0.00293471093188917,0.0029408476394551,0.00311896212844163,0.00293789915134688,0.00302466574067298
"Algeria",0.002004216937573,0.00149938471478678,0.00115030092087371,0.000996181636523917,0.000875197365520648,0.000827360558892428,0.000780093761881293,0.000762621607791216,0.00075597164120347,0.000889354286833117,0.000926257228677616,0.00105207127118473,0.000998009319132858,0.00107211186564707,0.00136511330094243,0.00147068674074027,0.00157191730568239,0.0016804074469051,0.00185587666168913,0.001775619895192,0.0016381114325967,0.00180783565422906,0.00167294858598343,0.00164164149063573,0.00177229823094899,0.00171299502608174,0.00166936425542706,0.00162279198531628,0.00179218508615693,0.00187787216026975,0.00172973094252322,0.00197651729109869,0.00184403642998215,0.00175259328490795,0.00182386316387714,0.00182569856056812,0.00159037106994321,0.00173254341541602,0.00195254215766336,0.00183013775711982,0.00223134585800686,0.00196669714671693,0.00203127212481544,0.0026172692277284,0.00230442216662232,0.00199683765109004,0.00197403130682819,0.00170459724407861,0.00199553218801864,0.00211503643869006,0.0022388485296968,0.00218122538173957,0.00238964891670916,0.00264497621335527,0.00258890268062436,0.00257775775553685,0.00257852992614564
"American Samoa",2.262e-07,2.262e-07,2.262e-07,2.228e-07,2.194e-07,2.126e-07,2.092e-07,2.092e-07,2.058e-07,1.99e-07,1.956e-07,1.922e-07,1.854e-07,1.854e-07,1.82e-07,1.752e-07,1.718e-07,1.718e-07,1.65e-07,1.616e-07,1.582e-07,1.25e-07,1.182e-07,1.182e-07,1.182e-07,1.182e-07,1.182e-07,1.182e-07,1.182e-07,1.182e-07,1.182e-07,1.182e-07,1.616e-07,1.616e-07,1.616e-07,1.616e-07,1.616e-07,1.616e-07,1.616e-07,1.616e-07,1.616e-07,1.616e-07,1.616e-07,1.182e-07,1.182e-07,1.182e-07,1.888e-07,1.65e-07,1.65e-07,1.65e-07,1.65e-07,1.65e-07,1.65e-07,1.65e-07,1.65e-07,1.65e-07,1.65e-07
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0182549964785513,0.0150803238844626,0.0130824528640338,0.0113713556214935,0.00975017103278458,0.00867484091632198,0.00778789558426463,0.00722273178538911,0.0066405576558596,0.00632469970674188,0.0059517051575822,0.00576546609272585,0.00554596744224414,0.00538246993466473,0.00498001527787537,0.00483810781001706,0.00470419266393846,0.00462198758787752,0.00453216462472362,0.00489071827364873,0.00496863199228236,0.00499660276718743,0.00502232887928018,0.00499830509021489,0.00498325813003554,0.00490093183229847,0.00473245524114343,0.00452294682760554,0.00432548746713586,0.00425878840667201,0.00410790955563393,0.00412256012550298,0.00404362401225062,0.00397305320568649,0.0037761106606814,0.00401106622822422,0.00407639988104945,0.00418286361175807,0.00375184523022695,0.00406554906513461,0.00351430160314966,0.00329928401937523,0.00359241942908633,0.00361060655480637,0.00346282244057077,0.00350698054648605,0.00336681434447585,0.00290397457249367,0.00248408102141134,0.00274306769226528,0.00246916220936855,0.00249177157885428,0.00285076083867837,0.00287470281824825,0.00348339529298512,0.003718077664895,0.00405172229485854
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",9.68843933614173e-06,1.0874549263178e-05,1.11139898983601e-05,1.25859206283706e-05,1.295701616929e-05,1.26353761314789e-05,1.347872201206e-05,1.4367387731244e-05,1.46320052578155e-05,1.26109670635806e-05,1.21656040399654e-05,1.17562433849139e-05,1.14415344043631e-05,1.06390262040537e-05,1.05788192964176e-05,1.07206507298731e-05,1.05331418350309e-05,1.31762438627232e-05,1.68169445687351e-05,2.1839217532056e-05,2.24403779751565e-05,2.36983621843841e-05,2.34241611359856e-05,2.38597306963576e-05,2.52615376015338e-05,2.53946599833505e-05,2.55090236074165e-05,2.56110184141851e-05,2.47832447803689e-05,2.15901677788224e-05,3.06234241619464e-05,2.99743459954094e-05,2.95353020200225e-05,2.9221197249223e-05,2.85090300523011e-05,1.86970711328345e-05,1.79700081536482e-05,1.75567624152275e-05,2.45485314247893e-05,2.35321813230231e-05,2.41233953096377e-05,2.43627808154781e-05,2.46581965931316e-05,2.51016512158993e-05,2.50721138176641e-05,2.51441390926768e-05,1.70390246268486e-05,1.7776392633255e-05,1.74039748224374e-05,9.95170275338571e-06,1.08235453312836e-05,1.08046801731326e-05,1.0495838214151e-05,1.08184731564333e-05,1.02498068803593e-05,1.05416757071894e-05,1.08615390269199e-05
"Argentina",0.00914814627655274,0.0088123935560127,0.00950412348311611,0.0100963845794495,0.00905652612897135,0.00945903525970581,0.00867685038006662,0.00937538839000785,0.0091068924687295,0.00793329355422229,0.008980003101011,0.00977347523468721,0.00950793458449809,0.00948120748284523,0.00997541431367779,0.0100307725073319,0.00900199283662482,0.00855758380547178,0.00944429951665201,0.010122178716262,0.010009505395534,0.00993052779554465,0.0098116499811031,0.00968388192390205,0.00952745982108434,0.0094798359335145,0.00933376236153556,0.00909777211952795,0.00844816215279671,0.00804517866599798,0.00778292983193768,0.00710573202585109,0.00739210100556471,0.00771865723282987,0.00789914887263175,0.00783829653558235,0.00820438488839107,0.00854033640196961,0.00841155176176408,0.00822065337438536,0.00831124551505898,0.00737950755102679,0.00680089760114853,0.0063188843210768,0.00688336037116538,0.00762441243165853,0.00682449039168171,0.00661565922368861,0.00672833583226683,0.00696380077634389,0.0071106446297739,0.00737629308183822,0.00737070071424268,0.00660065241908363,0.0113838410555055,0.00780655177780339,0.00998126398213039
"Armenia",0.00161555556057238,0.00163178473752348,0.00164267152712133,0.00169287763755086,0.00166463770096601,0.00166066960919536,0.00166321311449721,0.00166117310548922,0.00166038394450154,0.00158311507476034,0.00157154984188211,0.00156932193501307,0.00159043905647104,0.00160707801212411,0.00159362227952543,0.00162182995494833,0.00161147551636653,0.00160860933978475,0.00161707717901996,0.00159706814608242,0.00158493817809705,0.00158905618179192,0.00159358105286936,0.00157842723511451,0.00156977136618754,0.0015462540594173,0.00152822856079069,0.00149781949134497,0.00148035667131335,0.00144950440273825,0.00143149073203223,0.000682184327151852,0.000675919458968722,0.000676959099232174,0.000674271311663815,0.000663529898145988,0.000642023046981341,0.000584174465876882,0.000574249502437239,0.000585387343040366,0.00138790268574644,0.00140058245539588,0.00139006497783733,0.00216973446728749,0.00304654619463554,0.00163072896963876,0.00143412901301701,0.00150748296710417,0.00134208068929944,0.00122938204648042,0.00115961605082914,0.00116072480839701,0.00114608403386461,0.00110152585708136,0.00107844290079944,0.00107096427769857,0.000975019415832389
