Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0035274043383004,0.00309798342879318,0.00305188603424079,0.00301793928359246,0.0030040034917656,0.00293556144105726,0.00289157596214334,0.00284592941841196,0.00270465995651154,0.00272335368362532,0.00258700518446909,0.00306170904797944,0.00194917061957742,0.0024210670313107,0.00163071941854752,0.00120156553732082,0.000857940539246612,0.000853213830107484,0.000571745616096699,0.000265272136466727,0.000241070106891829,0.00029120630736824,0.000171280111228754,9.49225169626876e-05,9.29484727321346e-05,8.31799611697961e-05,8.03483504005706e-05,7.98672855080464e-05,8.04375259424405e-05,0.000101066627051591,8.04302306349897e-05,5.75654252628489e-05,5.20867489639601e-05,5.326647634867e-05,5.36329266741308e-05,6.00901272247143e-05,6.51281778479436e-05,6.59132517042791e-05,5.06488268879293e-05,5.50120049447099e-05,5.2808801018382e-05,5.93596307752557e-05,4.67499168667349e-05,3.7824040943488e-05,3.50757865252742e-05,3.97821768304158e-05,3.29265255861677e-05,7.64625832179551e-05,4.92382755196064e-05,7.6975542047021e-05,6.05113653409984e-05,0.000103949246328039,7.18481335765829e-05,8.58995726818088e-05,8.15882399615233e-05,7.63636745269678e-05,6.9858352241478e-05
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",4.20135566811946e-05,6.60564564111142e-05,4.57736187335866e-05,3.54358275490337e-05,4.54166862697149e-05,4.54520863716637e-05,4.35166969118633e-05,5.27297655474884e-05,7.52811226131139e-05,5.09836270236181e-05,3.40324522942264e-05,3.16020101013766e-05,2.20430236485837e-05,2.12046527315221e-05,1.71393605722876e-05,1.45378635538764e-05,1.39303243492249e-05,1.04543801917874e-05,1.04989876285055e-05,1.03586518638835e-05,6.28620677976145e-06,5.21313656108932e-06,5.18400747710254e-06,5.12257866194908e-06,5.03083178114327e-06,4.95860183176959e-06,5.24744631467511e-06,5.27017626906713e-06,5.3914548345836e-06,6.38476154294694e-06,7.27406656972142e-06,8.23097683495462e-06,9.501643286768e-06,9.35648464613684e-06,8.83709257034339e-06,8.85177777175913e-06,7.38935964139165e-06,7.45778171314207e-06,7.07961118732307e-06,6.26420291766114e-06,6.27561678638224e-06,1.42873200395198e-05,1.96854274515696e-05,1.17296702842288e-05,2.86350127699985e-05,3.29853096591322e-05,1.9623442339655e-05,1.35230383309083e-05,7.36037105315166e-05,4.90646337694378e-05,4.04295042324703e-05,5.24179197836959e-05,5.32744145446166e-05,4.57784055237975e-05,5.10174055439344e-05,3.27042964261908e-05,5.0040106059035e-05
"Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",3.84353136572038e-05,4.60889574255508e-05,3.45455666626338e-05,2.82990462993977e-05,2.10201353704288e-05,1.82424897711799e-05,1.7842968545842e-05,2.28852307988143e-05,1.6845278286529e-05,1.44836988428554e-05,5.49212761754309e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Austria",5.86553672457359e-08,4.53879718844285e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63908545391991e-10,3.04116625661097e-10,2.39119046557402e-10,3.67830204844374e-07,1.35254081443135e-06,2.19675128942955e-06,1.78688944248282e-06,1.40317120508657e-06,1.1484989861672e-06,7.34242364982808e-07,3.76686130446528e-07,6.33767987602796e-07,2.84380308339861e-07,2.26651811961371e-07,3.91137640363048e-07,2.2307933730074e-07,1.38247751856079e-07,1.75378574715083e-07,2.62281583039372e-07,2.27384494119507e-07,2.85784240602435e-07,2.2086067673708e-07,3.5130411504645e-07,3.64440264103209e-07,2.93703695873357e-07,3.14274503291381e-07
"Azerbaijan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bangladesh",0.00570100556269455,0.00468063455781554,0.00441636493564292,0.00419787332675124,0.00527049333909065,0.00505799279880706,0.00514183878617099,0.00456685825259653,0.00456456864724189,0.00429131152108695,0.00340760101609936,0.00414460608955757,0.00395075929574782,0.00262207004516515,0.0021804301588332,0.00277544752988316,0.00303265963251482,0.00336212277387556,0.00300325147081249,0.00246051010344365,0.0021591441578364,0.0021719293808211,0.00230660027965173,0.00255230126709342,0.00331489417152397,0.00373147891972946,0.00282888706206793,0.00191676278791602,0.00197652034673792,0.00201794691429727,0.00211670632407511,0.00212635808459479,0.00177230157767921,0.00210562417037272,0.00175305554175487,0.00189337973726984,0.00209851581929173,0.00176673321739793,0.00145066614978905,0.00158342966420947,0.0017284911986563,0.00163199781479949,0.00152938270987891,0.00151498880685069,0.00149992612065027,0.00155317390347976,0.0015914161152832,0.00153177986149799,0.00151752789973586,0.00145283496461765,0.00225715772546156,0.00238068037498586,0.00214423472571818,0.00201326524891213,0.00200653614415044,0.00201137054706115,0.00211822737976769
"Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belarus",0.00112392607311802,0.00109436050188211,0.000944746112394689,0.000906111427315759,0.000850853998990855,0.000823559003962803,0.000790207767549942,0.000739919595207244,0.000747529255066982,0.000715225599757298,0.000697953020327527,0.000675993006772525,0.000649538091503989,0.000577255879568877,0.000595101101876777,0.000563629956358387,0.000567812319727921,0.000532751219689256,0.000472973489846527,0.000460571218639184,0.00039393675819157,0.000402531654841241,0.000405444039218613,0.000394161906420481,0.00036865579920004,0.000349027739725464,0.000345526974190578,0.000314044044280722,0.000283605056648751,0.000235026261776399,0.000209303470826422,8.29906723567536e-05,6.21874487081266e-05,5.27134895558214e-05,5.94777629468063e-05,4.73059280367136e-05,4.03836252512316e-05,4.18592861790805e-05,4.06044864787e-05,4.18645720316206e-05,3.8284424605528e-05,3.34289725757631e-05,3.65495535170175e-05,0.000189295322014981,9.82576826267559e-05,6.51396355431925e-05,5.84408352273479e-05,0.000100381701125605,6.24129907873072e-05,5.78154369521257e-05,5.32188433891871e-05,8.60908208799867e-05,6.15001146149198e-05,5.78134112348982e-05,4.97993884450167e-05,6.90503356477435e-05,7.21559746313084e-05
"Belgium-Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Belgium",3.33869591755541e-06,5.37151918057799e-06,6.19416900590903e-06,4.87210308486515e-06,4.44757278463347e-06,3.8963538941866e-06,2.14667931275942e-06,2.19937638087028e-06,2.48683283861356e-06,1.05857140993243e-06,1.69809028587328e-06,1.21908521636123e-06,9.11805609919606e-07,1.30852961637661e-06,1.21440112955203e-06,1.17281557382217e-06,1.48955146986582e-06,1.1853200083587e-06,1.02342390539039e-06,1.90517819574198e-06,2.02801256856351e-06,2.73097204797213e-06,3.10496939256885e-06,4.33850744011503e-06,5.12404955315881e-06,3.90810976034689e-06,5.4684152384332e-06,6.01409907427935e-06,6.44601355074453e-06,3.20930793488182e-05,3.63608177604313e-05,3.13978881445611e-05,4.66253354073855e-05,6.36318067495021e-05,6.78361253689857e-05,7.42338841691406e-05,7.91331253403996e-05,7.51103490410466e-05,8.96722819164282e-05,6.32061985226952e-05,6.95193673726449e-05,6.37296089073127e-05,0.000103024710457303,8.00471381132648e-05,5.97457964941205e-05,4.42435662713071e-05,5.00625730618668e-05,3.11066125529407e-05,2.58931428675733e-05,2.70817753668711e-05,2.30446280744886e-05,2.17752754425106e-05,2.02322699876377e-05,2.09343474290935e-05,2.35333113854868e-05,2.55866673004898e-05,2.1180045711842e-05
"Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bhutan",0,0,0,0,0,0,2.89380899798315e-07,3.09862679672326e-07,3.01518032979978e-07,4.57062813436642e-07,4.51133164904964e-07,4.44001930435516e-07,4.35297120933487e-07,4.26714123625371e-07,5.03133305013386e-07,4.91395924787745e-07,5.35987356346607e-07,5.22681489672651e-07,5.0636614206981e-07,4.65603175628788e-07,6.68815542081751e-07,6.43177948061723e-07,6.08324621966322e-07,5.71991139034684e-07,9.78518267142315e-07,1.16496379494273e-06,1.42738549471707e-06,2.13672326371327e-06,2.10082583935889e-06,2.28740199661714e-06,1.96692524743111e-06,2.0044355462548e-06,1.91674011962231e-06,2.02862975646678e-06,1.86953583832745e-06,1.85120188419681e-06,1.8620903974022e-06,1.88195860310047e-06,1.90271159220265e-06,2.18618173396827e-06,1.87486908927733e-06,2.15358717964218e-06,2.59646535198453e-06,2.65230180120598e-06,1.52469404804885e-06,1.4095832540461e-06,1.09707732022172e-06,1.89843989678203e-06,2.7255087905465e-06,2.39420075353723e-06,1.38674597489917e-06,2.03711069634086e-06,1.92082905697906e-06,1.85262472775452e-06,2.15826147071777e-06,1.97428591791123e-06,1.8682754014483e-06
"Bolivia (Plurinational State of)",1.97588590834756e-09,2.21599748780749e-09,1.71825155391063e-09,2.2728255301049e-09,2.81487359542595e-09,2.18863625870413e-09,1.01956941277053e-08,3.18938490937464e-09,6.39033408359671e-09,3.40965235412026e-09,1.44564726487472e-08,1.7226098213698e-08,7.37575351755916e-09,1.19825257586204e-08,5.02863396446359e-09,4.38638784062331e-09,9.17244108401576e-09,7.60170053708848e-09,8.28519421813015e-09,7.40487271301351e-09,1.34352920559817e-08,6.682465788337e-09,2.0954344117947e-08,1.40871099126507e-08,1.29004368752405e-08,1.24990687286267e-08,1.76109330958282e-08,2.3088187716042e-08,3.89540917248337e-08,1.48156041151808e-08,2.55604652123587e-08,4.58722534417533e-08,1.981284630138e-08,3.19525879047525e-08,1.99638628087654e-08,3.07106629269635e-08,3.95636065866243e-08,1.04277136832274e-08,7.13234592203878e-09,2.53945626354315e-08,4.09451422430505e-08,4.23106468485314e-08,4.23696799120634e-08,4.06605534239495e-08,7.67777134126569e-08,5.07716385586574e-08,6.97734195775782e-08,8.25886669891724e-08,7.83652420776207e-08,1.21524284205839e-07,1.40286947147495e-07,1.36058511746384e-07,1.47394670097008e-07,1.40836053098413e-07,1.34063538164659e-07,1.18500755184414e-07,8.42575010279812e-08
"Bosnia and Herzegovina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Botswana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brazil",0.00801969861347587,0.00838365744284738,0.00899991066369037,0.0107233325089766,0.0115387791004782,0.0116737621767245,0.0107980251496408,0.0107512668871995,0.0105007409556825,0.00946924775697154,0.00821687548548058,0.00923530691397124,0.00882022976198246,0.00786582516636912,0.00907372404594832,0.00840266484760892,0.00798829692716021,0.0070459923960178,0.00726171915657418,0.00664854895914024,0.00720931398934613,0.00667823161608507,0.00676497656577932,0.00659204284493403,0.00711671696712394,0.00672640107298187,0.00631617224975602,0.00572063505524917,0.00541330686460651,0.00543335439268486,0.00586726258992857,0.00508702745808566,0.00413675806195556,0.00358251164506215,0.00335174442273403,0.00356046905746511,0.00376540188010679,0.00413136947355458,0.00438133649924712,0.00662604849887337,0.00794780962489377,0.00823784041548839,0.00849686566278393,0.00842657079903878,0.00897807842878966,0.0101543895912158,0.0103830075445193,0.0101271831567302,0.0101640709959137,0.0092602065324034,0.00709731099431629,0.00816053658563468,0.00744755212991149,0.00477188261769077,0.0061770266031998,0.00669960605436974,0.00412496291221808
"British Virgin Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
