Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.000299466598388745,0.000260840775371477,0.000239546698976405,0.000236223575768018,0.000237665114331661,0.000249736679600679,0.000299800857835128,0.000307442438827116,0.000298807670730793,0.000245381292269569,0.000202522979236107,0.000166920851246329,0.000177083325547134,0.000169828758226627,0.000161640149408093,0.000153225558875208,0.000149426601540227,0.000146170093383919,0.000141587876501885,0.000142160325096499,0.000126647298054303,0.000129964544034992,0.000124593815425438,0.000132948291915448,0.000131199973495135,0.000123160125097713,0.000109514106648384,0.00011642778708641,0.000118858545000179,0.000102787011108403,8.74967689861333e-05,7.74883367948409e-05,6.55787193558312e-05,3.07944175830666e-05,2.94969041187532e-05,3.08112094711792e-05,2.8753271946122e-05,2.77751136561063e-05,2.72440217977302e-05,4.30486957863463e-05,6.73540501389452e-05,0.000337293003298432,0.000163930896013714,0.000131399028699057,9.80529972174971e-05,9.21246308422177e-05,8.0309391051489e-05,8.17834560417927e-05,7.06551962214043e-05,7.34158289951091e-05,7.31523104600885e-05,5.96082454804463e-05,7.12183509683854e-05,0.000104038456660861,7.06447961172571e-05,0.000123373507348267,0.000218985499233215
"Albania",6.28673778791527e-05,6.73982274603683e-05,7.45109931374797e-05,7.14598766360394e-05,7.59715584150234e-05,7.44213136257973e-05,7.34868296441837e-05,8.16898391099841e-05,7.99989283736228e-05,7.57783906436971e-05,7.68498436536302e-05,7.27356418525817e-05,7.40848657484889e-05,7.84470555852035e-05,8.33051103944133e-05,8.47668580111798e-05,8.69506576011663e-05,0.000102692005915395,9.74740832434861e-05,8.68524320466411e-05,8.33318046099086e-05,8.3372457440266e-05,7.97790873571653e-05,7.70890815617337e-05,0.000128056350565356,0.000117893482234479,0.000109365513039685,0.000109717030842724,0.000110674259264634,8.34225206895535e-05,6.08466000374806e-05,3.41313219777067e-05,3.0426153136782e-05,2.59776857943955e-05,2.5151217107221e-05,2.29087664824394e-05,2.2082591029316e-05,2.81274620056702e-05,2.42495640920479e-05,2.94882134495381e-05,3.34370523771932e-05,5.05384234363995e-05,9.14999010840903e-05,6.89127810313691e-05,0.000387752867503834,0.000218983682604261,0.000233655458098402,0.000179328347588453,0.000161659093162949,0.000134046008457511,0.00012716946754882,0.000120271018919747,0.000116470909596606,0.000107291778522226,0.000110230695810395,0.000115307939079362,0.000102751275024581
"Algeria",0.00139487808485708,0.000977450830407115,0.000797149241601507,0.000705609553637053,0.000552044408066309,0.000646470069769951,0.000438146731113467,0.000356250765291731,0.000336468368053075,0.000889371501868875,0.00130663092932046,0.00120888775145676,0.0013340847999917,0.001430583526091,0.00131198367148649,0.00125508630110045,0.00142782333379188,0.00145963744307888,0.00136817788152702,0.000916571506827279,0.000764870347804604,0.00064899458268571,0.000645777222701429,0.000568206063197417,0.000478209650240947,0.000484722537321532,0.000443218873998722,0.000520519687675627,0.000392342474905061,0.000677451021139778,0.000671645895787751,0.000719908635791258,0.00119247231836676,0.00152883536624821,0.0009458627171281,0.000758669212222947,0.00169812161180398,0.000837408609964229,0.00131821640533068,0.00120110676985242,0.000981379569945774,0.00126577156705603,0.00110568174371079,0.00143970647613122,0.00123994274310707,0.00103903731380811,0.0011195230964596,0.00127564407170862,0.000647373341751454,0.000728875631225699,0.0010632978465916,0.000751600608349568,0.000771641999891458,0.000761011897082351,0.000616944480887076,0.000580561808814239,0.000548178824203449
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.00284267599595018,0.00250866369310704,0.00258987523284288,0.00256713600847717,0.00267269528107143,0.00261784214952338,0.00255448942062287,0.00251966527343244,0.00272247672052384,0.00274189308339358,0.002642846739943,0.00266842263060275,0.00256209509212724,0.00256733811102214,0.00278908849359277,0.00306176388414246,0.00309687520887507,0.00304972783640495,0.0030656789176272,0.00316037798910075,0.00322169316085255,0.00311214905682333,0.00305163208320346,0.00298442336492821,0.00292855191359363,0.00261619146976727,0.00252657788089482,0.00251229027792664,0.00253275292139601,0.00270172625589459,0.00415008519631299,0.00337861374955262,0.00257181785293174,0.0023304366374138,0.00239833769935887,0.00245831580674665,0.0022953597496943,0.00216738386839105,0.0020999005201091,0.00204316382557405,0.00201198847336774,0.00246199698791498,0.00200253706834517,0.00186878169551462,0.00190960962856062,0.00237935714108863,0.00209098747101301,0.00644926330815353,0.00495355671266579,0.0071062079738233,0.00578808802009747,0.0110170917136513,0.00875302204840637,0.0102847039982841,0.00985536081764172,0.00961755412996278,0.00960335747638602
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,1.01027751466282e-09,1.98849881260731e-09,6.50297131722909e-09,4.48502324626639e-09,5.99491116095998e-08,5.44352192569755e-08,3.22479097702074e-07,1.31585015074421e-07,1.07288012724464e-06,3.82632176709439e-07,6.44130134965835e-07,3.80241600541495e-07,7.57354500104456e-07,3.84624905322378e-07,1.62549747732683e-06,1.89564362224577e-06,2.54863197593335e-06,3.79151468579998e-07,5.92433778901577e-07,1.92316377863971e-05,2.01549338603414e-05,2.04367832462283e-05,2.09430724229776e-05,2.13109350043484e-05,1.21493305155769e-05,9.34548432928439e-06,6.88023239108478e-06,5.47183056643704e-06,4.48438220983743e-06,3.95511637841895e-06,3.3704266130466e-06,2.92130535403009e-06,2.52003300837926e-06,2.21975360313227e-06,2.070534261498e-06,1.93677858164304e-06,1.83691380818203e-06,1.80150897621758e-06,1.54921551719139e-06,1.31506377514641e-06,1.26181695829964e-06,1.22681779736047e-06,1.24570093976031e-06,1.02641614487409e-06,8.50923936779982e-07,7.69597483548179e-07,8.08600391305673e-07,7.55798652602803e-07,6.47256494679873e-07,5.75035758825478e-07,7.75588215080942e-07,5.37680957786491e-07
"Argentina",0.00170919025712844,0.00219168138482509,0.00206674519150101,0.00215930198227818,0.00265628885572244,0.00263544760813994,0.00261728825860675,0.00283267712429809,0.00295656795506639,0.00215564135108414,0.00161155174736894,0.00147339095423563,0.00123469416492187,0.00115007338680664,0.00107197604890451,0.000921622927246159,0.000957326520853927,0.000766039691637502,0.000687443411786052,0.00118447199204923,0.0010773911412716,0.000928916493329989,0.000900826938736969,0.000886137939450381,0.000869383277787166,0.000840223888082521,0.000894241807913141,0.000804366882911984,0.00080618156967479,0.000826965035460753,0.000891808888678195,0.00100255419507598,0.00109222964788828,0.0011593479645448,0.00110525772603861,0.00117186200419554,0.00101253053306543,0.000977948433306138,0.000967762584992453,0.000874430185625944,0.000942497509440442,0.00186374409293567,0.00259479040349566,0.00167132655755391,0.00365502426564136,0.00419822895122191,0.00257883445979096,0.00180736842137723,0.00846335855765222,0.00524498723290936,0.0044582046934365,0.00572988951039847,0.00537674283410138,0.00478724891866409,0.00556446199954561,0.00360473311792296,0.00539256194410883
"Armenia",0.000281941951433858,0.000272100967210193,0.00025758492501687,0.000243266305039626,0.00025416732770797,0.000241447362776611,0.000248946285959253,0.00025443621618465,0.00024974211083394,0.000296236155591405,0.000317938076366818,0.000287632281050154,0.000303080095389762,0.000326242778816331,0.000351017048237633,0.000335655819422817,0.000334261787764232,0.000317389901938587,0.000320131141100263,0.000371135917054205,0.000392945663306026,0.000383680811481716,0.000421654949995601,0.000424193984193755,0.000407861837314006,0.000409362412903148,0.000406311017909539,0.000420956340278516,0.000363965988028723,0.000328946276688446,0.000276587379515048,6.92794938004583e-05,5.73714639169377e-05,5.51256847696908e-05,5.32733519405849e-05,4.60969814535535e-05,3.33115435856156e-05,3.08316063455737e-05,3.32004596759226e-05,9.38865196179044e-05,5.21279998719496e-05,8.09279582139981e-05,0.000128300246317656,0.000112665510092016,9.56199783889659e-05,0.000193431228031786,0.000120064113244141,0.000205548560859477,0.000175899923627645,0.000143374590241361,0.000154265762548488,0.000183187937636504,0.000172924567039015,0.000172625596137649,0.000177107884599395,0.000250396542481562,0.000231450346161431
