Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.000536353959751292,0.000507809477323038,0.000545742375518706,0.00051106936723115,0.00039699533458082,0.000309481061985371,0.000339164226986575,0.000339445137331143,0.000330381472017578,0.000266255539109746,0.000221926792829091,0.000175248837721705,0.000222732011745482,0.000279771023438395,0.000245290015267103,0.000245913849687301,0.000238306799436011,0.000212501876631543,0.000197019821285556,0.000152403678958112,0.000168948304255892,0.000159955060559348,0.000158287588954806,0.000158198778403868,0.000162191841375765,0.000157224901421719,0.000118873120107196,0.000123416190361071,0.000126138258469203,8.55726162747928e-05,8.55548178214353e-05,7.76201594679245e-05,6.32183720667157e-05,4.76595515370835e-05,4.35810860629257e-05,3.95153241842018e-05,3.59169582370496e-05,3.18983586855392e-05,3.120312616661e-05,4.55978583617694e-05,5.98638610006664e-05,0.000366189638119671,0.000156292707166642,0.000123977430516169,0.000103508039170144,7.261379610362e-05,6.2678245207011e-05,6.34869653987336e-05,5.17901652759239e-05,5.39579313656224e-05,3.05354387223649e-05,2.42524328941006e-05,2.59814193346733e-05,2.69053981006058e-05,2.73527054252776e-05,3.12294937767849e-05,3.77277334225565e-05
"Albania",0.000268299008920518,0.000274989711516505,0.00030392164773785,0.000291531146820115,0.000325244688004248,0.000323529805519964,0.000356740622879536,0.000381703410004703,0.000406501667012544,0.000384990886607726,0.000407280601154249,0.000392497570072957,0.000409520225771888,0.000408072142821855,0.000414326044497639,0.0003910969820858,0.000385106579330748,0.000380015298652973,0.00035974915428263,0.000308019805458794,0.000284939667174812,0.00026370799384994,0.000255231776763226,0.000200871167081227,0.000211411510415526,0.000183510010502732,0.000166020629401728,0.00016329314672151,0.000156757006897143,0.00013977866964969,0.000120976495753695,0.000110391370936277,7.67808560840824e-05,6.84826027378289e-05,7.08352646064842e-05,6.75230051509381e-05,6.34631653682435e-05,6.29744820565622e-05,6.39021824380606e-05,5.37187255890555e-05,4.56406889592764e-05,4.82923304314595e-05,0.000127164229558184,8.96426179797397e-05,0.000538936026627106,0.00030694111331459,0.000219749264584933,0.000274918305619926,0.000209508823172563,0.000160235680968158,0.000125815525699124,0.000135556229336729,0.000129616395584706,0.000121702305288499,0.000113237527397395,9.97023295849437e-05,0.00010283635819669
"Algeria",1.69419370725693e-05,1.17484556196926e-05,9.79686236443094e-06,8.25990911182581e-06,6.59361295784685e-06,1.10169772360848e-05,7.13622725666936e-06,7.54443537493905e-06,6.16753393642077e-05,0.000185158450526308,0.000332455365916578,0.000373811342304685,0.000432542557122691,0.000524024135947405,0.000515646845992036,0.000525599008525343,0.000554516334797738,0.000595023716210279,0.000629016664390969,0.000410919741526295,0.000374345947561915,0.000346431024592987,0.000358558009936145,0.000270546686847085,0.000229861132338336,0.00025430244745074,0.000248476787223971,0.000306598230294454,0.000236288511376518,0.000420538945917031,0.000334815004450524,0.000347132316567031,0.000534255267739958,0.000691669502385765,0.00045632960543074,0.000369923052609221,0.000814935341420736,0.000388877547080843,0.000627316192657022,0.000554035853650967,0.000412707299944721,0.000511835792052038,0.000441775197372997,0.000549577197593075,0.000476420649545962,0.000381849783535187,0.000425599718108383,0.000503967921470239,0.00025265388575789,0.000250509516021223,0.000407824185821404,0.000288983105972473,0.000327915100189794,0.000543297815737153,0.000453750687551689,0.000419105873148267,0.000399770244133187
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.00809176634282448,0.00798655824125215,0.00794630131843709,0.00776199335846913,0.00777097557649487,0.00752078624580063,0.00758650819036783,0.00768388292154677,0.00809200357819392,0.00850098732584404,0.00929450959829251,0.00736950486850158,0.0091281762631021,0.00897293285905853,0.00804864006895758,0.00863995541398622,0.00869448237272319,0.00876053196414204,0.00886305503129168,0.00589687667012175,0.00620853740884031,0.00605762922220494,0.00599564697491214,0.00564039492499198,0.00514237453203693,0.00484513151415946,0.00458554456442907,0.0040652480539238,0.00421361530582845,0.00498904987048823,0.00457771329623946,0.00444566146503144,0.00389866456472317,0.00417529676399696,0.00446859586690699,0.0045870898333366,0.00445283369167704,0.00411801708988473,0.00422264611300657,0.00416363410951209,0.00562392612573239,0.00658468929513533,0.00733817257714379,0.00644555656845205,0.00610510200631475,0.00665223034576448,0.00699728803071537,0.0180857624209417,0.0111083313995859,0.0158562151900319,0.0142878478710738,0.0198419351995392,0.0173232461332689,0.021287735808055,0.0206302818161949,0.0197739599528218,0.017649421458754
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",4.00044974392477e-07,1.19495854237975e-07,6.07431356517621e-08,3.82262387413853e-08,7.52596521611678e-08,2.66039745527877e-07,2.58836262107718e-07,3.29212922934723e-07,1.56975813619324e-07,2.39796446438399e-06,1.46294651753122e-06,1.00326830396201e-05,1.33778098658994e-05,1.35898149450987e-05,1.31242836611338e-05,1.34945263275342e-05,1.50406677547525e-05,1.33673069268436e-05,1.05771848963654e-05,9.13147112263015e-06,6.95069328156783e-06,9.45825644401934e-06,6.06642349727997e-06,2.22162667088091e-05,1.48392266870348e-05,1.39964818474593e-05,1.38711198503812e-05,1.30990519201847e-05,1.26850803597312e-05,8.00702801993206e-06,4.64771600155689e-06,3.55691026390957e-06,2.83536463999445e-06,2.32189805300701e-06,1.71419543587898e-06,1.43145531828234e-06,1.21261731676721e-06,1.0612696436513e-06,9.11773324662245e-07,9.34075606690829e-07,8.89110289966202e-07,8.6078050100428e-07,8.38735348862048e-07,7.71851147355142e-07,8.63305643817724e-07,7.89487321900123e-07,7.22264472794219e-07,6.75936171880028e-07,5.01218672690023e-07,4.26470626715013e-07,3.84204489378074e-07,2.7413242271639e-07,2.53972564879374e-07,2.40365010121896e-07,2.42985194292089e-07,2.35893594842264e-07,2.26002421020711e-07
"Argentina",0.0194853125650628,0.0288221680388188,0.0237606411998606,0.0235813382054762,0.0304531366305551,0.0274054547478682,0.0256498749169801,0.0222298942023672,0.02690433412795,0.0203882297350932,0.0150689634979285,0.0117372415751567,0.0109585327437409,0.00976340412411692,0.00860681660793368,0.00758342792607304,0.00941345077135783,0.0110363565359161,0.0104989383396741,0.0118644363352174,0.00836835070360937,0.00830134668197866,0.00874566879514689,0.0100666495022932,0.0106783559216262,0.0117742754951017,0.0108145706145596,0.012355837229208,0.0118291261484207,0.0166524093066683,0.0167394806621814,0.0185674126151217,0.01845315722725,0.0198320802631362,0.0210508902236379,0.0223677716040629,0.0195672428043868,0.0224161426197427,0.0250338507789002,0.0216796902525827,0.0226063927916796,0.0508200068241018,0.0753373117307465,0.0505068822761356,0.116570525999331,0.142060680160483,0.0905086498787764,0.0649365427727524,0.324376662150371,0.226512222901369,0.193563130983827,0.236672514485619,0.253816317109677,0.216592316966036,0.254333496274773,0.160556409162002,0.221648613166385
"Armenia",1.97364908745656e-06,1.79652429817064e-06,1.35801008067574e-06,1.24339642867449e-06,1.0921463993123e-06,9.58186178051462e-07,8.69345387050929e-07,7.57736120378982e-07,6.6398219110484e-07,5.74718480466158e-07,5.71800033784005e-07,5.32729000866501e-07,4.68020179007461e-07,4.22424966059161e-07,4.06472473962414e-07,3.79087188829987e-07,3.57076294519361e-07,3.35431038282624e-07,2.93615391009787e-07,2.91147433805435e-07,2.37126302604271e-07,2.61296556555232e-07,2.6474507564181e-07,2.33899690669413e-07,2.32885216352598e-07,2.20643284166038e-07,2.28293234783176e-07,2.18624914759914e-07,2.00578487782641e-07,1.59153328765026e-07,1.14966420661178e-07,1.20606100606567e-07,0,0,0,0,0,0,2.13073557505121e-08,5.88033719096346e-08,2.41987143900593e-08,3.87660116738729e-07,8.14561216526744e-07,1.00447885983615e-07,2.87645147916617e-08,1.50357495426902e-07,4.01957206525352e-08,1.76910071707379e-07,2.78836824666906e-07,1.27636529525746e-07,1.00813720085054e-07,6.19811948165125e-08,8.99066674608172e-08,1.53488853361147e-07,2.0259274196709e-07,3.15269987465975e-07,4.42827382926075e-07
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
