Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.0059109026173318,0.00590264515781848,0.00590314553140639,0.00594271059011201,0.00601051490122068,0.00627064656365923,0.00626872380149422,0.00648973524048222,0.00644209666389932,0.00648953082185819,0.00643310491695155,0.00390813544779477,0.00484948886805749,0.00544696345447048,0.0061331896138409,0.00633603283862358,0.00608640839903932,0.00578389213617914,0.00557720315970215,0.00564981900228103,0.00570922306443654,0.0057066321069726,0.00513134950595161,0.00456085249886223,0.00415478921837605,0.00327229178343377,0.0037544032837959,0.00440683792573244,0.00450237298805258,0.00457874967837905,0.00468123970813326,0.00460174932817576,0.00457001185402723,0.00466578437456206,0.00473082726268295,0.00487687461167832,0.00542668015543872,0.00601626014812484,0.00660087296031539,0.00589391708365999,0.0049924434913263,0.00437035043741813,0.00443346654611027,0.00476002639595491,0.00477920936464442,0.00430106595167278,0.00361979025930543,0.00456949558633651,0.00482908292825093,0.00534209916165662,0.00580510394492088,0.00562276870617725,0.00536773103700497,0.00547172452328158,0.00556771635923037,0.0055062030671777,0.00568014863341014
"Albania",0.000976217994170899,0.000995119596982532,0.000977349611945257,0.000976863917634505,0.00103996689554294,0.00100956604060945,0.0010000949399433,0.000866210077277092,0.000793508808964888,0.000778973154277597,0.000717233095481652,0.00068588255796323,0.000679168954020288,0.000668198041826533,0.000667237613235966,0.000666186792478483,0.000665676709100019,0.000663775849915022,0.000674161264452031,0.000737637302770316,0.000752004908585479,0.000766789864465369,0.000785260595884296,0.000798204547850231,0.000775751360066655,0.000801273621837079,0.000851601502358955,0.000915536125523679,0.000963408057149915,0.000980214446097084,0.00101287013246755,0.00106403874403559,0.00112724907054223,0.00146389629979937,0.00145123641448906,0.00114206171757113,0.00106419676420397,0.00104143803769427,0.00108811693132581,0.00108151238499533,0.00105419087599361,0.000995520989063113,0.00104464641718075,0.00098123594435528,0.000992985775748317,0.000998331412951138,0.0011067745741504,0.00101466985309603,0.00096763031770544,0.000966121715316586,0.000951446760531905,0.000962809796404719,0.000999697334563466,0.00102661883108729,0.00105068531236345,0.00106835933219568,0.00105221916744392
"Algeria",0.0021602933249021,0.00181990899936703,0.00148320117554818,0.00156446238990395,0.00200476863177402,0.00198185937564458,0.00247758341242595,0.00263162315001364,0.00266665877323974,0.00275789887849078,0.00289214706266784,0.00302182852844703,0.00290041484857417,0.00299889321550698,0.00333499054793643,0.00322531120371546,0.00358517798395284,0.00382381161576564,0.0043670343632252,0.0045666308416306,0.00459598719457151,0.00472980865213263,0.00478325400567584,0.00507985941119848,0.00510228375127971,0.00508448027843713,0.00512734731497342,0.00499525309792345,0.00540574099071704,0.00559219445097453,0.00541342298574726,0.00573311700372931,0.00577288309213816,0.00543524941151833,0.00538748582949785,0.00558443169599445,0.00532555799247657,0.00567213821848884,0.00576246332075346,0.00534317946393843,0.00543388132371682,0.00538376304118158,0.00565936250471874,0.00608786300853171,0.0060645224021156,0.0063139620741769,0.0064070233389015,0.00610158095473638,0.00674385774344086,0.00717821341043411,0.00755692146304293,0.00787988759699435,0.00836230871142771,0.00881555976245514,0.00878501816511462,0.00885757287494272,0.00893814528184494
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0143219259018043,0.0115337594796536,0.00968731902612663,0.00856405229438808,0.00769669237056187,0.00716854996795743,0.00664041005163126,0.00639115871731383,0.00594711542342975,0.00586515986028601,0.00582149137841137,0.00590117960866933,0.00584968571755012,0.00583877322857735,0.00550790491407405,0.00599818768807473,0.00594054847889895,0.00583230538682939,0.00571260194675007,0.006070841871936,0.0062171426422775,0.00629538359444824,0.00630231522688307,0.00630710017086748,0.00625748807644625,0.00613082416843152,0.00621246397859038,0.00630399782493374,0.00638792310754957,0.00598295867204749,0.00581833315977679,0.00592970034660341,0.00582606900562164,0.00573642721016452,0.00575686737175003,0.00571525726803218,0.005781159764084,0.0058078050543979,0.00618473508245884,0.00624068286082979,0.00705384042818792,0.00745941428127702,0.00931246098617175,0.00946654529618886,0.00857764381635332,0.00904808476259678,0.00865493637868541,0.00747517095044573,0.00819529305058916,0.0075558552984174,0.00840880863509948,0.00858471732613599,0.0103751707204201,0.0105523384051172,0.0103205450799516,0.0112339976541583,0.0125715005238935
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",3.42874724845588e-06,3.71835830142598e-06,3.66431245179121e-06,3.66621464161426e-06,3.93652221779629e-06,4.23247373243608e-06,4.50339133447748e-06,4.60837734536169e-06,4.68482880989352e-06,4.40784966302091e-06,4.36383624002105e-06,4.42348638255193e-06,4.5632479952691e-06,4.96193891943261e-06,4.98775123629372e-06,4.7321551102966e-06,4.86818810635894e-06,4.71745682497053e-06,5.67064567347698e-06,6.93333296742047e-06,7.08999290645467e-06,7.16871619929808e-06,7.12972321474854e-06,7.19918548773006e-06,7.25892532845786e-06,7.52851120304343e-06,7.57556823421228e-06,7.56737008275254e-06,7.64795090697174e-06,7.12754698668287e-06,6.89295480617618e-06,6.81740952653991e-06,7.57949048438709e-06,8.54031593947586e-06,9.8933532360211e-06,1.09893641189561e-05,1.20718629446405e-05,1.28157451549534e-05,1.34497268983141e-05,1.40269076271079e-05,1.41527056208746e-05,1.43955383266573e-05,1.45446373879109e-05,1.47817601588341e-05,1.47331951259424e-05,1.49916241320053e-05,1.49449352688369e-05,1.41364105638513e-05,1.38401712657786e-05,1.10435700030523e-05,1.10172671381414e-05,1.10537518633091e-05,1.09941742019692e-05,1.10040150984906e-05,1.10006016809055e-05,1.10154275495829e-05,1.10204736191136e-05
"Argentina",0.0176548531799426,0.0167024594766401,0.0162009431801295,0.016655183870817,0.0170607520456228,0.0168268576547436,0.0170571377967079,0.0164647614786581,0.0156808871194317,0.0144552003386572,0.0137413429469706,0.0131066032950662,0.0128572162618868,0.0110879526464911,0.0108368658297621,0.0106783768315361,0.0106917127765343,0.0101050482374864,0.00960252016957023,0.00928374462825832,0.00937355336368381,0.00915324333162187,0.00901054444974296,0.00851383578307482,0.00865992083192715,0.00872636415837732,0.00863653782262884,0.00873656796511442,0.0087812185413346,0.00889209411952415,0.0084244094898553,0.00828524115332097,0.00647470437745778,0.00616923331213607,0.00556673640176991,0.00532918269344201,0.00510492805849498,0.00519320792302231,0.00521701999659799,0.00518859089628917,0.00516711030105255,0.00513939000088357,0.00543478995953823,0.00509478744526135,0.00551321217477314,0.00566362929029461,0.00520571119229832,0.00511782809168647,0.00516421230326277,0.00510918512952582,0.00507419581690376,0.00517822797652558,0.00514588590705205,0.00519226236224498,0.00537354162676009,0.00323914589575027,0.00465315953384023
"Armenia",0.000403073524566986,0.000407909950226044,0.000411041437794579,0.00039872206467501,0.000363578507429478,0.000372022332352021,0.000376141259265248,0.000379303147053863,0.000384294927263026,0.000353430099817615,0.000366728345820331,0.000368798630208004,0.000366929209823044,0.000375132035711136,0.000380375840938557,0.000368178118564474,0.000362422555385356,0.00036341842823907,0.0003658824441599,0.000364930907718643,0.000358903054044989,0.00035954360238016,0.000359821882720088,0.000366529162835716,0.000359747998622714,0.000357160945178101,0.000360189533142757,0.000355954534704555,0.000355371420923818,0.0003474641850179,0.000330311620199873,0.00027202600192968,0.000232118526713811,0.000191851620217587,0.000163796130537024,0.000153672198699046,0.000144604668256658,0.000129221021191438,0.00013519465232405,0.000135831269980375,0.000242554260384465,0.000256455567271007,0.000252399099617748,0.000378678238956301,0.000484156000574216,0.000271649968892767,0.000248563318235758,0.000244871885484748,0.000230194633580277,0.000196131499374194,0.000198833806017326,0.000205630036945109,0.000217209704070237,0.00022495572033503,0.000225685850419314,0.000237081066975104,0.000220428562753349
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4892e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",0.0771633179308862,0.0779484014053459,0.0798825182726299,0.0810052594651964,0.0829972014398254,0.079023792564495,0.0796060871149885,0.0833177635841775,0.087323732732705,0.0908491984756594,0.0869830066387067,0.0774946751656034,0.0645532186636823,0.0642987313452064,0.0669411006632393,0.0651482489126512,0.0590968435315949,0.0573858722026649,0.0581122836863172,0.059517004638579,0.0594830522519804,0.0602387299574564,0.058960427310948,0.0609582631981491,0.0653034488609608,0.0641268281726563,0.0658618358285971,0.0672074822419913,0.0708593342957365,0.0739206317357439,0.0708488356803519,0.0643735612865587,0.0599120522055955,0.0568537959971037,0.0521247943561733,0.0519977129603213,0.051512153457438,0.0501574283562973,0.0490330399607247,0.0561941708021789,0.0500949081443247,0.0471272096846292,0.0454505628628566,0.0491356155681959,0.0468372270694111,0.0414949786106358,0.0386502168483915,0.0426523077464878,0.036302327121137,0.041660247767267,0.0371864917010905,0.0393493764157654,0.0413508494876032,0.0414920802375622,0.0372016606047649,0.037197958839438,0.0372526724285894
"Austria",8.83009050231446e-05,8.70431246211686e-05,8.04311034095757e-05,7.63975130591506e-05,7.60178796354112e-05,7.25319350681595e-05,7.13598533427671e-05,6.81524034569398e-05,6.4629737279635e-05,6.21547809258196e-05,5.85656504476058e-05,5.70595020789653e-05,5.85633925226239e-05,6.50775217203122e-05,7.17143072631681e-05,7.75032241561378e-05,7.88465578914482e-05,8.12750164516616e-05,8.55644163064727e-05,8.6727756630781e-05,8.42276709910895e-05,8.57656595147373e-05,8.75816590217844e-05,9.44991667335615e-05,9.54083013713249e-05,0.000105026418201292,0.000109401027131304,0.000112414290681283,0.000110574606029972,0.000123874936189579,0.000132686220423283,0.00014016764154427,0.000134029346728735,0.000145279173225903,0.000149345397612126,0.000159509051514207,0.000166403866948956,0.000168479045816578,0.000157566793610171,0.000156821969493208,0.000150800413296971,0.00014666478021741,0.000141162007222582,0.000154456168300133,0.000150316584463014,0.000152689842613483,0.000142430801359616,0.000160394098632399,0.000158485279972289,0.000162820717811682,0.000173623599610263,0.000173410141994457,0.000168846105243049,0.000171873515326665,0.000162622860387496,0.000163347890177844,0.000171858114896424
"Azerbaijan",0.00427321173611171,0.00438771862227246,0.00448566184827429,0.00430214259140673,0.00398212177030215,0.00408704231070828,0.00416718950631761,0.00422184422580374,0.0043027964846619,0.00399113221825337,0.00416805981233579,0.00421573981764602,0.00419229287082849,0.00429540231036871,0.00436777554189358,0.0042196006124314,0.00416578205859921,0.00418790122589899,0.00423833263385482,0.00422892663441489,0.00416846602041168,0.00417530232902814,0.00417793623605767,0.00425910662472563,0.00416962086579867,0.00412697269376212,0.00415936996436265,0.00412303670145179,0.00411794137539578,0.0040253949026657,0.00384222862725799,0.00142203405704942,0.00131193194815019,0.00120377598242503,0.00119767333497551,0.00121081417600579,0.00127119565385072,0.00135030412508487,0.00140677601264524,0.00151331804490386,0.00160857953986658,0.0018193951138941,0.00190617878785613,0.00204119733401682,0.00209133644567086,0.00211716861449864,0.00214528980361647,0.00220809212105055,0.00228690510473068,0.00234346813062838,0.00233837895832219,0.00234985359059318,0.00244641535184148,0.0024999655949582,0.00246613320746188,0.00254729228902998,0.00248859712683204
"Bahamas",9.11233479222818e-06,9.12403095962441e-06,9.13238091944089e-06,9.40562428100801e-06,9.3816034443721e-06,9.41889511265373e-06,9.49644539621963e-06,9.20822220102192e-06,8.67447076357493e-06,8.70107606047968e-06,8.43468657245807e-06,8.21096014671746e-06,7.66780683475607e-06,7.39779022048443e-06,7.10541482017831e-06,6.85613445193691e-06,6.59062655933884e-06,6.32270785149069e-06,6.22125061009135e-06,6.20925384639135e-06,6.105995335441e-06,5.98762847919462e-06,5.87671077496601e-06,5.75198789664004e-06,5.6316583588206e-06,5.64173554910489e-06,5.52497645665207e-06,5.52824991691626e-06,5.5032845331309e-06,5.44764099890858e-06,5.42229035649049e-06,5.32820734395095e-06,5.29398122350865e-06,5.2332294942195e-06,5.42477338888567e-06,5.83843870273585e-06,5.85210205580797e-06,5.85927452689429e-06,5.37424602859533e-06,5.30988371720177e-06,5.38727116551967e-06,5.25118077373447e-06,5.43947532973847e-06,5.60572225331741e-06,5.66359190402688e-06,5.63161948687585e-06,5.61911595045127e-06,5.60164679819506e-06,5.60936410216492e-06,5.56481435826946e-06,5.55864106094198e-06,5.70628511865937e-06,5.76924994233671e-06,5.76972608831107e-06,5.7640346051181e-06,5.71643010193304e-06,5.75083273278094e-06
