Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Albania",0.000247234382254571,0.000258441079173692,0.000178217894340767,0.000258888637356717,0.000210806968287077,0.000256476568230108,0.000239435171001652,0.000251839307404949,0.000295958036508023,0.000267532730255282,0.000218106846613806,0.000229529608881184,0.000245071592999821,0.000230836671172022,0.000228779324487116,0.000231740150746802,0.000231726706805825,0.000235333669019485,0.00023238701082818,0.000211080642568943,0.000218320726887666,0.000200199834158126,0.000200507236512445,0.000192359279974596,0.000187633119790662,0.000182288163550799,0.000177564319031005,0.000170250860148739,0.00016003937360138,0.000167340637604649,0.000112036928796367,0.000102157406604509,7.57060068501097e-05,7.49106720219431e-05,7.33453907420795e-05,6.66585581156089e-05,6.68696404879074e-05,6.03925138394885e-05,5.43451897527308e-05,6.78246555397502e-05,8.23510308189687e-05,7.81063755793122e-05,9.18797714185722e-05,8.96272515101185e-05,0.000180183199389332,0.000115311647125826,0.000351348412064593,0.000305156264287321,0.000238844408173075,0.000188094646550981,0.000211594636616697,0.000176343995279592,0.000181076005896186,0.000185919332378969,0.000203730881518218,0.000186420969061725,0.000201420495312417
"Algeria",1.00154109147711e-06,9.65285468975821e-07,9.39871479259374e-07,1.17979890255957e-06,1.22649255000978e-06,8.93039769154088e-07,5.8045557783275e-07,5.74085961453728e-07,1.17564837428124e-06,1.1883254881912e-06,1.19004908960996e-06,1.18902988032253e-06,1.19400790628147e-06,1.18623892347161e-06,1.18458459531278e-06,1.19037949981162e-06,1.18940700696339e-06,1.19499669509419e-06,1.2609176367008e-06,1.29996801952993e-06,1.33444448210838e-06,1.33408940023414e-06,1.3715131755115e-06,1.37645021096311e-06,1.41227328955789e-06,1.44552940023999e-06,1.45573428341943e-06,1.49168983341408e-06,1.4920890397232e-06,1.51861099892607e-06,1.55042109699266e-06,1.55697392675979e-06,1.55550068957072e-06,1.62347526657356e-06,1.62169772978088e-06,1.61915177714417e-06,1.61533217420995e-06,1.6136889534423e-06,1.61500497067696e-06,1.60355547584044e-06,1.61035289598117e-06,1.6204836090301e-06,1.58656907836496e-06,1.62375513671101e-06,1.63068266331121e-06,1.62717172672262e-06,1.6274594695911e-06,1.62886713352323e-06,1.63303351551251e-06,1.56485435794508e-06,1.48926130589405e-06,1.43585306526243e-06,1.44027587410522e-06,1.44269166458842e-06,1.44221408727569e-06,1.37523887506697e-06,1.36157831111772e-06
"American Samoa",4.5978e-06,4.1302e-06,5.9394e-06,7.7596e-06,8.5996e-06,8.2306e-06,6.0108e-06,5.6248e-06,5.6248e-06,5.6248e-06,5.6452e-06,5.6724e-06,5.6962e-06,5.777e-06,5.8578e-06,5.9088e-06,5.9598e-06,6.0108e-06,6.0618e-06,6.072e-06,6.1672e-06,6.4818e-06,6.77e-06,7.0846e-06,7.2376e-06,7.3728e-06,7.5556e-06,7.6576e-06,7.6576e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06,6.1672e-06
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.00639070849111574,0.00526154185795327,0.00440029758312072,0.00383812645293993,0.00370669586222167,0.00341908719964778,0.00310699124168465,0.00291031004670644,0.0025689863381184,0.00244779991898647,0.00236275169803668,0.0022799739518534,0.00220496595042678,0.00223625993106452,0.00214153824284441,0.00232859257595571,0.00234838012597197,0.00234636184815824,0.00246477377725893,0.0026685713654898,0.00274685400096459,0.0027930864500424,0.00285721241192983,0.00292366383780579,0.00300374013888832,0.00294569441009215,0.0029702411068918,0.0029186879443461,0.0029836926744921,0.00295744301201069,0.00285596858788159,0.00283005485382712,0.00278721834413247,0.00277727242863915,0.00296203259425463,0.00281295675067925,0.00269679599705847,0.00320890779670413,0.00305283316785751,0.00836524032728287,0.0114377891765566,0.0153872938687551,0.0154100751486023,0.0137328642312935,0.0135441351783127,0.0162067513692834,0.0159655113417934,0.0266316380706364,0.0207769341815357,0.0284315700559526,0.0284536860975836,0.0374746447531095,0.0364462221242153,0.0337453054003469,0.0331297044421291,0.0383553198529074,0.0402116293384436
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",1.10671784332863e-06,1.24184132340263e-06,1.2889446541918e-06,1.30188494479181e-06,1.40173366690727e-06,1.52555404278192e-06,1.69648468519731e-06,1.92471593875443e-06,1.95316511331493e-06,1.61574299987493e-06,1.7311913628661e-06,1.3236313024511e-06,1.26196534660035e-06,6.29467353503301e-07,4.58711751348301e-07,4.4958862345855e-07,7.06060521568817e-07,7.3305648916835e-07,8.12392461765435e-07,1.47880911879392e-06,8.99385861917427e-07,9.8191171298627e-07,1.041416490774e-06,1.17954013539062e-06,1.19995175735644e-06,1.21404620209154e-06,1.24248645642882e-06,1.33776459367687e-06,1.15949429990581e-06,9.76493599676192e-07,8.1534628754782e-07,8.13408260124712e-07,7.80510000894926e-07,7.5684586421744e-07,7.82535195143089e-07,9.14789234519321e-07,1.08108041611755e-06,1.1883374466927e-06,1.33647367655717e-06,7.03460814198454e-07,6.85924706801821e-07,6.70644118282419e-07,6.99098059808462e-07,7.29851715594562e-07,7.23509344141336e-07,7.26395677899616e-07,7.2194459998639e-07,7.47400814051378e-07,7.53151952614923e-07,1.28526586675779e-06,1.32663535679013e-06,1.32894420654879e-06,1.34042262286704e-06,1.34579610440051e-06,1.34863380764396e-06,1.39094823629185e-06,1.35570188971946e-06
"Argentina",0.0151779342590747,0.0151455430954322,0.0144831761382169,0.0166609101559022,0.0172410177543706,0.0198297299483194,0.01907041481678,0.0214902335951146,0.0226444054016922,0.0201044006779528,0.0180218228811368,0.0128865269160024,0.0146007617227272,0.0129719911222319,0.0110852230964281,0.0116482363850778,0.0107617940017852,0.00835105013761992,0.00787222763047356,0.00624959615317768,0.00723398753584526,0.00732967731571897,0.00688473439592046,0.00627233669232991,0.00542822939797785,0.00444533599668232,0.00425716674457694,0.0040787041603209,0.00319394150905935,0.00410429968894425,0.00446030695436434,0.00504938689967687,0.00581555181210444,0.00562324795180657,0.00527980786331829,0.0055293079348055,0.00553988404549044,0.00570159104905914,0.00537953224648715,0.0052334520008557,0.00496624459712447,0.00563401426962141,0.0051474105353839,0.00185279093794739,0.00624277530761085,0.00741651181532321,0.00317438224488328,0.00214436735872746,0.00794927511145535,0.00999529018633609,0.0101295003132301,0.012303492213655,0.0162338104067535,0.0145329487350554,0.0154744076050912,-0.0177028539211789,0.00382388399277751
"Armenia",0.000490045463852392,0.00048899276316898,0.000463094283838535,0.000376164894050481,0.000474560376586937,0.000472826699529085,0.000458686548773338,0.000434616254167992,0.000418959292628317,0.000426400670495049,0.000450909655267503,0.000452364148534307,0.000431612358090397,0.000418343605271167,0.000447019100315003,0.000371395486066429,0.000394434763793944,0.000397640072198457,0.000393892908066625,0.000357259135911594,0.000356721440325512,0.000372326652431524,0.000388717595576136,0.000384716106005292,0.000411836969177762,0.000444893614452936,0.000397939835584307,0.000362366968592987,0.000372810596982907,0.000321038812458722,0.000289607468927046,0.000123643781332298,4.49113630415084e-05,3.84162002896415e-05,2.93873877065212e-05,2.17649571981381e-05,9.8861392780962e-06,5.48314726782777e-06,-1.63622486839081e-07,2.89325367446621e-05,0.000554185408917758,0.000677473815530503,0.000741611819730367,0.00103279621429066,0.00153647880826237,0.000944184775288833,0.000661297648858032,0.000408912958007378,0.000343680354294767,0.000312501153812357,0.0003334552713155,0.000318690353211466,0.000330407928528638,0.00034314760927575,0.000327138403227968,0.000366750437848452,0.000303372207909654
