Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.23425843222463e-07,5.80550933526318e-07,2.54297785379701e-07,9.25258087382217e-07,9.24740229800234e-07,1.16120921286789e-06,4.50978769757942e-07,1.01904454115303e-06,1.03416995986209e-06,1.016860171561e-06,2.10519987366496e-06,1.13072980673003e-06,2.97926370168072e-06,2.84767304826563e-06,1.69359723058613e-06,9.90894450450232e-07,1.19817177179844e-05,1.11545326458151e-05,1.99845612378813e-05,1.55798322909425e-05,1.43978440383019e-05,1.99203893784639e-05,1.10992406508127e-05,1.12520865341983e-05,1.12844303822047e-05,1.11232967056734e-05,9.00848803170075e-06,8.78404506272762e-06,1.33247719868011e-05,1.09746530575662e-05,1.15282589620302e-05,1.48737785461267e-05
"Albania",6.62097619364546e-05,0.000132843911171007,0.00015820870971611,0.000137055267943837,0.000132596251079499,0.000118831049220278,0.000108941616679625,0.000104681811366341,0.000105717716440438,9.14906843037411e-05,9.16556618410891e-05,9.16541544143581e-05,8.48021108233803e-05,8.68359905688817e-05,9.13258562330064e-05,0.000100486556498646,9.76978808820141e-05,9.00360140983616e-05,8.06833189119642e-05,6.57000868142699e-05,6.16823499910078e-05,5.53231743560555e-05,5.14981931783312e-05,5.05185425451262e-05,4.86694523240076e-05,5.81804457956124e-05,5.84240858529542e-05,5.10178214540973e-05,4.40920561907805e-05,3.82416226297975e-05,2.20535500798208e-05,2.48891341462117e-05,2.11196344787404e-05,9.4126139310155e-06,9.38607102547183e-06,1.04731138596113e-05,1.08053657574719e-05,1.01795586446669e-05,1.01435224119335e-05,9.13730526102308e-06,6.92717690426231e-06,5.59665089749932e-06,1.01641129669818e-05,7.92094576310693e-06,4.92689107912693e-05,2.92933426358723e-05,2.24264273585897e-05,1.67012352322611e-05,1.84418001028737e-05,1.57206855645707e-05,1.44902625519937e-05,1.30368183452556e-05,1.3512474984099e-05,1.17659393739254e-05,1.01191879269259e-05,9.59830228292231e-06,7.95636041471683e-06
"Algeria",2.42383885984105e-05,1.59709242677948e-05,1.65230470980052e-05,1.23857993149112e-05,9.20066811380327e-06,1.11048542249393e-05,7.68143355939207e-06,6.12454216032312e-06,5.75735354902088e-06,1.18901614643606e-05,1.49127647066896e-05,1.25731011600292e-05,1.03498056694405e-05,9.59612851083785e-06,8.92715297040675e-06,6.24290025790303e-06,7.99786549411148e-06,1.72932392928297e-05,1.37200935322612e-05,9.79640312086766e-06,8.34673356965072e-06,7.43563449489579e-06,7.23356588531187e-06,7.77804990907472e-06,8.35577981908335e-06,9.20210393811032e-06,9.15288243633162e-06,9.5141622497985e-06,7.35618504519745e-06,1.3183044802428e-05,1.07286045387135e-05,1.49846028120536e-05,2.90378809158915e-05,2.81198249239628e-05,1.59074636114536e-05,1.48336355297903e-05,4.37582350126478e-05,2.33843799600059e-05,3.13317776629516e-05,3.00242492138682e-05,2.10874657889397e-05,2.25650518392541e-05,1.77620886684446e-05,2.06063054849017e-05,1.61923144511485e-05,1.21679754701009e-05,1.20022863304776e-05,1.42229947748088e-05,7.15451018807442e-06,6.84807606534545e-06,1.07889636899484e-05,7.09040347565466e-06,7.50917033983193e-06,1.20543619952311e-05,9.24521742266755e-06,8.19151446239758e-06,7.47968623679942e-06
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0243037380396452,0.0303436841044322,0.0299523582567458,0.029618794807551,0.0296694370651753,0.0290853212850457,0.0283287314206961,0.0279578678833939,0.0263807850090024,0.026731496588323,0.0255408079493195,0.0252917162901373,0.0241945907461279,0.024119071040098,0.0188416982740389,0.0119066155966308,0.0118970772683939,0.0117925585034444,0.0118244431514835,0.0121334500037378,0.00936392062294028,0.0107964917631559,0.010583257858521,0.0103450124523072,0.0101261507089865,0.00588502524225278,0.0047870228327006,0.00433542543743023,0.00384540126650867,0.00352726071744077,0.00293153837841167,0.00239975408397135,0.00202555373451985,0.00190538873779892,0.00208062702614552,0.00184885812967703,0.00187863089504374,0.0015752623867813,0.0014142855941005,0.00134445243412193,0.00144133127717781,0.000715590657406365,0.000861176371084449,0.000593541143894296,0.000521736233004684,0.000566633006099251,0.000627174577038484,0.00135713912135037,0.00157817201184676,0.00150650203707978,0.00139249950378415,0.00256154639482192,0.00186406138218173,0.00286306154650656,0.00277655378514691,0.00236509481149488,0.00212722822855405
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0.000431799379724827,0.000467384025228618,0.000478267299884183,0.000522660349710187,0.000674581526027968,0.000699041824925036,0.000757478686603271,0.000850600461788612,0.000829548563632415,0.000723640040630762,0.000515622534288584,0.000466043517651882,0.000424498572578759,0.000425645901234004,0.000397171122232378,0.00031052803077861,0.000322230086343072,0.00023197317917464,0.000240649613223635,0.000357283784790356,0.000306303967628877,0.000283727006448851,0.00027596334331177,0.000295456081350506,0.000273896251136742,0.000280316436734594,0.000310829960822313,0.000294873389545683,0.000292266145974149,0.00033554079527034,0.000390946980904547,0.000453084080714386,0.000606690040214953,0.000536560799251918,0.000493057458563462,0.000531278098163771,0.000451307057531562,0.000494117677712367,0.000465189307982141,0.000442166706003834,0.000433429558940724,0.000991915774478746,0.0012720562876702,0.000809454829892334,0.00201478510166318,0.00231275458763461,0.00132385484979561,0.000906672116869085,0.004951748774404,0.00348211936741323,0.00265103597533666,0.00330205531195995,0.00333841741323658,0.00289740453351552,0.00322238354137995,0.00187324471626577,0.00301980652055141
"Armenia",3.44280084483032e-05,2.72866926699805e-05,2.6217441669541e-05,2.37570535557639e-05,2.35557272834677e-05,2.20641669044886e-05,2.01830204474778e-05,1.96554440376922e-05,1.79506833171894e-05,1.79607605963744e-05,1.83466588221899e-05,1.93201051548447e-05,1.72467322390131e-05,1.78968131418182e-05,1.71619337566022e-05,1.72948401322301e-05,1.7030983106502e-05,1.51119150701461e-05,1.48191432896711e-05,1.38580896168529e-05,1.30319752563163e-05,1.58790469063902e-05,1.87906613103614e-05,1.82739914920571e-05,2.00063441402654e-05,1.80324526334886e-05,1.65922282772926e-05,1.36756725570336e-05,1.11486962993694e-05,1.1245934841754e-05,8.92376514651094e-06,6.83168476356788e-07,6.67185275637716e-07,1.78986074483803e-07,9.1026403874221e-08,1.42697009471456e-08,2.39021048975338e-08,7.26373634218403e-08,5.65348705327386e-07,5.07835384786421e-06,1.20229744968273e-06,1.66407240335421e-06,1.68686177485339e-06,9.50010335032943e-07,3.20980948260515e-07,1.71310589145665e-07,1.893683164577e-07,5.46161178446628e-07,7.1077150767629e-07,8.70398672688111e-07,1.338680024501e-06,1.214476797838e-06,9.17842670710774e-07,9.48827874020774e-07,9.44309534715807e-07,8.91859398720042e-07,8.20589470836972e-07
