Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",1.14934483370896e-05,1.02310910071694e-05,9.41245260333324e-06,8.5403278578466e-06,1.13268244326894e-05,9.93737977441815e-06,1.1149738120178e-05,8.53476295169552e-06,9.76572624842694e-06,1.21724120240974e-05,1.10638024548393e-05,8.51133926323551e-06,9.43025725926391e-06,9.27900820766906e-06,1.24922329700404e-05,9.92122390632002e-06,1.1453024437427e-05,9.87481066803122e-06,7.75347775687399e-06,2.45917745501432e-06,4.35022303999954e-06,4.60141451869528e-06,3.52193076833438e-06,4.27558809312899e-06,5.58143791266915e-06,4.61753545547495e-06,6.57888398531662e-06,2.24367932579752e-06,1.10762844576501e-06,1.11780354401912e-06,9.1158332079113e-07,8.65786053542719e-07,7.59119011151454e-07,2.63445175344953e-07,2.49720077052051e-07,2.84428759993209e-07,2.8722468625593e-07,2.78169980804333e-07,2.75145034574684e-07,3.70542695858915e-07,6.29260412082883e-07,2.50147199823322e-06,1.29720577651195e-06,2.31303362818342e-06,1.60769313203055e-06,1.41366102046917e-06,2.33315783923537e-06,3.90620451941273e-06,1.05339411659487e-06,1.17349256238575e-06,1.28622062050021e-06,9.87328106646843e-07,1.14564166464382e-06,1.39896892755144e-06,5.08796457742747e-07,3.27004862988762e-07,6.70618051319686e-07
"Albania",3.42618973148076e-05,3.17154699722442e-05,3.72375869539726e-05,3.16663492977927e-05,3.54405966495774e-05,3.28076106543606e-05,3.63195606727383e-05,4.30666152522258e-05,3.65758098475647e-05,3.79854252707947e-05,4.39034675293947e-05,5.02785096266504e-05,5.20383708030687e-05,4.31814656118843e-05,5.01081122426095e-05,4.81604587967927e-05,4.04676032713755e-05,6.24610029290491e-05,0.00010435962760709,9.37579695475254e-05,9.55702767975242e-05,8.96417135210468e-05,8.19978785482967e-05,8.67503478341385e-05,6.82440081972468e-05,5.78282552514276e-05,5.15050147238893e-05,4.11703533231669e-05,6.94664924244457e-05,5.05404048032892e-05,1.57994405274279e-05,1.01802391849321e-05,5.10256260329536e-06,5.48332844491683e-06,5.52043478639672e-06,4.47096700725895e-06,2.7417590380795e-06,5.9673752150305e-06,2.62288429178249e-06,3.68203252330401e-06,3.4231770161771e-06,7.229365322905e-06,1.18464259802973e-05,9.42883177143027e-06,3.87929078536637e-05,2.10546968263835e-05,1.93481313400786e-05,1.46076051571053e-05,1.32572411803978e-05,1.15044523270884e-05,1.09800626208802e-05,9.71405935369558e-06,8.9413490372026e-06,7.82377046699684e-06,7.89263850682197e-06,8.13492736313564e-06,7.34029208942829e-06
"Algeria",1.09945576832621e-06,0,1.58796699105691e-06,2.7846246636736e-06,2.85235893618543e-06,3.2560797093087e-06,3.57429966429934e-06,3.65633854098891e-06,6.45812502185435e-06,9.06865539731635e-06,1.60579570879147e-05,6.56004052019663e-06,1.2125670075871e-05,1.41461252541596e-05,1.17107961890129e-05,9.57888084110361e-06,1.40214974259524e-05,2.08362241384283e-05,2.01925730939334e-05,1.15279664281235e-05,9.05847281754442e-06,5.45280205760314e-06,1.67377969201043e-05,1.97763472022105e-05,1.646159593485e-05,1.86886825620587e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"American Samoa",3.4e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4e-09,0,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09,3.4e-09
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.000951493490557387,0.000835242384263244,0.000823492882797014,0.000814824103682616,0.000812114605056461,0.000795028797626139,0.000777255403933898,0.0007644063599827,0.000726417789909311,0.000784145412751214,0.000809755090552295,0.000802219347295937,0.000812491953619151,0.000616523686098232,0.00052276303033115,0.000738615691787333,0.00069156713079465,0.000683543832394944,0.000687799282067367,0.000589594671378505,0.000600720460838933,0.000462346893617131,0.0004537508819752,0.000445325769526507,0.000493877627903315,0.000439812479194001,0.000424322583640443,0.000422490258041934,0.000379352490550292,0.00042665254551787,0.000423940733021382,0.000342780502127306,0.000273075658690533,0.000285602661111815,0.000400115621109737,0.000353743348551252,0.000366951718116075,0.000350660304728507,0.000362995912409175,0.0003519696086409,0.000360962117098701,0.000408640486974576,0.000317925549922819,0.000239977629788315,0.000219463125976208,0.000327781860522733,0.000294310811102876,0.000707652361522251,0.000401311784406677,0.000560573411515897,0.000463496604920214,0.000787847169939643,0.000522950427420901,0.000664732231818131,0.000672745114461384,0.000627438755211409,0.000577652151150671
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",4.52946773368176e-06,1.93401989838648e-06,1.06585232785065e-06,1.01382581806549e-06,9.03307043369926e-07,5.25548964442843e-07,5.18870585959856e-07,2.60861424396091e-07,5.09702324626639e-07,6.68880227705598e-06,1.26612123809619e-05,0,0,0,0,0,0,0,0,1.11667081777332e-06,2.24895540414314e-06,3.76336807115499e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Argentina",0.00161481241097763,0.00186524851577733,0.001854007079818,0.00193313305860409,0.00252751052071762,0.00237238099305068,0.00182757517251051,0.00183642643784976,0.00198774624975329,0.00142535845450176,0.00116719293050345,0.00121850196342538,0.00116585878227247,0.00113568427757897,0.000974373744330018,0.000966463520290248,0.0010287689237685,0.000817128770791655,0.000792537058114923,0.000770541661557499,0.000682977075055216,0.000573671235243365,0.000579834826845098,0.000635760507861546,0.000578644222252944,0.000580896779985078,0.0006061702122332,0.000586569887610134,0.000511800061101055,0.000619275100084396,0.000719866525906146,0.000743392241745179,0.000735939213684007,0.000907052815539658,0.00105339916027281,0.0013428324853092,0.00116879847489067,0.00105740200685188,0.00100188202691018,0.00102451328636566,0.00102817795449407,0.00164630559079182,0.00235044598844283,0.00178368879135594,0.00273998066879732,0.00354703882076297,0.00255005240987675,0.00205707793948445,0.00657663431233049,0.00372403862594769,0.0034553227347667,0.00483342756958248,0.00510784997688549,0.00444935263619041,0.00494185698197919,0.00334651437345165,0.00491849978475648
"Armenia",4.65309911217973e-05,4.06623228363361e-05,4.21064192333415e-05,4.36412923021951e-05,4.03470943515907e-05,3.86976587237638e-05,3.90631344565817e-05,3.70045452458998e-05,3.22634255869806e-05,3.38133559860933e-05,3.33510931198961e-05,3.80727293925092e-05,3.54014842129174e-05,3.71584552228698e-05,3.52597489279403e-05,4.29310135450609e-05,4.29128754016293e-05,4.13088299527812e-05,3.46911074464639e-05,4.01572414555051e-05,3.17193317547373e-05,3.54996062237368e-05,4.27186054356132e-05,4.30882529887954e-05,4.7843493890782e-05,4.3983185424401e-05,5.36507872874298e-05,5.38468776220035e-05,5.04737820873154e-05,3.94661451473438e-05,3.11186269284198e-05,0,0,0,0,0,0,0,0,0,0,1.41553233954593e-07,3.06344265649832e-07,8.29903183574479e-07,1.78134588498028e-06,4.67932175247614e-06,3.98398267380894e-06,7.4653330078169e-06,1.50218953647025e-06,5.1333505797025e-06,1.12779118737756e-05,1.18713002064732e-05,1.09151479208226e-05,1.07100215518309e-05,1.10627235428187e-05,2.47545093795535e-05,1.78116183252342e-05
