Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.000326657876565476,0.000285223425545511,0.000262626891843993,0.000258323529089097,0.000262636200703852,0.000251901888936714,0.000249217774578993,0.00022833173474311,0.000222460053685868,0.000183076524203041,0.000155238220690021,0.000126098122020086,0.000131747247561422,0.000131113689673537,0.000122700855708398,0.000171666288268193,0.000122433867449473,0.000118643783594565,0.000118339091231725,0.000116664944862916,0.000104746080155288,0.000115103609234967,0.000110827296525095,0.000122617398061686,0.000121676962508624,0.000109271859002499,0.000103134239289396,0.000104932987241236,9.95810178466803e-05,9.38011879590605e-05,0.000139807249837317,0.000131628141988445,0.000115189372234109,4.09604162637238e-05,3.92950903999268e-05,4.48910852657335e-05,4.20269834294439e-05,4.07092759168732e-05,4.11839251718339e-05,5.99466437790951e-05,0.00010020557698756,0.000432132610905417,0.000230897592610531,0.000179077143935525,0.00018064646244049,0.000162966231609749,0.000135764685902847,0.000139012327279532,0.000130412090894272,0.000129310436530719,0.000107507847741325,8.71448335494899e-05,9.77976042861611e-05,0.000158075239600833,0.000115678774712364,0.000324887701004136,0.000343621506517743
"Albania",8.82130360444911e-05,9.07573534757347e-05,0.000104578748341358,0.000104561309890293,0.000109288938770294,0.000141282949768979,0.000164401416649962,0.000220473708182595,0.000228352810498922,0.000222600988046743,0.000216380203835686,0.000200643643110149,0.00019124743897027,0.000204337284613443,0.000192310362608365,0.000203607268246733,0.000211837918151874,0.000247580555454708,0.000236393635857541,0.000218950292703073,0.000211043947034643,0.000193588303201045,0.000189847073910256,0.000182857403970062,0.000174847652201325,0.00017776433707355,0.000158555205895167,0.000142267980138003,0.000159338494685682,0.000171389372386285,0.000116889657655806,0.000118198899247495,0.000106706619278602,9.51661867601328e-05,8.65750502274185e-05,7.64656515948433e-05,6.61453658495741e-05,0.000103889403383453,6.8261214581013e-05,9.01392146539585e-05,9.09555514655396e-05,0.000172904946530884,0.000254999763844393,0.000196073223235575,0.000821975188075096,0.000400374541209208,0.000378298132029579,0.000290171352085208,0.000269518634315951,0.000269208477420152,0.000277892417942672,0.000253300674733197,0.000220481444684411,0.000206737026558566,0.000213583547441188,0.00022386050820314,0.000207764734027159
"Algeria",0.000201778053530999,0.00015401392873241,0.000122646162857811,0.000113399644082086,9.77219050658992e-05,0.000112694872954054,8.67409787583642e-05,8.60625727676447e-05,8.8419389700943e-05,0.00023094137000202,0.000357916004620875,0.000391333913202577,0.000479729965100009,0.000544079415741408,0.000567322531053292,0.000580589016810982,0.000756509741229191,0.000784510796663148,0.000759710985970026,0.000601197295804897,0.000549991052710133,0.00047879572115844,0.000534584443389,0.00054418287787148,0.000554687588689542,0.000629473780926298,0.000599171034257405,0.000637185408607371,0.000505520955817456,0.000786478512417622,0.00071478010627662,0.000764750676439578,0.0012169501778556,0.00140145079486784,0.000915995850444726,0.000693604102390942,0.00147362293748879,0.000768348498750101,0.00119887777550689,0.000971915780190244,0.000708689409623574,0.000816968171725791,0.000702986843381817,0.00105088448126911,0.000728656511828223,0.000647938281241449,0.000624328350297688,0.000697568123965578,0.000439906631437007,0.000549045806222033,0.000749466517824645,0.000639371263873921,0.000690100114919718,0.000980050940658834,0.000832890931759478,0.000767850762023075,0.000725255926329959
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",0.0262774364705047,0.0259176012877853,0.0259060246683755,0.0256610148133909,0.0267346209601729,0.027751341972522,0.0271365631878959,0.0267030019139491,0.0254906303453238,0.0257685312782458,0.0247670910496314,0.0246087638716051,0.0226509504604721,0.0211780221282616,0.0224816741643553,0.0234294193322925,0.0235075175602209,0.0234460643329162,0.0225147044196992,0.0232725830769468,0.0237958934086577,0.0229389896694466,0.0230817735289012,0.0237645748246652,0.0247806210902792,0.0226812041319056,0.0223686349716333,0.0213814533792483,0.0217094189877979,0.0240674362325916,0.0221844888328919,0.0216322267039896,0.0193414514317001,0.018987749197511,0.0249269896262388,0.0257521727761457,0.0253684311460306,0.0241622306863371,0.0227902946982759,0.0189455188501449,0.0198284554342962,0.0221737336296593,0.0214211089433353,0.0164850104113322,0.0162154077285283,0.0170580718275246,0.016474222386493,0.0324931461415943,0.0242650440753544,0.0361160419866828,0.0338553652602896,0.0555682479217469,0.0389361449723006,0.0400846431281613,0.0406082644564164,0.0411695518702191,0.0422473207084498
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",4.48050371319575e-08,2.03939591232811e-08,1.02376071323195e-08,1.2996921172071e-08,1.74978691274715e-08,3.46861946700902e-08,4.3084140939825e-08,1.25995069271314e-07,9.14944742238343e-08,1.57066672417152e-06,1.10911759236088e-06,6.55707498660883e-06,5.46077812558846e-06,5.14982461077426e-06,6.6195366570733e-06,7.0210184711276e-06,6.46410720920542e-06,8.25516405113857e-06,1.09938618771313e-05,1.50597560399398e-05,1.9851601266296e-05,1.69342435734238e-05,2.72989057377599e-05,1.34778684700109e-05,3.91755584537719e-06,4.41666760519827e-06,4.71618074912961e-06,5.37831661193464e-06,5.76748320355779e-06,3.84337344956739e-06,2.72427661014335e-06,2.17130790737166e-06,1.66736368381763e-06,1.35501811750111e-06,1.16876961537203e-06,1.02023724503032e-06,8.86313020618942e-07,7.83409955131685e-07,6.89632187380898e-07,6.61636888072671e-07,6.38677558292389e-07,6.28429898275687e-07,6.48544455328066e-07,5.93222738967237e-07,7.03063900851543e-07,6.45452534700907e-07,5.82970610183906e-07,5.77131481225696e-07,4.60342526169237e-07,3.65942437514239e-07,3.40487565194755e-07,3.48320548598168e-07,3.46275110345973e-07,3.06912219056064e-07,2.79327336423002e-07,3.76307275666011e-07,2.68333151574088e-07
"Argentina",0.00309072358733508,0.00335746800415556,0.00322708167745215,0.00338490337392079,0.00435537428106132,0.00382608654119791,0.00386628806444274,0.00431155375154162,0.00454544987279887,0.0031939933297868,0.00227306027222745,0.0018231273575771,0.00148952911898779,0.00134231671996437,0.0011841329550193,0.000955486631788977,0.00096673781216153,0.000809251798884395,0.000758223418296653,0.000770960972392764,0.000635370058882614,0.00056165764246771,0.000543315531338842,0.000569964221629013,0.000584382707094864,0.000570652628058438,0.000593041850861237,0.000597354817941029,0.000571860813500655,0.000599578947015284,0.000666192868869557,0.000735569094244244,0.000860075661550806,0.000900012526788473,0.00077334004993908,0.000894169369553392,0.000765503784293316,0.000797393921679636,0.000785611794153503,0.00063504601791535,0.000644002627344095,0.00123375880838077,0.00161930178458262,0.00108305348492963,0.00210615891176789,0.00245775222428618,0.0015873101155061,0.0011010182766985,0.00497114671447719,0.00339460390728304,0.00281139346838641,0.00352646901600951,0.00369064122981839,0.00319051196190391,0.00364471461957459,0.00240885851856507,0.00359756703369813
"Armenia",0.000560193783126766,0.000490091513279068,0.00044887602396529,0.00042181284316572,0.000412985241351653,0.000402936826870156,0.000410177784027811,0.000390252317055196,0.000384974592851607,0.000425359752224258,0.000437218614448109,0.00046966428732831,0.000482191982825708,0.000500961894013621,0.000530228324893349,0.000486398805474613,0.000510706438852548,0.000534949919336917,0.000529752195948565,0.000573792133439177,0.000576602010939293,0.000613924663188307,0.000675365851573504,0.000679883258117394,0.000701237169455661,0.000722205327239234,0.00077862014663506,0.000784423197771667,0.000646723173264521,0.000561869331755236,0.000525323264028953,0.000112672025783119,0.000104852608249395,7.70146275575872e-05,8.15987223112738e-05,7.36003538555584e-05,7.18187933298795e-05,7.56472489010613e-05,6.23719231464463e-05,0.000133866389931191,7.79858005802198e-05,0.00014013266195065,0.000213965520473376,0.000149486511228468,0.000115295220968932,0.000306568969044242,0.00017133179801242,0.000241212641061784,0.000244155015302105,0.000204526161186927,0.000212306782139101,0.000254603496727106,0.00024950224941662,0.000244480229048113,0.000270137640488188,0.000538332345602211,0.000361301915704083
