Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",0.000783906910814757,0.000762764061131745,0.0007368669476261,0.000706112768278004,0.000678338664508047,0.000652624112123302,0.000629022363284549,0.000608963211778285,0.000592039731090556,0.000508638394923628,0.000441920813924789,0.000383889904626543,0.000327055068390625,0.000277034538132294,0.000230679354541046,0.000191335007129037,0.000150690917100615,0.00011669695407167,8.66671582637296e-05,1.12064422568772e-05,-4.94732524212428e-05,-9.59512101375531e-05,-0.000131212193933933,-0.000154829929773825,-0.00017350372553602,-0.000198381076036346,-0.000227496893391659,-0.000257735599492984,-0.000265226658003199,-0.000579519277620144,-0.000869702859080499,-0.0011177726830894,-0.00135132436723474,-0.00156016564845101,-0.00175363375084675,-0.00173507417356909,-0.00173700413130136,-0.00177570648128162,-0.00182090393238937,-0.00152587874963166,0.0020660995213043,0.00676913279234787,0.00935038396701412,0.0107847110775992,0.0117772399143069,0.0122570969438288,0.0125239496597228,0.0126598976991675,0.0126239919377076,0.00619405633242945,0.00259092812984227,0.000239725603249331,-0.00134024245073776,-0.00239729893169608,-0.00309213489783274,-0.003538554061188,-0.00379271773732936
"Albania",0.000835084258264127,0.000748766266717762,0.000721535851151635,0.000741654954237334,0.000769556190550064,0.000728916602740926,0.000701532764751397,0.000756030299505189,0.00087497156861182,0.0008721196003565,0.000818421925285034,0.000719356163048297,0.000630087109302682,0.000545330157151493,0.000458877178221678,0.00036722753108567,0.00028605794979989,0.000180573922519301,8.0667325277013e-05,8.19962179156716e-05,9.70209707988328e-05,0.000120383406830517,0.000136458260159083,0.000129037187979393,0.000126722449277322,0.000128970466222661,0.000115411882866839,0.000108637518386168,0.000117750349598778,-2.79178751373961e-05,-7.10074938560227e-05,-0.000168654017884173,-0.000613768371694153,-0.000925833603762063,-0.00116548287053986,-0.00136218926309484,-0.00149142491053933,-0.00169090339595989,-0.00179193821112354,-0.00172217154910317,-0.00169707535121359,-0.00172764633694745,-0.00172505922892384,-0.00206702330497729,-0.00173622580354444,-0.0020381097369881,-0.00137077489240549,-0.00145042551693266,-0.00134019992725599,-0.00151279393270858,-0.00118110031964146,-0.00103070656164366,-0.00131634338513097,-0.00122509334249722,-0.00122334260863113,-0.00127637081279415,-0.00129346798405574
"Algeria",-0.000176800444140255,-0.000550741156591236,-0.000851570996247683,-0.00110004276590055,-0.00130501139451792,-0.00147954837227815,-0.00162693091327308,-0.00175199724462839,-0.00185253642714066,-0.0015981835166372,-0.00134827622536914,-0.00117480744891229,-0.00100502989934831,-0.000857705680827813,-0.000725253466997929,-0.000614707990242465,-0.00051002083466508,-0.000423413866180114,-0.000341816424446094,-0.000395346854052671,-0.000313916553031679,-0.00017340354834771,2.39024838581572e-06,0.000195455628937999,0.000388787923372373,0.000609846340565162,0.000832281279443711,0.00106079557273159,0.00124794288260091,0.00161891656257382,0.00186244303573569,0.00198452991009128,0.00211150791659265,0.00214102559143989,0.00211823724860908,0.00208558439386525,0.00204988593862806,0.00198769191570971,0.00191900525372576,0.00125014395275882,0.0012363542995389,0.00125459151780648,0.00113293481855416,0.00103759460202421,0.000928087838487829,0.00084506552402657,0.000837103376020499,0.000711641685907386,0.00037298752243418,0.000439006185586567,0.000507291579675128,0.000474924380345955,0.000568877060767412,0.000632585933936482,0.000639987223787805,0.000653306716537515,0.000647691111117043
"American Samoa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andorra",-1.23753484007641e-05,-1.1793509118791e-05,-1.12396567987063e-05,-1.07124826216021e-05,-1.02107201477021e-05,-9.7331622266043e-06,-9.27866876538773e-06,-8.84614027327881e-06,-8.43452351668229e-06,-8.05770851015106e-06,-7.69788330926463e-06,-7.35426417723123e-06,-7.02610633695537e-06,-6.71270123050331e-06,-6.4133748759053e-06,-6.1274855506374e-06,-5.85442174160407e-06,-5.59360103559645e-06,-5.34446806091181e-06,-5.15569463264948e-06,-4.97508290448897e-06,-4.80226365893926e-06,-4.63688332416278e-06,-4.47864177868449e-06,-4.32721103583593e-06,-4.18228200263571e-06,-4.04359556685543e-06,-3.9108664553239e-06,-3.78383480894521e-06,-7.78384549086157e-06,-1.16331102706021e-05,-1.53373525236367e-05,-1.89020722342967e-05,-2.23325698043115e-05,-2.56339630618085e-05,-2.88111203760872e-05,-3.18687806698283e-05,-3.48114729134115e-05,-3.76435458129069e-05,-4.16920322250225e-05,-3.87895161217577e-05,-3.72068427732686e-05,-3.56902247671005e-05,-3.4079748179375e-05,-3.3360296135971e-05,-3.1837902574794e-05,-2.94221197545585e-05,-2.8065678834539e-05,-7.52101627628228e-06,1.93551780009566e-05,2.82395860271656e-05,3.01860922377519e-05,3.02552601578046e-05,3.25056215852268e-05,2.90385375235571e-05,2.701526161806e-05,2.38066793813554e-05
"Angola",-0.0722009720642671,-0.0752406856303607,-0.0774312691525055,-0.0790124745069724,-0.080200462749226,-0.0811445137627548,-0.0818222946304532,-0.0821537741049432,-0.0822440508637523,-0.0824171923388304,-0.082346219844758,-0.0826176678502558,-0.0828227539527382,-0.082914551295957,-0.0827882444020553,-0.0826196981717599,-0.082435913574628,-0.0822312106523588,-0.0819810901448929,-0.0817857662811439,-0.0815610842154692,-0.0813594220599942,-0.081050932007699,-0.0806077314958916,-0.0801261704290167,-0.079629210138671,-0.079129369062248,-0.0785979854785612,-0.0779891486432999,-0.077641236710501,-0.0772142128453482,-0.0767074675738585,-0.0759598981221935,-0.0752644590689115,-0.0746336772546071,-0.0740082952700886,-0.0733471930534197,-0.0726432765409579,-0.0718992883014991,-0.0707406206411424,-0.0695503066759001,-0.0684054601712913,-0.0680107260076206,-0.0675682918366861,-0.067018287579721,-0.0664112180349484,-0.0660584783533966,-0.0644976770649578,-0.0652560685374094,-0.06465413904189,-0.06648864594947,-0.0674533711031867,-0.0687278386774172,-0.069053677364931,-0.0708795584991291,-0.0719611660998472,-0.0732363522487936
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",-1.38850139826907e-05,-1.44560850427547e-05,-1.49480227169974e-05,-1.33391343055097e-05,-1.18882296845681e-05,-1.06745879950835e-05,-9.64423639598171e-06,-8.75795209965149e-06,-7.98689129557236e-06,-7.28710829768105e-06,-6.66879214952975e-06,-6.11871162097967e-06,-5.62653494677266e-06,-5.18405746124146e-06,-4.78465573473081e-06,-4.42289884894143e-06,-4.09426954125954e-06,-3.79496350136737e-06,-3.52173992247034e-06,-3.1704456896175e-06,-2.85379729438658e-06,-2.56913781666356e-06,-2.30471930156916e-06,-2.06658063657725e-06,-1.85182014597262e-06,-1.65789080704601e-06,-1.48255119806396e-06,-1.32382644394316e-06,-1.17997228414903e-06,-3.69581645808877e-06,-5.84718783021893e-06,-7.71642688772816e-06,-9.36114711402147e-06,-1.08234473853752e-05,-1.21346382942063e-05,-1.33184941664001e-05,-1.4393312049621e-05,-1.5373573031841e-05,-1.62709082372196e-05,-1.44463117526949e-05,-1.29467551469689e-05,-1.16945021395341e-05,-1.0633581295301e-05,-9.72332512070301e-06,-8.93375091753213e-06,-8.24241225495973e-06,-7.63229562434345e-06,-7.09026089346549e-06,-4.02560771621316e-05,-3.45949869886651e-05,-3.0122335849652e-05,-3.50803742671221e-05,-3.07128674409405e-05,-2.71653342955266e-05,-2.42336026534654e-05,-2.17750065959733e-05,-1.96844901768851e-05
"Argentina",0.00740227901694775,0.00596388997456133,0.00462408053706837,0.00417667672146617,0.00391062087967251,0.0012314015651146,-0.000125785915070155,-0.000681531285497704,-0.00108979663621291,-0.00318160128548801,-0.00456582155966912,-0.00569543518488022,-0.00674527009585347,-0.00733588874344154,-0.00789124248551366,-0.00806732008920813,-0.00833907070122669,-0.00874679433125365,-0.00859899011396255,-0.00847524862938607,-0.00884532935407317,-0.00875437365359599,-0.00806392925389371,-0.00756450271377281,-0.00735872698023568,-0.00753076347994594,-0.00728525806508873,-0.00679476033884817,-0.00625466511026857,-0.00240878480341836,7.19138881873291e-05,0.00207360760574557,0.00253084107129948,0.00291218634084968,0.00312906964995496,0.00305161768278763,0.00276446152803811,0.00278442619767803,0.00139254707823038,0.00112537222954057,-9.14272403913785e-06,0.000349246513138873,0.000449244726061147,-0.00746407191941742,-0.00601657772471363,-0.00441832413771356,-0.0220053318706549,-0.0404103064524714,-0.0291146262369961,-0.0257136903300323,-0.0232825509536371,-0.0163680308638538,-0.0130835914606531,-0.00974130919747114,-0.00693861394073737,-0.162134171283464,-0.109611630087626
"Armenia",-5.23251610481739e-05,-6.22835888041879e-05,-7.03497422442945e-05,-7.67494588908261e-05,-8.18650783371932e-05,-8.58886528953022e-05,-8.90611164600172e-05,-9.24141454344156e-05,-9.46076996966576e-05,-9.56236535249048e-05,-9.62833948993019e-05,-9.69687376228602e-05,-9.78691905956262e-05,-9.82927107348305e-05,-9.82915125130694e-05,-9.80545339333123e-05,-9.75765029465736e-05,-9.69173446615227e-05,-9.61298940364868e-05,-9.60283534123047e-05,-9.58171254076585e-05,-9.56238634222522e-05,-9.53458061504662e-05,-9.49858297513177e-05,-9.4570872590106e-05,-9.40879233278117e-05,-9.35786539994075e-05,-9.63737907488725e-05,-9.75609497076118e-05,-0.000120988733964652,-0.000142522228520934,-0.000162830022265678,-0.00018177980566828,-0.000199806105674645,-0.00021700546808727,-0.000233464366104554,-0.00024924560239238,-0.000264411801836258,-0.000279108606405254,-0.000291520348446752,-0.000195054410542022,-0.000136628531342308,-0.00017962916537587,-4.02364663369637e-05,0.00015388677848125,7.69909831231634e-05,-1.87184870029173e-05,-2.62157126727998e-05,-0.000222606341073206,-0.000408064811648087,-0.00048473905490698,-0.000588045028333727,-0.000760306170255418,-0.000828045597667067,-0.000929128446727747,-0.000998287121871493,-0.00109320603932217
