Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",5607420,5661931,5478965,5912650,6134275,5955190,6561912,6737312,6912512,6165200,5811762,6524550,7076300,7292700,7553570,7952570,6911160,7369760,7201040,7039840,6879300,6670280,6547021,6293581,5874770,5361730,5670530,5308160,5118660,5346312,6283577,5999916,6641047,7017800,7312823,7555526,8171610,8498141,8145163,6330862,5933640,8352218,9019467,8075480,10191953,9364011,10694851,8757697,11682464,10902729,9347258,11291521,11441847,12809406,11796178,12783216,11468314
"Albania",915553,939089,945741,1107666,1020804,1244697,1317220,1367364,1370678,1454065,1490282,1559920,1673218,1716980,1756780,2002090,2090970,2193050,2403005,2280590,2397420,2505650,2720110,2581630,2420830,2471230,2467630,2257960,2631795,2376102,1714903,1906566,2265118,2460345,2655280,2673368,2506030,2604297,2499686,2657196,2693174,2733898,2779474,2845735,2885469,2964605,2867078,3128194,3233487,3488144,3644656,3759696,3774481,3808638,3911624,4053179,4092113
"Algeria",4725815,6022725,5984909,4951043,5611167,3623728,4578337,5821522,5432187,5689622,5603888,5646180,4961077,5250955,6760359,6035245,4622594,4950582,5426818,6374239,5913777,5189261,5236583,5786184,8053860,7795634,7532892,6318655,7681516,6828779,10123915,10275100,8538280,7398775,9471287,12545461,7967147,10690410,10381842,9054207,11040482,11054465,14821661,15890414,16334873,17514659,15773447,15136061,21025753,21961776,24145683,26050840,28253337,25582240,26012214,26113163,26132865
"American Samoa",12633,13624,14861,13485,12759,13350,13743,13576,14055,13279,12517,12241,12137,11588,11437,11024,10833,10345,8776,9663,9652,9735,9621,9222,8934,9159,8623,8687,8700,9329,8866,9132,10250,10933,11511,12389,12881,17106,12335,14052,15795,16540,18033,17571,18613,19016,19398,19827,20497,20699,20616,20075,21688,21322,21871,21975,22270
"Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Angola",3680739,3834788,3809009,3962002,4072936,4166167,4268698,4255843,4531101,4614431,4714765,4602933,4816570,4309543,3946097,3869220,3677535,3670380,3382468,3316730,3179520,3127220,3182815,3238555,3331314,3506309,3581840,3584575,3550700,3532680,3798731,4039854,3896979,4528988,4753386,4903253,4687298,5838024,5584595,7012289,8411618,9913850,10711740,12571325,13310506,13613827,15424724,16069088,20460971,21817705,23366265,18102182,26368881,19162914,19660943,22696901,25451349
"Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antigua and Barbuda",192900,206814,268691,269220,144902,90182,60406,22785,51265,52714,146636,12918,12375,11716,12266,12485,12545,14247,15893,20258,20655,22965,17331,16557,18556,18778,19297,19988,17242,17821,20875,19274,20926,20886,18859,18787,18874,18684,20446,20339,20523,19736,21600,22205,19271,20027,19183,19864,19804,16738,17027,16706,16890,17084,16956,17216,17363
"Argentina",41964652,41666989,47792888,50596776,46815140,48528242,48927838,45761355,49850840,50862485,53412946,51912238,61180140,63496267,61487398,65110340,63342074,67281801,67228888,63114573,72199249,77870841,75629659,78476270,74597175,73959086,70969698,74170157,65184315,72709143,79484073,81221476,77752322,81318945,90328781,87662732,102340789,114566462,106593382,111845757,115221147,115320136,119619694,117840333,138620802,134528126,148595942,154259361,117954721,145503368,157824238,144207335,160280159,161717199,174367299,174593097,187487446
"Armenia",2144447.23486855,2145104.36419606,2092787.86101505,2523232.20240426,2528198.66321105,2628482.86823159,2826185.3007272,2969142.65049417,2800690.71267578,2994871.78453373,3005826.7374046,2745684.89911138,3421408.34956743,3144528.36917673,3125300.44848564,3301571.5338987,3271776.61238132,3395032.38653979,3387240.72360316,3178428.16259766,3248335.63292148,3434996.15995714,3525812.73160859,3592554.03420724,3353535.28351271,3635171.1404341,3458894.86788671,3384287.70245556,3468725.63212705,3413685.41838205,3147886.9168321,1917060,1814652,1930466,1973177,2054989,1751683,1966443,1995518,1782670,2023171,2117828,2309704,2693259,3097952,3037954,3435353,3519277,3440150,2800108,3320177,3691232,3881090,4065185,4189979,3904944,3558942
"Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australia",29390652,35524801,35868995,40446786,36350378,46117805,39835475,50205756,43049109,44526263,48166747,44079137,50251264,49947077,53231247,54134567,51000111,60085656,58014765,53540101,61860232,52285522,68908403,68567926,64879746,64958037,61171907,65971077,66153500,64587344,58486151,65188920,74785981,66767823,83611124,95523730,94640379,99571876,102666609,99618935,90478762,97870586,78929699,105128581,98932946,104129237,77238813,83095606,90514031,89841462,92097804,99161580,92982635,98240455,97774319,97397277,117928794
"Austria",12138571,12067174,13205942,13605232,11133641,13394664,13620796,14152238,13900942,13359880,13186146,13106435,13640767,13888903,14080805,14169104,13868706,13737208,13466197,14748314,14566634,16327630,14236160,15331001,14963211,13868076,14040541,14482840,14396032,14537433,14307678,13501648,13972594,13596353,13680044,13838467,14430619,14609659,14865422,13916276,14476040,14690502,13423457,15096224,14722323,13781893,14317799,15959180,15333858,14532568,16285841,14687495,14733497,17042796,14438335,16145044,14902049
"Azerbaijan",5434326.52485944,5471994.93933191,5262353.63927992,6420411.32553349,6205914.24989235,6949713.2835919,7077898.88385977,7611322.45148926,7145449.69568762,7865821.61117201,7752684.6864561,7374971.53463561,8980011.71598425,8363284.80578957,7856895.27548416,9048293.2539222,8840324.54339857,9397067.94056415,8928437.22084554,8334655.48784126,8153983.98628997,8652248.16291171,9115719.70829161,8907539.74170769,8716316.50145337,9484309.69727245,9196954.68531485,9018124.41300427,9332197.07620772,9473258.83667107,8344917.0740045,4299654,3630140,3334081,3173082,3731026,3514122,3586320,4138912,4927791,5772007,6282423,6483330,6643618,7216754,7327552,7448428,7928436,8346922,7609283,8240037,8658275,8990312,8276569,9152913,9524428,9844702
"Bahamas",29021,30107,31512,32630,33820,45107,56017,52196,47957,67464,43586,80835,78131,82377,90581,108873,97976,87320,88757,89761,106508,107065,85631,104308,88336,83071,83813,95106,105281,110056,94016,81717,95563,100796,90589,101073,93276,105462,112727,119732,133562,114605,114092,118862,116898,127594,133381,133882,129399,147413,149795,149531,150658,153655,155198,156011,157562
"Bahrain",25339,25410,25873,25959,26172,25311,25560,25751,26280,26637,29002,29623,30708,33410,45725,57084,70849,70345,71986,74883,42753,42312,43010,45785,49086,51668,55408,60529,62948,53068,53267,58959,60329,64898,68284,65989,63145,68805,70309,69373,63259,65332,61298,53947,60984,66260,68624,68697,70490,76877,76148,76965,77505,77001,76423,76661,77911
"Bangladesh",24858561,24181776,27169231,27697859,29168283,29432131,33093201,33051973,34208791,33039153,30885279,29033942,31158727,30849145,33834871,31984687,34277888,35421706,35268396,36488435,36251187,37775169,38790544,38931644,40058174,40068795,39885759,40266055,43000453,43770544,44595199,44785975,44486993,42546748,44206699,46107268,46815177,48307768,53991192,57265775,55997721,56914312,58474229,57028086,63236259,64409151,67913101,72994832,72808098,77331848,79712857,79895059,81785082,83952014,85447603,84470944,84872192
