Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"Afghanistan",9169410,9351441,9543205,9744781,9956320,10174836,10399926,10637063,10893776,11173642,11475445,11791215,12108963,12412950,12689160,12943093,13171306,13341198,13411056,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376,32269589,33370794,34413603,35383032,36296113
"Albania",1685936,1737686,1790573,1843634,1896171,1947830,1998740,2049210,2099729,2150707,2202189,2254056,2306290,2358846,2411732,2464983,2518685,2572850,2627505,2682690,2737026,2790275,2844871,2904140,2969672,3044212,3124894,3200977,3257925,3286073,3280395,3245886,3195199,3146519,3112936,3098700,3099752,3110682,3122697,3129243,3129704,3126187,3118023,3104892,3086810,3063021,3033998,3002678,2973048,2948023,2928592,2914096,2903790,2896305,2890513,2886438,2884169
"Algeria",11336339,11619828,11912803,12221675,12550885,12902627,13275026,13663583,14061722,14464985,14872250,15285990,15709825,16149025,16607707,17085801,17582904,18102266,18647815,19221665,19824301,20452902,21101875,21763575,22431502,23102389,23774284,24443467,25106190,25758869,26400479,27028326,27635515,28213774,28757785,29266405,29742979,30192754,30623406,31042235,31451514,31855109,32264157,32692163,33149724,33641002,34166972,34730608,35333881,35977455,36661445,37383895,38140133,38923692,39728025,40551392,41389189
"American Samoa",20602,21253,22034,22854,23672,24462,25248,25989,26703,27363,27984,28567,29100,29596,30052,30456,30838,31269,31845,32646,33701,34968,36412,37946,39519,41119,42740,44343,45894,47347,48685,49896,51020,52095,53161,54211,55221,56171,57053,57821,58494,59080,59504,59681,59562,59107,58365,57492,56683,56079,55759,55667,55713,55791,55812,55741,55620
"Andorra",14375,15370,16412,17469,18549,19647,20758,21890,23058,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80993,82684,83862,84463,84449,83747,82427,80774,79213,78011,77297,77001
"Angola",5531472,5608539,5679458,5735044,5770570,5781214,5774243,5771652,5803254,5890365,6040777,6248552,6496962,6761380,7024000,7279509,7533735,7790707,8058067,8341289,8640446,8952950,9278096,9614754,9961997,10320111,10689250,11068050,11454777,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015781,26941779,27884381,28842489,29816766
"Anguilla",6089,6144,6211,6287,6361,6438,6520,6602,6680,6771,6858,6948,7028,7102,7159,7206,7255,7284,7292,7285,7247,7190,7153,7173,7293,7518,7842,8213,8582,8899,9135,9332,9493,9664,9866,10117,10388,10684,10971,11252,11515,11761,12001,12233,12453,12661,12868,13063,13258,13438,13620,13795,13954,14112,14279,14429,14584
"Antigua and Barbuda",55001,55841,56702,57641,58698,59915,61241,62521,63550,64177,64357,64133,63650,63120,62675,62367,62159,62036,61952,61865,61800,61779,61787,61786,61786,61754,61717,61771,62008,62528,63367,64471,65777,67204,68670,70173,71704,73224,74674,76016,77212,78295,79300,80336,81465,82704,84026,85397,86746,88028,89253,90409,91516,92562,93566,94527,95426
"Argentina",20817266,21153052,21488912,21824425,22159650,22494035,22828869,23168267,23517611,23880561,24259561,24653175,25056478,25462302,25865776,26264681,26661398,27061047,27471036,27896528,28338515,28794548,29262047,29737093,30216279,30698964,31184415,31668949,32148134,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40895752,41320500,41755196,42196030,42637511,43075416,43508460,43937140
"Armenia",2152881.80503622,2186837.233987,2219776.68941675,2251060.41129178,2280263.73191156,2307138.9127682,2331866.26058639,2354991.36069436,2377315.29237568,2399448.75502187,2421594.26188785,2443675.85316967,2465695.55934844,2487572.90403777,2509271.86353091,2530811.65311275,2552319.78699847,2573987.05117636,2596049.13002971,2618657.16068839,2641682.7672208,2664987.20338441,2688663.51473908,2712832.52976942,2737440.05939115,2762622.32412636,2787936.88708842,2812044.67073161,2833189.94278155,2850115.21141497,2862397.55217368,3442817,3363108,3283667,3217348,3168221,3133089,3108687,3089022,3069591,3050687,3033978,3017932,3000720,2981269,2958307,2932618,2907618,2888092,2877319,2876538,2884234,2897588,2912409,2925553,2936143,2944791
"Aruba",55438,56225,56695,57032,57360,57715,58055,58386,58726,59063,59440,59840,60243,60528,60657,60586,60366,60103,59980,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100834,101222,101358,101455,101669,102046,102560,103159,103774,104341,104872,105366
"Australia",10445837,10643417,10845178,11065415,11313195,11593413,11899639,12215701,12518937,12793034,13033133,13244171,13431794,13605570,13773288,13935731,14092548,14249401,14413000,14588405,14777243,14979205,15194641,15423166,15663663,15917572,16183168,16452255,16713989,16960597,17189240,17402173,17603205,17798529,17993074,18189277,18387214,18587021,18788186,18991431,19194672,19401368,19624166,19879649,20178540,20526303,20916344,21332282,21750851,22154679,22538001,22903948,23254913,23596424,23932502,24262712,24584620
"Austria",7111142,7156833,7205994,7256091,7305158,7352240,7397171,7439579,7479346,7516239,7550340,7581117,7607065,7626290,7637689,7640749,7636576,7627759,7617884,7609752,7604513,7602181,7603102,7607293,7614868,7625393,7639352,7658840,7686572,7723949,7772701,7830933,7892086,7947209,7990121,8017863,8032876,8041050,8051113,8069276,8097748,8134412,8175852,8216805,8253650,8285343,8313737,8341532,8372663,8409949,8453501,8502227,8556189,8615214,8678660,8747301,8819901
"Azerbaijan",7197729.92132862,7311253.10981895,7421379.59395029,7525970.46394774,7623605.92825212,7713457.722689,7796128.66674627,7873442.8158981,7948078.41858118,8022077.22612297,8096116.30110582,8169941.68711069,8243560.17264531,8316702.70100021,8389248.83411358,8461262.81444897,8533170.96029286,8605611.12645604,8679371.2765572,8754956.70737537,8831938.21964761,8909851.94304948,8989008.95680913,9069813.22680947,9152083.58268036,9236275.4505049,9320909.63100247,9401509.18610092,9472204.17593849,9528790.42799576,9569853.97889581,7471926,7581754,7683708,7775424,7855553,7925668,7989905,8054126,8122741,8197298,8277061,8361433,8448946,8538605,8630146,8724243,8821873,8924388,9032461,9146275,9264692,9385468,9505622,9622745,9736043,9845320
"Bahamas",115121,121091,127339,133709,140059,146382,152620,158648,164268,169377,173889,177866,181517,185120,188896,192909,197101,201478,205984,210591,215326,220184,225084,229923,234578,239017,243271,247451,251733,256223,261008,266029,271069,275846,280184,283978,287358,290597,294062,298051,302618,307660,313129,318894,324859,331033,337389,343681,349604,354942,359578,363584,367169,370633,374206,377930,381755
"Bahrain",167894,173144,178140,182887,187431,191780,196063,200653,206043,212605,220312,229155,239527,251911,266543,283752,303175,323473,342799,359888,374120,385950,396454,407225,419428,433480,448971,465198,481087,495931,509760,523086,536210,549583,563697,578666,594931,613700,636541,664611,697545,735146,778708,829844,889164,958418,1035919,1114641,1185076,1240860,1278151,1299944,1315028,1336075,1371851,1425792,1494076
"Bangladesh",49362843,50752157,52202007,53741716,55385112,57157654,59034249,60918454,62679765,64232482,65531633,66625705,67637530,68742233,70066301,71652381,73463584,75450032,77529045,79639491,81767515,83932127,86142495,88416521,90764183,93187603,95671163,98186350,100695497,103171956,105599127,107983704,110350639,112737683,115169930,117649932,120160564,122682815,125189651,127657854,130088702,132478086,134791603,136986432,139035505,140921167,142660376,144304167,145924797,147575430,149273139,151005739,152761418,154517382,156256276,157977153,159685424
"Barbados",231718,232633,233630,234586,235413,236088,236659,237241,237955,238896,240094,241515,243069,244644,246154,247583,248937,250203,251351,252394,253298,254082,254788,255497,256263,257107,258019,258977,259957,260936,261905,262886,263874,264893,265955,267049,268187,269336,270451,271515,272500,273425,274329,275284,276323,277477,278700,279946,281104,282131,282987,283701,284296,284826,285324,285796,286232
"Belarus",6908887.71844565,7017855.2639485,7123562.41356467,7223956.0911665,7317673.48089772,7403919.55651467,7483272.94658521,7557484.50792128,7629125.01185405,7700154.27499576,7771222.18966124,7842084.99060728,7912749.19392138,7982956.54003892,8052591.42403234,8121715.51033922,8190738.00925306,8260271.17871027,8331071.36164496,8403623.5774659,8477515.85051564,8552302.92541192,8628283.39789009,8705845.02283368,8784813.90017155,8865627.17990887,8946865.0224775,9024230.14765144,9092088.17405461,9146403.6410344,9185819.32703402,10154334,10135127,10108291,10077608,10044853,10009394,9969987,9924437,9871632,9811401,9745923,9679235,9616634,9562088,9516883,9480515,9452855,9433152,9420574,9415320,9417046,9423506,9431735,9439423,9445643,9450231
"Belgium-Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
